"","hn_1","best_match","street_type","base_function","spell_ave_true","suffix_true","both_true"
"1",NA,"W 150 & BROOK AVE.","AVE","W 150 & BROOK AVE. AVE","W 150 & BROOK AVE. AVE","W 150TH & BROOK AVE. AVE","W 150TH & BROOK AVE. AVE"
"2",NA,"3 AVE & E 148 AND 22271 AVE.","AVE","3 AVE & E 148 AND 22271 AVE. AVE","3 AVE & E 148 AND 22271 AVE. AVE","3RD AVE & E 148 AND 22271 AVE. AVE","3RD AVE & E 148 AND 22271 AVE. AVE"
"3",15,"STANTON","ST","15 STANTON ST","15 STANTON ST","15 STANTON ST","15 STANTON ST"
"4",NA,"COURTLAND AVE & 154","AVE","COURTLAND AVE & 154 AVE","COURTLAND AVE & 154 AVE","COURTLAND AVE & 154TH AVE","COURTLAND AVE & 154TH AVE"
"5",14,"6 AVE.","AVE","14 6 AVE. AVE","FOURTEEN 6 AVE. AVE","14 6TH AVE. AVE","FOURTEEN 6TH AVE. AVE"
"6",NA,"149 & COURTLAND AVE.","AVE","149 & COURTLAND AVE. AVE","149 & COURTLAND AVE. AVE","149TH & COURTLAND AVE. AVE","149TH & COURTLAND AVE. AVE"
"7",NA,"149 & COURTLAND AVE.","AVE","149 & COURTLAND AVE. AVE","149 & COURTLAND AVE. AVE","149TH & COURTLAND AVE. AVE","149TH & COURTLAND AVE. AVE"
"8",NA,"152 & COURTLAND AVE.","AVE","152 & COURTLAND AVE. AVE","152 & COURTLAND AVE. AVE","152ND & COURTLAND AVE. AVE","152ND & COURTLAND AVE. AVE"
"9",NA,"COURTLAND AVE & 149","AVE","COURTLAND AVE & 149 AVE","COURTLAND AVE & 149 AVE","COURTLAND AVE & 149TH AVE","COURTLAND AVE & 149TH AVE"
"10",NA," 167","ST","167 ST","167 ST","167TH ST","167TH ST"
"11",NA,"146 & BROOK AVE.","AVE","146 & BROOK AVE. AVE","146 & BROOK AVE. AVE","146TH & BROOK AVE. AVE","146TH & BROOK AVE. AVE"
"12",20,"6 AVE.","AVE","20 6 AVE. AVE","TWENTY 6 AVE. AVE","20 6TH AVE. AVE","TWENTY 6TH AVE. AVE"
"13",NA,"WASHN AVE & 165","AVE","WASHN AVE & 165 AVE","WASHN AVE & 165 AVE","WASHN AVE & 165TH AVE","WASHN AVE & 165TH AVE"
"14",1510,"ORCHARD","ST","1510 ORCHARD ST","1510 ORCHARD ST","1510 ORCHARD ST","1510 ORCHARD ST"
"15",NA,"149 & BROOK AVE.","AVE","149 & BROOK AVE. AVE","149 & BROOK AVE. AVE","149TH & BROOK AVE. AVE","149TH & BROOK AVE. AVE"
"16",325,"8","ST","325 8 ST","325 8 ST","325 8TH ST","325 8TH ST"
"17",124,"COLUMBIA","ST","124 COLUMBIA ST","124 COLUMBIA ST","124 COLUMBIA ST","124 COLUMBIA ST"
"18",14,"NORFOLK","ST","14 NORFOLK ST","14 NORFOLK ST","14 NORFOLK ST","14 NORFOLK ST"
"19",31,"CARMINE","ST","31 CARMINE ST","31 CARMINE ST","31 CARMINE ST","31 CARMINE ST"
"20",24,"1","ST","24 1 ST","24 1 ST","24 1ST ST","24 1ST ST"
"21",88,"RIDGE","ST","88 RIDGE ST","88 RIDGE ST","88 RIDGE ST","88 RIDGE ST"
"22",240,"E HOUSTON","ST","240 E HOUSTON ST","240 E HOUSTON ST","240 E HOUSTON ST","240 E HOUSTON ST"
"23",NA,"CONCORD AVE. E CLIFF","AVE","CONCORD AVE. E CLIFF AVE","CONCORD AVE. E CLIFF AVE","CONCORD AVE. E CLIFF AVE","CONCORD AVE. E CLIFF AVE"
"24",181,"LEX. AVE.","AVE","181 LEX. AVE. AVE","ONE HUNDRED EIGHTY-ONE LEX. AVE. AVE","181 LEX. AVE. AVE","ONE HUNDRED EIGHTY-ONE LEX. AVE. AVE"
"25",169,"E FRANKLIN AVE.","AVE","169 E FRANKLIN AVE. AVE","ONE HUNDRED SIXTY-NINE E FRANKLIN AVE. AVE","169 E FRANKLIN AVE. AVE","ONE HUNDRED SIXTY-NINE E FRANKLIN AVE. AVE"
"26",NA,"3 AVE & 170","AVE","3 AVE & 170 AVE","3 AVE & 170 AVE","3RD AVE & 170 AVE","3RD AVE & 170 AVE"
"27",150,"1","ST","150 1 ST","150 1 ST","150 1ST ST","150 1ST ST"
"28",NA,"FOR THE UNITED STATE OF THE NUREMBERG UL","ST","FOR THE UNITED STATE OF THE NUREMBERG UL ST","FOR THE UNITED STATE OF THE NUREMBERG UL ST","FOR THE UNITED STATE OF THE NUREMBERG UL ST","FOR THE UNITED STATE OF THE NUREMBERG UL ST"
"29",256,"GRAND","ST","256 GRAND ST","256 GRAND ST","256 GRAND ST","256 GRAND ST"
"30",124,"COLUMBIA","ST","124 COLUMBIA ST","124 COLUMBIA ST","124 COLUMBIA ST","124 COLUMBIA ST"
"31",157,"STA NTON","ST","157 STA NTON ST","157 STA NTON ST","157 STA NTON ST","157 STA NTON ST"
"32",247,"BROOME","ST","247 BROOME ST","247 BROOME ST","247 BROOME ST","247 BROOME ST"
"33",1159,"FIAV","ST","1159 FIAV ST","1159 FIAV ST","1159 FIAV ST","1159 FIAV ST"
"34",359,"W 22","ST","359 W 22 ST","359 W 22 ST","359 W 22ND ST","359 W 22ND ST"
"35",1410,"6","ST","1410 6 ST","1410 6 ST","1410 6TH ST","1410 6TH ST"
"36",237,"BROADWAY","AVE","237 BROADWAY AVE","TWO HUNDRED THIRTY-SEVEN BROADWAY AVE","237 BROADWAY AVE","TWO HUNDRED THIRTY-SEVEN BROADWAY AVE"
"37",52,"BOWERY","ST","52 BOWERY ST","52 BOWERY ST","52 BOWERY ST","52 BOWERY ST"
"38",201,"E 86","ST","201 E 86 ST","201 E 86 ST","201 E 86TH ST","201 E 86TH ST"
