"","hn_1","best_match","street_type","base_function","spell_ave_true","suffix_true","both_true"
"39",110,"W 42","ST","110 W 42 ST","110 W 42 ST","110 W 42ND ST","110 W 42ND ST"
"40",122,"W 26","ST","122 W 26 ST","122 W 26 ST","122 W 26TH ST","122 W 26TH ST"
"41",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"42",249,"FIAV","ST","249 FIAV ST","249 FIAV ST","249 FIAV ST","249 FIAV ST"
"43",1022,"3 AVE.","AVE","1022 3 AVE. AVE","ONE THOUSAND TWENTY-TWO 3 AVE. AVE","1022 3RD AVE. AVE","ONE THOUSAND TWENTY-TWO 3RD AVE. AVE"
"44",7,"E 15","ST","7 E 15 ST","7 E 15 ST","7 E 15TH ST","7 E 15TH ST"
"45",137,"SULLIVAN","ST","137 SULLIVAN ST","137 SULLIVAN ST","137 SULLIVAN ST","137 SULLIVAN ST"
"46",26,"BROADWAY","AVE","26 BROADWAY AVE","TWENTY-SIX BROADWAY AVE","26 BROADWAY AVE","TWENTY-SIX BROADWAY AVE"
"47",95,"7","ST","95 7 ST","95 7 ST","95 7TH ST","95 7TH ST"
"48",125,"THOMPSON","ST","125 THOMPSON ST","125 THOMPSON ST","125 THOMPSON ST","125 THOMPSON ST"
"49",906,"2 AVE ,","AVE","906 2 AVE , AVE","NINE HUNDRED SIX 2 AVE , AVE","906 2ND AVE , AVE","NINE HUNDRED SIX 2ND AVE , AVE"
"50",158,"CHERRY","ST","158 CHERRY ST","158 CHERRY ST","158 CHERRY ST","158 CHERRY ST"
"51",149,"5","ST","149 5 ST","149 5 ST","149 5TH ST","149 5TH ST"
"52",70,"BROAD","ST","70 BROAD ST","70 BROAD ST","70 BROAD ST","70 BROAD ST"
"53",307,"MADISON","ST","307 MADISON ST","307 MADISON ST","307 MADISON ST","307 MADISON ST"
"54",NA,"151 & TINTON AVE.","AVE","151 & TINTON AVE. AVE","151 & TINTON AVE. AVE","151ST & TINTON AVE. AVE","151ST & TINTON AVE. AVE"
"55",NA,"BEA VER,B 567 HENRY,BKLYN","ST","BEA VER,B 567 HENRY,BKLYN ST","BEA VER,B 567 HENRY,BKLYN ST","BEA VER,B 567TH HENRY,BKLYN ST","BEA VER,B 567TH HENRY,BKLYN ST"
"56",NA,"3 AVE & 145","AVE","3 AVE & 145 AVE","3 AVE & 145 AVE","3RD AVE & 145 AVE","3RD AVE & 145 AVE"
"57",101,"FRANKLIN","ST","101 FRANKLIN ST","101 FRANKLIN ST","101 FRANKLIN ST","101 FRANKLIN ST"
"58",116,"E 124","ST","116 E 124 ST","116 E 124 ST","116 E 124TH ST","116 E 124TH ST"
"59",115,"W 32","ST","115 W 32 ST","115 W 32 ST","115 W 32ND ST","115 W 32ND ST"
"60",NA,"136 & 3 AVE.","AVE","136 & 3 AVE. AVE","136 & 3 AVE. AVE","136TH & 3 AVE. AVE","136TH & 3 AVE. AVE"
"61",NA,"YAVAPAI MILL AND MINING CO. BROADWAY","AVE","YAVAPAI MILL AND MINING CO. BROADWAY AVE","YAVAPAI MILL AND MINING CO. BROADWAY AVE","YAVAPAI MILL AND MINING CO. BROADWAY AVE","YAVAPAI MILL AND MINING CO. BROADWAY AVE"
"62",596,"BROADWAY","AVE","596 BROADWAY AVE","FIVE HUNDRED NINETY-SIX BROADWAY AVE","596 BROADWAY AVE","FIVE HUNDRED NINETY-SIX BROADWAY AVE"
"63",29,"RIDSE","ST","29 RIDSE ST","29 RIDSE ST","29 RIDSE ST","29 RIDSE ST"
"64",56,"BOWERY","ST","56 BOWERY ST","56 BOWERY ST","56 BOWERY ST","56 BOWERY ST"
"65",56,"BOWERY","ST","56 BOWERY ST","56 BOWERY ST","56 BOWERY ST","56 BOWERY ST"
"66",NA,"W 67 & 10 AVE.","AVE","W 67 & 10 AVE. AVE","W 67 & 10 AVE. AVE","W 67TH & 10 AVE. AVE","W 67TH & 10 AVE. AVE"
"67",36,"E 14. H CT.","CT","36 E 14. H CT. CT","36 E 14. H CT. CT","36 E 14TH. H CT. CT","36 E 14TH. H CT. CT"
"68",36,"E 14. H CT.","CT","36 E 14. H CT. CT","36 E 14. H CT. CT","36 E 14TH. H CT. CT","36 E 14TH. H CT. CT"
"69",750,"BROADWAY,111582 AVE.","AVE","750 BROADWAY,111582 AVE. AVE","SEVEN HUNDRED FIFTY BROADWAY,111582 AVE. AVE","750 BROADWAY,111 582ND AVE. AVE","SEVEN HUNDRED FIFTY BROADWAY,111 582ND AVE. AVE"
"70",NA,"E 3F 14","ST","E 3F 14 ST","E 3F 14 ST","E 3RDF 14 ST","E 3RDF 14 ST"
"71",NA,"3 AVE & 170","AVE","3 AVE & 170 AVE","3 AVE & 170 AVE","3RD AVE & 170 AVE","3RD AVE & 170 AVE"
"72",NA,"25CNAMBERS","ST","25CNAMBERS ST","25CNAMBERS ST","25THCNAMBERS ST","25THCNAMBERS ST"
"73",NA,"BKLYN","ST","BKLYN ST","BKLYN ST","BKLYN ST","BKLYN ST"
"74",NA,"3 AVE & 134","AVE","3 AVE & 134 AVE","3 AVE & 134 AVE","3RD AVE & 134 AVE","3RD AVE & 134 AVE"
"75",321,"E 85","ST","321 E 85 ST","321 E 85 ST","321 E 85TH ST","321 E 85TH ST"
"76",36,"BROAD","ST","36 BROAD ST","36 BROAD ST","36 BROAD ST","36 BROAD ST"
"77",102,"102","ST","102 102 ST","102 102 ST","102 102ND ST","102 102ND ST"
"78",NA,"","ST",NA,NA,NA,NA
"79",469,"W 34","ST","469 W 34 ST","469 W 34 ST","469 W 34TH ST","469 W 34TH ST"
"80",228,"FIH AVE. H VICTORIA H.","AVE","228 FIH AVE. H VICTORIA H. AVE","TWO HUNDRED TWENTY-EIGHT FIH AVE. H VICTORIA H. AVE","228 FIH AVE. H VICTORIA H. AVE","TWO HUNDRED TWENTY-EIGHT FIH AVE. H VICTORIA H. AVE"
"81",130,"ESSEX","ST","130 ESSEX ST","130 ESSEX ST","130 ESSEX ST","130 ESSEX ST"
"82",52,"ELDRIDGE","ST","52 ELDRIDGE ST","52 ELDRIDGE ST","52 ELDRIDGE ST","52 ELDRIDGE ST"
"83",NA,"3 AVE & 141","AVE","3 AVE & 141 AVE","3 AVE & 141 AVE","3RD AVE & 141 AVE","3RD AVE & 141 AVE"
"84",18,"BROAD","ST","18 BROAD ST","18 BROAD ST","18 BROAD ST","18 BROAD ST"
"85",1,"PEARL","ST","1 PEARL ST","1 PEARL ST","1 PEARL ST","1 PEARL ST"
"86",NA,"150 & EAGLE AVE.","AVE","150 & EAGLE AVE. AVE","150 & EAGLE AVE. AVE","150TH & EAGLE AVE. AVE","150TH & EAGLE AVE. AVE"
"87",NA,"154 & COURTLAND","ST","154 & COURTLAND ST","154 & COURTLAND ST","154TH & COURTLAND ST","154TH & COURTLAND ST"
"88",271,"BROADWAY","AVE","271 BROADWAY AVE","TWO HUNDRED SEVENTY-ONE BROADWAY AVE","271 BROADWAY AVE","TWO HUNDRED SEVENTY-ONE BROADWAY AVE"
"89",174,"ALLEN","ST","174 ALLEN ST","174 ALLEN ST","174 ALLEN ST","174 ALLEN ST"
"90",70,"NEW CHAMBERS","ST","70 NEW CHAMBERS ST","70 NEW CHAMBERS ST","70 NEW CHAMBERS ST","70 NEW CHAMBERS ST"
"91",NA,"W 63 & BLVD","BLVD","W 63 & BLVD","W 63 & BLVD","W 63RD & BLVD","W 63RD & BLVD"
"92",NA,"PERRY","ST","PERRY ST","PERRY ST","PERRY ST","PERRY ST"
"93",628,"LEX. AVE","AVE","628 LEX. AVE","SIX HUNDRED TWENTY-EIGHT LEX. AVE","628 LEX. AVE","SIX HUNDRED TWENTY-EIGHT LEX. AVE"
"94",NA,"IRON FOUNDERS AND MACHINISTS 28 ELM,WORKS  , ELIZA","ST","IRON FOUNDERS AND MACHINISTS 28 ELM,WORKS  , ELIZA ST","IRON FOUNDERS AND MACHINISTS 28 ELM,WORKS  , ELIZA ST","IRON FOUNDERS AND MACHINISTS 28TH ELM,WORKS  , ELIZA ST","IRON FOUNDERS AND MACHINISTS 28TH ELM,WORKS  , ELIZA ST"
"95",NA,"","ST",NA,NA,NA,NA
"96",49,"NEW","ST","49 NEW ST","49 NEW ST","49 NEW ST","49 NEW ST"
"97",NA,"3 AVE & 140","AVE","3 AVE & 140 AVE","3 AVE & 140 AVE","3RD AVE & 140 AVE","3RD AVE & 140 AVE"
"98",343,"FI ,","ST","343 FI , ST","343 FI , ST","343 FI , ST","343 FI , ST"
"99",NA,"|","ST","| ST","| ST","| ST","| ST"
"100",NA,"BKLYN","ST","BKLYN ST","BKLYN ST","BKLYN ST","BKLYN ST"
"101",NA,"MKT","ST","MKT ST","MKT ST","MKT ST","MKT ST"
"102",15,"15","ST","15 15 ST","15 15 ST","15 15TH ST","15 15TH ST"
"103",NA,"MKT","ST","MKT ST","MKT ST","MKT ST","MKT ST"
"104",NA,"HTLOI NE1LLF.","ST","HTLOI NE1LLF. ST","HTLOI NE1LLF. ST","HTLOI NE1STLLF. ST","HTLOI NE1STLLF. ST"
"105",NA,"BKLYN.","ST","BKLYN. ST","BKLYN. ST","BKLYN. ST","BKLYN. ST"
"106",82,"READE","ST","82 READE ST","82 READE ST","82 READE ST","82 READE ST"
"107",165,"ATTORNEY","ST","165 ATTORNEY ST","165 ATTORNEY ST","165 ATTORNEY ST","165 ATTORNEY ST"
"108",83,"WALKER","ST","83 WALKER ST","83 WALKER ST","83 WALKER ST","83 WALKER ST"
"109",91,"LIBERTY","ST","91 LIBERTY ST","91 LIBERTY ST","91 LIBERTY ST","91 LIBERTY ST"
"110",29,"ASH","ST","29 ASH ST","29 ASH ST","29 ASH ST","29 ASH ST"
"111",6,"GRAMERCY PARK.","PARK","6 GRAMERCY PARK. PARK","6 GRAMERCY PARK. PARK","6 GRAMERCY PARK. PARK","6 GRAMERCY PARK. PARK"
"112",10,"10","ST","10 10 ST","10 10 ST","10 10TH ST","10 10TH ST"
"113",11,"BROADWAYTH 1151 BROADWAY","AVE","11 BROADWAYTH 1151 BROADWAY AVE","ELEVEN BROADWAYTH 1151 BROADWAY AVE","11 BROADWAYTH 1 151ST BROADWAY AVE","ELEVEN BROADWAYTH 1 151ST BROADWAY AVE"
"114",1,"BROADWAY","AVE","1 BROADWAY AVE","ONE BROADWAY AVE","1 BROADWAY AVE","ONE BROADWAY AVE"
"115",23,"23","ST","23 23 ST","23 23 ST","23 23RD ST","23 23RD ST"
"116",NA,"MKT","ST","MKT ST","MKT ST","MKT ST","MKT ST"
"117",NA,"3 AVE & 139","AVE","3 AVE & 139 AVE","3 AVE & 139 AVE","3RD AVE & 139 AVE","3RD AVE & 139 AVE"
"118",9,"WAVERLEYPL.","AVE","9 WAVERLEYPL. AVE","NINE WAVERLEYPL. AVE","9 WAVERLEYPL. AVE","NINE WAVERLEYPL. AVE"
"119",30,"W 13","ST","30 W 13 ST","30 W 13 ST","30 W 13TH ST","30 W 13TH ST"
"120",NA,"BOSTON AVE & 170","AVE","BOSTON AVE & 170 AVE","BOSTON AVE & 170 AVE","BOSTON AVE & 170TH AVE","BOSTON AVE & 170TH AVE"
"121",34,"LIBERTY","ST","34 LIBERTY ST","34 LIBERTY ST","34 LIBERTY ST","34 LIBERTY ST"
"122",NA,"7 AVE. & W","AVE","7 AVE. & W AVE","7 AVE. & W AVE","7TH AVE. & W AVE","7TH AVE. & W AVE"
"123",NA,"ILL BROADWAY","AVE","ILL BROADWAY AVE","ILL BROADWAY AVE","ILL BROADWAY AVE","ILL BROADWAY AVE"
"124",265,"WASHN","ST","265 WASHN ST","265 WASHN ST","265 WASHN ST","265 WASHN ST"
"125",252,"BROADWAY","AVE","252 BROADWAY AVE","TWO HUNDRED FIFTY-TWO BROADWAY AVE","252 BROADWAY AVE","TWO HUNDRED FIFTY-TWO BROADWAY AVE"
"126",428,"BROADWAY","AVE","428 BROADWAY AVE","FOUR HUNDRED TWENTY-EIGHT BROADWAY AVE","428 BROADWAY AVE","FOUR HUNDRED TWENTY-EIGHT BROADWAY AVE"
"127",154,"NASSAU","ST","154 NASSAU ST","154 NASSAU ST","154 NASSAU ST","154 NASSAU ST"
"128",NA,"HE","ST","HE ST","HE ST","HE ST","HE ST"
"129",NA,"PROPRIETOR OF WOODCOCKS FRENCH CO","ST","PROPRIETOR OF WOODCOCKS FRENCH CO ST","PROPRIETOR OF WOODCOCKS FRENCH CO ST","PROPRIETOR OF WOODCOCKS FRENCH CO ST","PROPRIETOR OF WOODCOCKS FRENCH CO ST"
"130",41,"41","ST","41 41 ST","41 41 ST","41 41ST ST","41 41ST ST"
"131",NA,"BKLYN","ST","BKLYN ST","BKLYN ST","BKLYN ST","BKLYN ST"
"132",5,"3","ST","5 3 ST","5 3 ST","5 3RD ST","5 3RD ST"
"133",670,"GWICH","ST","670 GWICH ST","670 GWICH ST","670 GWICH ST","670 GWICH ST"
"134",169,"FRANKLIN","ST","169 FRANKLIN ST","169 FRANKLIN ST","169 FRANKLIN ST","169 FRANKLIN ST"
"135",294,"10","ST","294 10 ST","294 10 ST","294 10TH ST","294 10TH ST"
"136",33,"33","ST","33 33 ST","33 33 ST","33 33RD ST","33 33RD ST"
"137",834,"DEAN","ST","834 DEAN ST","834 DEAN ST","834 DEAN ST","834 DEAN ST"
"138",418,"E 9","ST","418 E 9 ST","418 E 9 ST","418 E 9TH ST","418 E 9TH ST"
"139",30,"W 13","ST","30 W 13 ST","30 W 13 ST","30 W 13TH ST","30 W 13TH ST"
"140",152,"BROADWAY","AVE","152 BROADWAY AVE","ONE HUNDRED FIFTY-TWO BROADWAY AVE","152 BROADWAY AVE","ONE HUNDRED FIFTY-TWO BROADWAY AVE"
"141",NA,"E 50 & 4 AVE.","AVE","E 50 & 4 AVE. AVE","E 50 & 4 AVE. AVE","E 50TH & 4 AVE. AVE","E 50TH & 4 AVE. AVE"
"142",NA,"REFUSED","ST","REFUSED ST","REFUSED ST","REFUSED ST","REFUSED ST"
"143",376,"8","ST","376 8 ST","376 8 ST","376 8TH ST","376 8TH ST"
"144",33,"LEONARD","ST","33 LEONARD ST","33 LEONARD ST","33 LEONARD ST","33 LEONARD ST"
"145",240,"E HOUSTON","ST","240 E HOUSTON ST","240 E HOUSTON ST","240 E HOUSTON ST","240 E HOUSTON ST"
"146",216,"BOWERY","ST","216 BOWERY ST","216 BOWERY ST","216 BOWERY ST","216 BOWERY ST"
"147",151,"8","ST","151 8 ST","151 8 ST","151 8TH ST","151 8TH ST"
"148",NA,"WILLIS AVE.","AVE","WILLIS AVE. AVE","WILLIS AVE. AVE","WILLIS AVE. AVE","WILLIS AVE. AVE"
"149",152,"E 74","ST","152 E 74 ST","152 E 74 ST","152 E 74TH ST","152 E 74TH ST"
"150",NA,"8 AVE & W 131","AVE","8 AVE & W 131 AVE","8 AVE & W 131 AVE","8TH AVE & W 131 AVE","8TH AVE & W 131 AVE"
"151",NA,"1117","ST","1117 ST","1117 ST","1 117TH ST","1 117TH ST"
"152",NA,"FULTON MKT","ST","FULTON MKT ST","FULTON MKT ST","FULTON MKT ST","FULTON MKT ST"
"153",79,"LUDLOW","ST","79 LUDLOW ST","79 LUDLOW ST","79 LUDLOW ST","79 LUDLOW ST"
"154",2372,"4","ST","2372 4 ST","2372 4 ST","2372 4TH ST","2372 4TH ST"
"155",41,"BEAVER","AVE","41 BEAVER AVE","FORTY-ONE BEAVER AVE","41 BEAVER AVE","FORTY-ONE BEAVER AVE"
"156",79,"BOWERY","ST","79 BOWERY ST","79 BOWERY ST","79 BOWERY ST","79 BOWERY ST"
"157",9,"ESSEX","ST","9 ESSEX ST","9 ESSEX ST","9 ESSEX ST","9 ESSEX ST"
"158",50,"50","ST","50 50 ST","50 50 ST","50 50TH ST","50 50TH ST"
"159",54,"WALL","ST","54 WALL ST","54 WALL ST","54 WALL ST","54 WALL ST"
"160",26,"BROAD","ST","26 BROAD ST","26 BROAD ST","26 BROAD ST","26 BROAD ST"
"161",83,"BAYARD","ST","83 BAYARD ST","83 BAYARD ST","83 BAYARD ST","83 BAYARD ST"
"162",NA,"W 109 & BOULE","ST","W 109 & BOULE ST","W 109 & BOULE ST","W 109TH & BOULE ST","W 109TH & BOULE ST"
"163",60,"3","ST","60 3 ST","60 3 ST","60 3RD ST","60 3RD ST"
"164",NA,"3 AVE & 151","AVE","3 AVE & 151 AVE","3 AVE & 151 AVE","3RD AVE & 151 AVE","3RD AVE & 151 AVE"
"165",NA,"3 AVE & 166","AVE","3 AVE & 166 AVE","3 AVE & 166 AVE","3RD AVE & 166 AVE","3RD AVE & 166 AVE"
"166",NA,"COURTLAND AVE & 155","AVE","COURTLAND AVE & 155 AVE","COURTLAND AVE & 155 AVE","COURTLAND AVE & 155TH AVE","COURTLAND AVE & 155TH AVE"
"167",220,"ASH","ST","220 ASH ST","220 ASH ST","220 ASH ST","220 ASH ST"
"168",134,"LUDLOW","ST","134 LUDLOW ST","134 LUDLOW ST","134 LUDLOW ST","134 LUDLOW ST"
"169",356,"PEARL","ST","356 PEARL ST","356 PEARL ST","356 PEARL ST","356 PEARL ST"
"170",NA,"HR9 STANTON","ST","HR9 STANTON ST","HR9 STANTON ST","HR9TH STANTON ST","HR9TH STANTON ST"
"171",NA,"3 AVE & 167","AVE","3 AVE & 167 AVE","3 AVE & 167 AVE","3RD AVE & 167 AVE","3RD AVE & 167 AVE"
"172",4,"GRAND","ST","4 GRAND ST","4 GRAND ST","4 GRAND ST","4 GRAND ST"
"173",NA,"66 & 3 AVE.","AVE","66 & 3 AVE. AVE","66 & 3 AVE. AVE","66TH & 3 AVE. AVE","66TH & 3 AVE. AVE"
"174",NA,"BKLYN","ST","BKLYN ST","BKLYN ST","BKLYN ST","BKLYN ST"
"175",50,"THOMPSON","ST","50 THOMPSON ST","50 THOMPSON ST","50 THOMPSON ST","50 THOMPSON ST"
"176",30,"BROAD","ST","30 BROAD ST","30 BROAD ST","30 BROAD ST","30 BROAD ST"
"177",NA,"WILLOUGHBY AVE. BKLYN","AVE","WILLOUGHBY AVE. BKLYN AVE","WILLOUGHBY AVE. BKLYN AVE","WILLOUGHBY AVE. BKLYN AVE","WILLOUGHBY AVE. BKLYN AVE"
"178",0,"0","ST","0 0 ST","0 0 ST","0 0TH ST","0 0TH ST"
"179",641,"HUDSON","ST","641 HUDSON ST","641 HUDSON ST","641 HUDSON ST","641 HUDSON ST"
"180",64,"CARMINE","ST","64 CARMINE ST","64 CARMINE ST","64 CARMINE ST","64 CARMINE ST"
"181",240,"E HOUSTON","ST","240 E HOUSTON ST","240 E HOUSTON ST","240 E HOUSTON ST","240 E HOUSTON ST"
"182",NA,"","ST",NA,NA,NA,NA
"183",NA,"161 & COURTLAND AVE.","AVE","161 & COURTLAND AVE. AVE","161 & COURTLAND AVE. AVE","161ST & COURTLAND AVE. AVE","161ST & COURTLAND AVE. AVE"
"184",NA,"161 & COURTLAND AVE.","AVE","161 & COURTLAND AVE. AVE","161 & COURTLAND AVE. AVE","161ST & COURTLAND AVE. AVE","161ST & COURTLAND AVE. AVE"
"185",NA,"FULTON MKT","ST","FULTON MKT ST","FULTON MKT ST","FULTON MKT ST","FULTON MKT ST"
"186",1,"BROADWAY","AVE","1 BROADWAY AVE","ONE BROADWAY AVE","1 BROADWAY AVE","ONE BROADWAY AVE"
"187",18,"WALL","ST","18 WALL ST","18 WALL ST","18 WALL ST","18 WALL ST"
"188",1165,"BROADWAY","AVE","1165 BROADWAY AVE","ONE THOUSAND ONE HUNDRED SIXTY-FIVE BROADWAY AVE","1165 BROADWAY AVE","ONE THOUSAND ONE HUNDRED SIXTY-FIVE BROADWAY AVE"
"189",93,"93","ST","93 93 ST","93 93 ST","93 93RD ST","93 93RD ST"
"190",2,"CEDAR","ST","2 CEDAR ST","2 CEDAR ST","2 CEDAR ST","2 CEDAR ST"
"191",NA,"BROADWAY & W 129","AVE","BROADWAY & W 129 AVE","BROADWAY & W 129 AVE","BROADWAY & W 129TH AVE","BROADWAY & W 129TH AVE"
"192",351,"SPRING","ST","351 SPRING ST","351 SPRING ST","351 SPRING ST","351 SPRING ST"
"193",216,"9","ST","216 9 ST","216 9 ST","216 9TH ST","216 9TH ST"
"194",61,"BROADWAY","AVE","61 BROADWAY AVE","SIXTY-ONE BROADWAY AVE","61 BROADWAY AVE","SIXTY-ONE BROADWAY AVE"
"195",NA,"VT.","ST","VT. ST","VT. ST","VT. ST","VT. ST"
"196",57,"FRANKFORT","ST","57 FRANKFORT ST","57 FRANKFORT ST","57 FRANKFORT ST","57 FRANKFORT ST"
"197",54,"54","ST","54 54 ST","54 54 ST","54 54TH ST","54 54TH ST"
"198",NA,"9 AVE & W 91","AVE","9 AVE & W 91 AVE","9 AVE & W 91 AVE","9TH AVE & W 91 AVE","9TH AVE & W 91 AVE"
"199",NA,"MKT","ST","MKT ST","MKT ST","MKT ST","MKT ST"
"200",NA,"REV.","ST","REV. ST","REV. ST","REV. ST","REV. ST"
"201",11,"CLINTON","ST","11 CLINTON ST","11 CLINTON ST","11 CLINTON ST","11 CLINTON ST"
"202",NA,"3 AVE & 144","AVE","3 AVE & 144 AVE","3 AVE & 144 AVE","3RD AVE & 144 AVE","3RD AVE & 144 AVE"
"203",44,"SHERIFF","ST","44 SHERIFF ST","44 SHERIFF ST","44 SHERIFF ST","44 SHERIFF ST"
"204",122,"WYTHE","ST","122 WYTHE ST","122 WYTHE ST","122 WYTHE ST","122 WYTHE ST"
"205",300,"E 20","ST","300 E 20 ST","300 E 20 ST","300 E 20TH ST","300 E 20TH ST"
"206",34,"W 14","ST","34 W 14 ST","34 W 14 ST","34 W 14TH ST","34 W 14TH ST"
"207",38,"E 60","ST","38 E 60 ST","38 E 60 ST","38 E 60TH ST","38 E 60TH ST"
"208",104,"CHERRY","ST","104 CHERRY ST","104 CHERRY ST","104 CHERRY ST","104 CHERRY ST"
"209",77,"W 55","ST","77 W 55 ST","77 W 55 ST","77 W 55TH ST","77 W 55TH ST"
