"","hn_1","best_match","street_type","base_function","spell_ave_true","suffix_true","both_true"
"61",NA,"LIVINGSTON & HOYT","ST","LIVINGSTON & HOYT ST","LIVINGSTON & HOYT ST","LIVINGSTON & HOYT ST","LIVINGSTON & HOYT ST"
"62",207,"FRONT","ST","207 FRONT ST","207 FRONT ST","207 FRONT ST","207 FRONT ST"
"63",57,"WYCKOFF","ST","57 WYCKOFF ST","57 WYCKOFF ST","57 WYCKOFF ST","57 WYCKOFF ST"
"64",NA,"FULTON AVE & GOLD","AVE","FULTON AVE & GOLD AVE","FULTON AVE & GOLD AVE","FULTON AVE & GOLD AVE","FULTON AVE & GOLD AVE"
"65",NA,"","ST",NA,NA,NA,NA
"66",NA,"CARLTON & PARK AVE","AVE","CARLTON & PARK AVE","CARLTON & PARK AVE","CARLTON & PARK AVE","CARLTON & PARK AVE"
"67",28,"EVERITT","ST","28 EVERITT ST","28 EVERITT ST","28 EVERITT ST","28 EVERITT ST"
"68",NA,"","ST",NA,NA,NA,NA
"69",1,"NASSAU","ST","1 NASSAU ST","1 NASSAU ST","1 NASSAU ST","1 NASSAU ST"
"70",NA,"CT & PACIFIC","ST","CT & PACIFIC ST","CT & PACIFIC ST","CT & PACIFIC ST","CT & PACIFIC ST"
"71",NA,"CT & PACIFIC","ST","CT & PACIFIC ST","CT & PACIFIC ST","CT & PACIFIC ST","CT & PACIFIC ST"
"72",2,"DEBEVOISE","ST","2 DEBEVOISE ST","2 DEBEVOISE ST","2 DEBEVOISE ST","2 DEBEVOISE ST"
"73",40,"CARLTON AVE","AVE","40 CARLTON AVE","FORTY CARLTON AVE","40 CARLTON AVE","FORTY CARLTON AVE"
"74",43,"WATER OFFICE 181 N BROADWAY Y","AVE","43 WATER OFFICE 181 N BROADWAY Y AVE","FORTY-THREE WATER OFFICE 181 N BROADWAY Y AVE","43 WATER OFFICE 181ST N BROADWAY Y AVE","FORTY-THREE WATER OFFICE 181ST N BROADWAY Y AVE"
"75",26,"FULTON , JOHN JONES PROPRIETOR","ST","26 FULTON , JOHN JONES PROPRIETOR ST","26 FULTON , JOHN JONES PROPRIETOR ST","26 FULTON , JOHN JONES PROPRIETOR ST","26 FULTON , JOHN JONES PROPRIETOR ST"
"76",NA,"CT & DEAN","ST","CT & DEAN ST","CT & DEAN ST","CT & DEAN ST","CT & DEAN ST"
"77",NA,"1 JAY & NASSAU","ST","1 JAY & NASSAU ST","1 JAY & NASSAU ST","1ST JAY & NASSAU ST","1ST JAY & NASSAU ST"
"78",NA,"BOND & STATE","ST","BOND & STATE ST","BOND & STATE ST","BOND & STATE ST","BOND & STATE ST"
"79",NA,"","ST",NA,NA,NA,NA
"80",NA,"1 JAY & NASSAU","ST","1 JAY & NASSAU ST","1 JAY & NASSAU ST","1ST JAY & NASSAU ST","1ST JAY & NASSAU ST"
"81",64,"JAY","ST","64 JAY ST","64 JAY ST","64 JAY ST","64 JAY ST"
"82",NA,"59 BROADWAY NYH CLASSON & FULTON AVE","AVE","59 BROADWAY NYH CLASSON & FULTON AVE","59 BROADWAY NYH CLASSON & FULTON AVE","59TH BROADWAY NYH CLASSON & FULTON AVE","59TH BROADWAY NYH CLASSON & FULTON AVE"
"83",NA,"OF STONE S U DRY DOCK 271 PEARL STON","ST","OF STONE S U DRY DOCK 271 PEARL STON ST","OF STONE S U DRY DOCK 271 PEARL STON ST","OF STONE S U DRY DOCK 271ST PEARL STON ST","OF STONE S U DRY DOCK 271ST PEARL STON ST"
"84",82,"LIVINGSTON","ST","82 LIVINGSTON ST","82 LIVINGSTON ST","82 LIVINGSTON ST","82 LIVINGSTON ST"
"85",NA,"MFR. BOERUM & LIVING","ST","MFR. BOERUM & LIVING ST","MFR. BOERUM & LIVING ST","MFR. BOERUM & LIVING ST","MFR. BOERUM & LIVING ST"
"86",NA,"","ST",NA,NA,NA,NA
"87",281,"PEARL","ST","281 PEARL ST","281 PEARL ST","281 PEARL ST","281 PEARL ST"
"88",NA,"AMITY & CT","CT","AMITY & CT","AMITY & CT","AMITY & CT","AMITY & CT"
"89",NA,"HICKS & POPLAR","ST","HICKS & POPLAR ST","HICKS & POPLAR ST","HICKS & POPLAR ST","HICKS & POPLAR ST"
"90",146,"HIGH","ST","146 HIGH ST","146 HIGH ST","146 HIGH ST","146 HIGH ST"
"91",NA,"PHOENIX MARKET WILLOUGHBY C GOLD H MYRTLE AVE","AVE","PHOENIX MARKET WILLOUGHBY C GOLD H MYRTLE AVE","PHOENIX MARKET WILLOUGHBY C GOLD H MYRTLE AVE","PHOENIX MARKET WILLOUGHBY C GOLD H MYRTLE AVE","PHOENIX MARKET WILLOUGHBY C GOLD H MYRTLE AVE"
"92",NA,"MYRTLE ALY & RAYMOND","ALY","MYRTLE ALY & RAYMOND ALY","MYRTLE ALY & RAYMOND ALY","MYRTLE ALY & RAYMOND ALY","MYRTLE ALY & RAYMOND ALY"
"93",54,"FULTON","ST","54 FULTON ST","54 FULTON ST","54 FULTON ST","54 FULTON ST"
"94",NA,"ADAMS B WATCR AND FRONT","ST","ADAMS B WATCR AND FRONT ST","ADAMS B WATCR AND FRONT ST","ADAMS B WATCR AND FRONT ST","ADAMS B WATCR AND FRONT ST"
"95",NA,"PRINCE & MYRTLE","ST","PRINCE & MYRTLE ST","PRINCE & MYRTLE ST","PRINCE & MYRTLE ST","PRINCE & MYRTLE ST"
"96",NA,"I PACIFIC & POWERS","ST","I PACIFIC & POWERS ST","I PACIFIC & POWERS ST","I PACIFIC & POWERS ST","I PACIFIC & POWERS ST"
"97",NA,"HAMILTON AVE & FERRY","AVE","HAMILTON AVE & FERRY AVE","HAMILTON AVE & FERRY AVE","HAMILTON AVE & FERRY AVE","HAMILTON AVE & FERRY AVE"
"98",218,"FRONT","ST","218 FRONT ST","218 FRONT ST","218 FRONT ST","218 FRONT ST"
"99",69,"ORANGE","ST","69 ORANGE ST","69 ORANGE ST","69 ORANGE ST","69 ORANGE ST"
"100",NA,"46","ST","46 ST","46 ST","46TH ST","46TH ST"
"101",NA,"S ARMSTRONG T AND W F AMERICAN GUTTAPERCHA FACTORY WATER B DOCK AND MAIN OFFICE 151 BROADWAY NYH","AVE","S ARMSTRONG T AND W F AMERICAN GUTTAPERCHA FACTORY WATER B DOCK AND MAIN OFFICE 151 BROADWAY NYH AVE","S ARMSTRONG T AND W F AMERICAN GUTTAPERCHA FACTORY WATER B DOCK AND MAIN OFFICE 151 BROADWAY NYH AVE","S ARMSTRONG T AND W F AMERICAN GUTTAPERCHA FACTORY WATER B DOCK AND MAIN OFFICE 151ST BROADWAY NYH AVE","S ARMSTRONG T AND W F AMERICAN GUTTAPERCHA FACTORY WATER B DOCK AND MAIN OFFICE 151ST BROADWAY NYH AVE"
"102",NA,"","ST",NA,NA,NA,NA
"103",NA,"PRINCE","ST","PRINCE ST","PRINCE ST","PRINCE ST","PRINCE ST"
"104",NA,"PACIFIC & VANDERBILT AVE","AVE","PACIFIC & VANDERBILT AVE","PACIFIC & VANDERBILT AVE","PACIFIC & VANDERBILT AVE","PACIFIC & VANDERBILT AVE"
"105",NA,"GREEN LN","LN","GREEN LN","GREEN LN","GREEN LN","GREEN LN"
"106",100,"MIDDAGH","ST","100 MIDDAGH ST","100 MIDDAGH ST","100 MIDDAGH ST","100 MIDDAGH ST"
"107",NA,"CT & DEGRAW","ST","CT & DEGRAW ST","CT & DEGRAW ST","CT & DEGRAW ST","CT & DEGRAW ST"
"108",NA,"HOYT & ATLANTIC","ST","HOYT & ATLANTIC ST","HOYT & ATLANTIC ST","HOYT & ATLANTIC ST","HOYT & ATLANTIC ST"
"109",NA,"UNION & COLUMBIA","ST","UNION & COLUMBIA ST","UNION & COLUMBIA ST","UNION & COLUMBIA ST","UNION & COLUMBIA ST"
"110",NA,"POWERS & DEAN","ST","POWERS & DEAN ST","POWERS & DEAN ST","POWERS & DEAN ST","POWERS & DEAN ST"
"111",NA,"","ST",NA,NA,NA,NA
"112",NA,"HOYT & PACIFIC","ST","HOYT & PACIFIC ST","HOYT & PACIFIC ST","HOYT & PACIFIC ST","HOYT & PACIFIC ST"
"113",83,"CRANBERRY","ST","83 CRANBERRY ST","83 CRANBERRY ST","83 CRANBERRY ST","83 CRANBERRY ST"
"114",NA,"COLE & HAMILTON AVE","AVE","COLE & HAMILTON AVE","COLE & HAMILTON AVE","COLE & HAMILTON AVE","COLE & HAMILTON AVE"
"115",NA,"KENT AVE NORTH","AVE","KENT AVE NORTH AVE","KENT AVE NORTH AVE","KENT AVE NORTH AVE","KENT AVE NORTH AVE"
"116",71,"NASSAU","ST","71 NASSAU ST","71 NASSAU ST","71 NASSAU ST","71 NASSAU ST"
"117",NA,"S","ST","S ST","S ST","S ST","S ST"
"118",219,"FULTON","ST","219 FULTON ST","219 FULTON ST","219 FULTON ST","219 FULTON ST"
"119",9,"MONROE PL","PL","9 MONROE PL","9 MONROE PL","9 MONROE PL","9 MONROE PL"
"120",NA,"BOERUM & PACIFIC","ST","BOERUM & PACIFIC ST","BOERUM & PACIFIC ST","BOERUM & PACIFIC ST","BOERUM & PACIFIC ST"
"121",26,"GARDEN","ST","26 GARDEN ST","26 GARDEN ST","26 GARDEN ST","26 GARDEN ST"
"122",NA,"FULTON","ST","FULTON ST","FULTON ST","FULTON ST","FULTON ST"
"123",1,"DOOR FROM CLINTON","ST","1 DOOR FROM CLINTON ST","1 DOOR FROM CLINTON ST","1 DOOR FROM CLINTON ST","1 DOOR FROM CLINTON ST"
"124",41,"LIVINGSTON","ST","41 LIVINGSTON ST","41 LIVINGSTON ST","41 LIVINGSTON ST","41 LIVINGSTON ST"
"125",NA,"","ST",NA,NA,NA,NA
"126",6,"DEGRAW","ST","6 DEGRAW ST","6 DEGRAW ST","6 DEGRAW ST","6 DEGRAW ST"
"127",NA,"NYH REMSEN & CLINTON","ST","NYH REMSEN & CLINTON ST","NYH REMSEN & CLINTON ST","NYH REMSEN & CLINTON ST","NYH REMSEN & CLINTON ST"
"128",NA,"ADELPHI & JAMAICA AVE","AVE","ADELPHI & JAMAICA AVE","ADELPHI & JAMAICA AVE","ADELPHI & JAMAICA AVE","ADELPHI & JAMAICA AVE"
"129",134,"NASSAU","ST","134 NASSAU ST","134 NASSAU ST","134 NASSAU ST","134 NASSAU ST"
"130",94,"DUFFIELD","ST","94 DUFFIELD ST","94 DUFFIELD ST","94 DUFFIELD ST","94 DUFFIELD ST"
"131",131,"COLUMBIA","ST","131 COLUMBIA ST","131 COLUMBIA ST","131 COLUMBIA ST","131 COLUMBIA ST"
"132",NA,"43 NEW NYH 422 ATLANTIC & POWERS","ST","43 NEW NYH 422 ATLANTIC & POWERS ST","43 NEW NYH 422 ATLANTIC & POWERS ST","43RD NEW NYH 422 ATLANTIC & POWERS ST","43RD NEW NYH 422 ATLANTIC & POWERS ST"
"133",111,"PACIFIC , MANR OF JEWELRY 10 CORTLANDT NYH","ST","111 PACIFIC , MANR OF JEWELRY 10 CORTLANDT NYH ST","111 PACIFIC , MANR OF JEWELRY 10 CORTLANDT NYH ST","111 PACIFIC , MANR OF JEWELRY 10TH CORTLANDT NYH ST","111 PACIFIC , MANR OF JEWELRY 10TH CORTLANDT NYH ST"
"134",NA,"ADELPHI & JAMAICA AVE","AVE","ADELPHI & JAMAICA AVE","ADELPHI & JAMAICA AVE","ADELPHI & JAMAICA AVE","ADELPHI & JAMAICA AVE"
"135",NA,"MONTAGUE PL 2 DOOR FROM CT","PL","MONTAGUE PL 2 DOOR FROM CT PL","MONTAGUE PL 2 DOOR FROM CT PL","MONTAGUE PL 2ND DOOR FROM CT PL","MONTAGUE PL 2ND DOOR FROM CT PL"
"136",NA,"","ST",NA,NA,NA,NA
"137",NA,"","ST",NA,NA,NA,NA
"138",NA,"FURMAN & DOUGHTY","ST","FURMAN & DOUGHTY ST","FURMAN & DOUGHTY ST","FURMAN & DOUGHTY ST","FURMAN & DOUGHTY ST"
"139",NA,"WIDOW,BOARDING 87 HENRY","ST","WIDOW,BOARDING 87 HENRY ST","WIDOW,BOARDING 87 HENRY ST","WIDOW,BOARDING 87TH HENRY ST","WIDOW,BOARDING 87TH HENRY ST"
"140",NA,"HARDWARE DEALER 134 MYRTLE & PRINCE","ST","HARDWARE DEALER 134 MYRTLE & PRINCE ST","HARDWARE DEALER 134 MYRTLE & PRINCE ST","HARDWARE DEALER 134TH MYRTLE & PRINCE ST","HARDWARE DEALER 134TH MYRTLE & PRINCE ST"
"141",NA,"WATER & JAY","ST","WATER & JAY ST","WATER & JAY ST","WATER & JAY ST","WATER & JAY ST"
"142",68,"CLINTON","ST","68 CLINTON ST","68 CLINTON ST","68 CLINTON ST","68 CLINTON ST"
"143",NA,"R C CH OF THE ASSUMPTION 82 YORK & JAY","ST","R C CH OF THE ASSUMPTION 82 YORK & JAY ST","R C CH OF THE ASSUMPTION 82 YORK & JAY ST","R C CH OF THE ASSUMPTION 82ND YORK & JAY ST","R C CH OF THE ASSUMPTION 82ND YORK & JAY ST"
"144",NA,"IRON SHUTTER MANANR 44 AND 46 DUANE NYH 231 WASHINGTON","ST","IRON SHUTTER MANANR 44 AND 46 DUANE NYH 231 WASHINGTON ST","IRON SHUTTER MANANR 44 AND 46 DUANE NYH 231 WASHINGTON ST","IRON SHUTTER MANANR 44TH AND 46 DUANE NYH 231 WASHINGTON ST","IRON SHUTTER MANANR 44TH AND 46 DUANE NYH 231 WASHINGTON ST"
"145",NA,"SCHERMERHORN & BOERUM","ST","SCHERMERHORN & BOERUM ST","SCHERMERHORN & BOERUM ST","SCHERMERHORN & BOERUM ST","SCHERMERHORN & BOERUM ST"
"146",NA,"CARLL & WILLOUGHBY","ST","CARLL & WILLOUGHBY ST","CARLL & WILLOUGHBY ST","CARLL & WILLOUGHBY ST","CARLL & WILLOUGHBY ST"
"147",NA,"RAYMOND & TILLARY","ST","RAYMOND & TILLARY ST","RAYMOND & TILLARY ST","RAYMOND & TILLARY ST","RAYMOND & TILLARY ST"
"148",NA,"UNION B HICKS AND COLUMBIA","ST","UNION B HICKS AND COLUMBIA ST","UNION B HICKS AND COLUMBIA ST","UNION B HICKS AND COLUMBIA ST","UNION B HICKS AND COLUMBIA ST"
"149",NA,"NAVY & BOLIVAR","ST","NAVY & BOLIVAR ST","NAVY & BOLIVAR ST","NAVY & BOLIVAR ST","NAVY & BOLIVAR ST"
"150",NA,"FRANKLIN FULTON & WATER","ST","FRANKLIN FULTON & WATER ST","FRANKLIN FULTON & WATER ST","FRANKLIN FULTON & WATER ST","FRANKLIN FULTON & WATER ST"
"151",NA,"WATER & HUDSON AVE","AVE","WATER & HUDSON AVE","WATER & HUDSON AVE","WATER & HUDSON AVE","WATER & HUDSON AVE"
"152",NA,"CLASSON & FLUSHING AVE","AVE","CLASSON & FLUSHING AVE","CLASSON & FLUSHING AVE","CLASSON & FLUSHING AVE","CLASSON & FLUSHING AVE"
"153",NA,"CLOVE RD & RAILROAD BEDFORD","ST","CLOVE RD & RAILROAD BEDFORD ST","CLOVE RD & RAILROAD BEDFORD ST","CLOVE RD & RAILROAD BEDFORD ST","CLOVE RD & RAILROAD BEDFORD ST"
"154",NA,"FRANKLIN FULTON & nan","ST","FRANKLIN FULTON & NAN ST","FRANKLIN FULTON & NAN ST","FRANKLIN FULTON & NAN ST","FRANKLIN FULTON & NAN ST"
"155",NA,"HARTS ALY & GOLD","ALY","HARTS ALY & GOLD ALY","HARTS ALY & GOLD ALY","HARTS ALY & GOLD ALY","HARTS ALY & GOLD ALY"
"156",NA,"WYCKOFF & SMITH","ST","WYCKOFF & SMITH ST","WYCKOFF & SMITH ST","WYCKOFF & SMITH ST","WYCKOFF & SMITH ST"
"157",NA,"FURNISHING UNDERTAKER AND SEXTON 1 DUTCH CH","ST","FURNISHING UNDERTAKER AND SEXTON 1 DUTCH CH ST","FURNISHING UNDERTAKER AND SEXTON 1 DUTCH CH ST","FURNISHING UNDERTAKER AND SEXTON 1ST DUTCH CH ST","FURNISHING UNDERTAKER AND SEXTON 1ST DUTCH CH ST"
"158",NA,"LIVINGSTON & NEVINS","ST","LIVINGSTON & NEVINS ST","LIVINGSTON & NEVINS ST","LIVINGSTON & NEVINS ST","LIVINGSTON & NEVINS ST"
"159",NA,"NEVINS & SCHERMERHORN 309 FULTON","ST","NEVINS & SCHERMERHORN 309 FULTON ST","NEVINS & SCHERMERHORN 309 FULTON ST","NEVINS & SCHERMERHORN 309TH FULTON ST","NEVINS & SCHERMERHORN 309TH FULTON ST"
"160",NA,"DEAN & POWERS","ST","DEAN & POWERS ST","DEAN & POWERS ST","DEAN & POWERS ST","DEAN & POWERS ST"
"161",NA,"SPENCER & FLUSHING AVE","AVE","SPENCER & FLUSHING AVE","SPENCER & FLUSHING AVE","SPENCER & FLUSHING AVE","SPENCER & FLUSHING AVE"
"162",NA,"FURMAN & JORALEMON","ST","FURMAN & JORALEMON ST","FURMAN & JORALEMON ST","FURMAN & JORALEMON ST","FURMAN & JORALEMON ST"
"163",NA,"S U N NAVY & MYRTLE AVE","AVE","S U N NAVY & MYRTLE AVE","S U N NAVY & MYRTLE AVE","S U N NAVY & MYRTLE AVE","S U N NAVY & MYRTLE AVE"
"164",NA,"BALTIC & SMITH","ST","BALTIC & SMITH ST","BALTIC & SMITH ST","BALTIC & SMITH ST","BALTIC & SMITH ST"
"165",NA,"15 & STH AVE GOWANUS","ST","15 & STH AVE GOWANUS ST","15 & STH AVE GOWANUS ST","15TH & STH AVE GOWANUS ST","15TH & STH AVE GOWANUS ST"
"166",NA,"","ST",NA,NA,NA,NA
