"","hn_1","best_match","street_type","base_function","spell_ave_true","suffix_true","both_true"
"1",NA,"DEAN & VANDERBILT AVE","AVE","DEAN & VANDERBILT AVE","DEAN & VANDERBILT AVE","DEAN & VANDERBILT AVE","DEAN & VANDERBILT AVE"
"2",NA,"COLUMBIA INSTITUTE FOR THE EDUCATION OF BOYS COLUMBIA","ST","COLUMBIA INSTITUTE FOR THE EDUCATION OF BOYS COLUMBIA ST","COLUMBIA INSTITUTE FOR THE EDUCATION OF BOYS COLUMBIA ST","COLUMBIA INSTITUTE FOR THE EDUCATION OF BOYS COLUMBIA ST","COLUMBIA INSTITUTE FOR THE EDUCATION OF BOYS COLUMBIA ST"
"3",NA,"NYH UNION & CT","CT","NYH UNION & CT","NYH UNION & CT","NYH UNION & CT","NYH UNION & CT"
"4",NA,"PACIFIC & BOERUM","ST","PACIFIC & BOERUM ST","PACIFIC & BOERUM ST","PACIFIC & BOERUM ST","PACIFIC & BOERUM ST"
"5",NA,"KENT AVE NORTH","AVE","KENT AVE NORTH AVE","KENT AVE NORTH AVE","KENT AVE NORTH AVE","KENT AVE NORTH AVE"
"6",NA,"BOND & STATE","ST","BOND & STATE ST","BOND & STATE ST","BOND & STATE ST","BOND & STATE ST"
"7",NA,"295 PEARL NYH 362 ATLANTIC & HOYT","ST","295 PEARL NYH 362 ATLANTIC & HOYT ST","295 PEARL NYH 362 ATLANTIC & HOYT ST","295TH PEARL NYH 362 ATLANTIC & HOYT ST","295TH PEARL NYH 362 ATLANTIC & HOYT ST"
"8",NA,"NAVY & SANDS","ST","NAVY & SANDS ST","NAVY & SANDS ST","NAVY & SANDS ST","NAVY & SANDS ST"
"9",NA,"CLARKS ALY & YORK","ALY","CLARKS ALY & YORK ALY","CLARKS ALY & YORK ALY","CLARKS ALY & YORK ALY","CLARKS ALY & YORK ALY"
"10",NA,"STATE & SMITH","ST","STATE & SMITH ST","STATE & SMITH ST","STATE & SMITH ST","STATE & SMITH ST"
"11",14,"JAMES AND 59 PEARL","ST","14 JAMES AND 59 PEARL ST","14 JAMES AND 59 PEARL ST","14 JAMES AND 59TH PEARL ST","14 JAMES AND 59TH PEARL ST"
"12",267,"HUDSON AVE","AVE","267 HUDSON AVE","TWO HUNDRED SIXTY-SEVEN HUDSON AVE","267 HUDSON AVE","TWO HUNDRED SIXTY-SEVEN HUDSON AVE"
"13",1,"YORK","ST","1 YORK ST","1 YORK ST","1 YORK ST","1 YORK ST"
"14",NA,"BUTLER & CT","CT","BUTLER & CT","BUTLER & CT","BUTLER & CT","BUTLER & CT"
"15",NA,"HOYT & ATLANTIC","ST","HOYT & ATLANTIC ST","HOYT & ATLANTIC ST","HOYT & ATLANTIC ST","HOYT & ATLANTIC ST"
"16",163,"FRONT","ST","163 FRONT ST","163 FRONT ST","163 FRONT ST","163 FRONT ST"
"17",234,"HUDSON AVE","AVE","234 HUDSON AVE","TWO HUNDRED THIRTY-FOUR HUDSON AVE","234 HUDSON AVE","TWO HUNDRED THIRTY-FOUR HUDSON AVE"
"18",248,"MARSHALL","ST","248 MARSHALL ST","248 MARSHALL ST","248 MARSHALL ST","248 MARSHALL ST"
"19",177,"GOLD","ST","177 GOLD ST","177 GOLD ST","177 GOLD ST","177 GOLD ST"
"20",NA,"S U N 32 HUDSON AVE","AVE","S U N 32 HUDSON AVE","S U N 32 HUDSON AVE","S U N 32ND HUDSON AVE","S U N 32ND HUDSON AVE"
"21",36,"STATE","ST","36 STATE ST","36 STATE ST","36 STATE ST","36 STATE ST"
"22",NA,"SCHERMERHORN & BOERUM","ST","SCHERMERHORN & BOERUM ST","SCHERMERHORN & BOERUM ST","SCHERMERHORN & BOERUM ST","SCHERMERHORN & BOERUM ST"
"23",NA,"HAMILTON AVE & FERRY","AVE","HAMILTON AVE & FERRY AVE","HAMILTON AVE & FERRY AVE","HAMILTON AVE & FERRY AVE","HAMILTON AVE & FERRY AVE"
"24",NA,"HOYT & STATE","ST","HOYT & STATE ST","HOYT & STATE ST","HOYT & STATE ST","HOYT & STATE ST"
"25",NA,"MYRTLE & CLASSON AVE","AVE","MYRTLE & CLASSON AVE","MYRTLE & CLASSON AVE","MYRTLE & CLASSON AVE","MYRTLE & CLASSON AVE"
"26",NA,"LITTLE & UNITED STATE","ST","LITTLE & UNITED STATE ST","LITTLE & UNITED STATE ST","LITTLE & UNITED STATE ST","LITTLE & UNITED STATE ST"
"27",NA,"MYRTLE AVE & CLASSON AVE","AVE","MYRTLE AVE & CLASSON AVE","MYRTLE AVE & CLASSON AVE","MYRTLE AVE & CLASSON AVE","MYRTLE AVE & CLASSON AVE"
"28",1,"MCKENNEY","ST","1 MCKENNEY ST","1 MCKENNEY ST","1 MCKENNEY ST","1 MCKENNEY ST"
"29",2,"PROSPECT","ST","2 PROSPECT ST","2 PROSPECT ST","2 PROSPECT ST","2 PROSPECT ST"
"30",NA,"BROADWAY NYH 393 ATLANTIC","AVE","BROADWAY NYH 393 ATLANTIC AVE","BROADWAY NYH 393 ATLANTIC AVE","BROADWAY NYH 393RD ATLANTIC AVE","BROADWAY NYH 393RD ATLANTIC AVE"
"31",NA,"FLUSHING & KENT AVE","AVE","FLUSHING & KENT AVE","FLUSHING & KENT AVE","FLUSHING & KENT AVE","FLUSHING & KENT AVE"
"32",77,"FORK","ST","77 FORK ST","77 FORK ST","77 FORK ST","77 FORK ST"
"33",167,"YORK","ST","167 YORK ST","167 YORK ST","167 YORK ST","167 YORK ST"
"34",NA,"1 TILLARY & FULTON","ST","1 TILLARY & FULTON ST","1 TILLARY & FULTON ST","1ST TILLARY & FULTON ST","1ST TILLARY & FULTON ST"
"35",68,"YORK","ST","68 YORK ST","68 YORK ST","68 YORK ST","68 YORK ST"
"36",39,"CARLTON AVE","AVE","39 CARLTON AVE","THIRTY-NINE CARLTON AVE","39 CARLTON AVE","THIRTY-NINE CARLTON AVE"
"37",NA,"HICKS & SACKETT","ST","HICKS & SACKETT ST","HICKS & SACKETT ST","HICKS & SACKETT ST","HICKS & SACKETT ST"
"38",4,"FRANKLIN PL","PL","4 FRANKLIN PL","4 FRANKLIN PL","4 FRANKLIN PL","4 FRANKLIN PL"
"39",NA,"FLUSHING AVE & SPENCER","AVE","FLUSHING AVE & SPENCER AVE","FLUSHING AVE & SPENCER AVE","FLUSHING AVE & SPENCER AVE","FLUSHING AVE & SPENCER AVE"
"40",NA,"SPENCER & FLUSHING AVE","AVE","SPENCER & FLUSHING AVE","SPENCER & FLUSHING AVE","SPENCER & FLUSHING AVE","SPENCER & FLUSHING AVE"
"41",NA,"BCDFORD & MYRTLE AVE","AVE","BCDFORD & MYRTLE AVE","BCDFORD & MYRTLE AVE","BCDFORD & MYRTLE AVE","BCDFORD & MYRTLE AVE"
"42",152,"MYRTLE","ST","152 MYRTLE ST","152 MYRTLE ST","152 MYRTLE ST","152 MYRTLE ST"
"43",NA,"MYRTLE AVE A STEUBEN SO","ST","MYRTLE AVE A STEUBEN SO ST","MYRTLE AVE A STEUBEN SO ST","MYRTLE AVE A STEUBEN SO ST","MYRTLE AVE A STEUBEN SO ST"
"44",43,"ATLANTIC","ST","43 ATLANTIC ST","43 ATLANTIC ST","43 ATLANTIC ST","43 ATLANTIC ST"
"45",3,"AVE GOWANUS","AVE","3 AVE GOWANUS AVE","THREE AVE GOWANUS AVE","3 AVE GOWANUS AVE","THREE AVE GOWANUS AVE"
"46",NA,"FRONT & GARRISON","ST","FRONT & GARRISON ST","FRONT & GARRISON ST","FRONT & GARRISON ST","FRONT & GARRISON ST"
"47",NA,"FLOUR AND FEED STORE AND BRICK YARD 3 AVE & 27 GOWANUS","ST","FLOUR AND FEED STORE AND BRICK YARD 3 AVE & 27 GOWANUS ST","FLOUR AND FEED STORE AND BRICK YARD 3 AVE & 27 GOWANUS ST","FLOUR AND FEED STORE AND BRICK YARD 3RD AVE & 27 GOWANUS ST","FLOUR AND FEED STORE AND BRICK YARD 3RD AVE & 27 GOWANUS ST"
"48",63,"HUDSON AVE","AVE","63 HUDSON AVE","SIXTY-THREE HUDSON AVE","63 HUDSON AVE","SIXTY-THREE HUDSON AVE"
"49",10,"MONROE PL","PL","10 MONROE PL","10 MONROE PL","10 MONROE PL","10 MONROE PL"
"50",NA,"122 ADAMS & HIGH","ST","122 ADAMS & HIGH ST","122 ADAMS & HIGH ST","122ND ADAMS & HIGH ST","122ND ADAMS & HIGH ST"
"51",8,"WILLOW PL","PL","8 WILLOW PL","8 WILLOW PL","8 WILLOW PL","8 WILLOW PL"
"52",NA,"COLUMBIA & WARREN","ST","COLUMBIA & WARREN ST","COLUMBIA & WARREN ST","COLUMBIA & WARREN ST","COLUMBIA & WARREN ST"
"53",NA,"3 AVE & 16 GOWANUS","AVE","3 AVE & 16 GOWANUS AVE","3 AVE & 16 GOWANUS AVE","3RD AVE & 16 GOWANUS AVE","3RD AVE & 16 GOWANUS AVE"
"54",NA,"CLASSON & FLUSHING AVE","AVE","CLASSON & FLUSHING AVE","CLASSON & FLUSHING AVE","CLASSON & FLUSHING AVE","CLASSON & FLUSHING AVE"
"55",36,"SACKETT","ST","36 SACKETT ST","36 SACKETT ST","36 SACKETT ST","36 SACKETT ST"
"56",NA,"DUFFIELD & FULTON AVE","AVE","DUFFIELD & FULTON AVE","DUFFIELD & FULTON AVE","DUFFIELD & FULTON AVE","DUFFIELD & FULTON AVE"
"57",NA,"FLATBUSH TURNPIKE & ATLANTIC","ST","FLATBUSH TURNPIKE & ATLANTIC ST","FLATBUSH TURNPIKE & ATLANTIC ST","FLATBUSH TURNPIKE & ATLANTIC ST","FLATBUSH TURNPIKE & ATLANTIC ST"
"58",182,"ATLANTIC","ST","182 ATLANTIC ST","182 ATLANTIC ST","182 ATLANTIC ST","182 ATLANTIC ST"
"59",270,"WASHINGTON","ST","270 WASHINGTON ST","270 WASHINGTON ST","270 WASHINGTON ST","270 WASHINGTON ST"
"60",NA,"DE KALB AVE & RAYMOND","AVE","DE KALB AVE & RAYMOND AVE","DE KALB AVE & RAYMOND AVE","DE KALB AVE & RAYMOND AVE","DE KALB AVE & RAYMOND AVE"
