Full Address,H Status-flag,H Address,H House Number,H Street Name,H City,Address 2,Address 2 House Number,Address 2 Street Name,Address 2 City,new h address-flag,new h house number,new h street name,new h city,new h county,unidentified h info,new h street 1,new h street 2,new h street type,h house number modifier,new address2 house number,new address2 street name,new address2 street 1,new address2 street 2,new address2 street type,new address2 city,new address2 county,unidentified address2 info,address2 house number modifier
"396 Hudson, h. 65 Sullivan Raynor William H. agent , Broadway c. W. 33d, h. Broadway n. W. 32d",TRUE,"H. 65 SULLIVAN RAYNOR WILLIAM H. AGENT , BROADWAY C. W. 33D",65,"SULLIVAN RAYNOR WILLIAM H. AGENT , BROADWAY C. W. 33D",,396 Hudson,396,Hudson,,start with h,65,,,SULLIVAN,"RAYNOR WILLIAM  AGENT ,  C. D",BROADWAY,W 33,corner,,,,,,,,,,
"191 Duane, h. 191 Duane",TRUE,H. 191 DUANE,191,DUANE,,191 Duane,191,Duane,,start with h,191,DUANE,,,,,,,,,,,,,,,,
h. 214 Tenth,TRUE,H. 214 10TH,214,TENTH,,,,,,start with h,214,10,,,TH,,,,,,,,,,,,,
173 Watr. h. 121 Chthm,Assume,173 WATR. H. 121 CHTHM,173,WATR. H. 121 CHTHM,,,,,,h in between,,121,,,CHTHM,,,,,,173,,,,,,WATR.,
"260 Grand, h. 260 Grand",TRUE,H. 260 GRAND,260,GRAND,,260 Grand,260,Grand,,start with h,260,GRAND,,,,,,,,,,,,,,,,
"35 Wall, h. 120 TV. 22d",TRUE,H. 120 TV. 22D,120,TV. 22D,,35 Wall,35,Wall,,start with h,120,22,,,TV. D,,,,,,,,,,,,,
"163 William, h. 71 Irving pl.",TRUE,H. 71 IRVING PL.,71,IRVING PL.,,163 William,163,William,,start with h,71,IRVING PL,,,.,,,,,,,,,,,,,
29 Burling sl. h. 72 Seventh,Assume,29 BURLING SL. H. 72 7TH,29,BURLING SL. H. 72 SEVENTH,,,,,,h in between,72,7,,,2 TH,,,,,,29,,,,,,BURLING SL.,
"43 John, h. 37 E. 20th",TRUE,H. 37 E. 20TH,37,E. 20TH,,43 John,43,John,,start with h,37,E 20,,,TH,,,,,,,,,,,,,
"43 John, h. TaylorÃ¢ÂÂs hotel",TRUE,H. TAYLORÃÂÂS HOTEL,,,TAYLORÃÂÂS HOTEL,43 John,43,John,,start with h,,TAYLOR,,,ÃÂÂS HOTEL,,,,,,,,,,,,,
"280 Av. 3, h. 280 Av. 3",TRUE,H. 280 AV. 3,280,AV. 3,,280 Av. 3,280,Av. 3,,start with h,280,3,,,AV,,,,,,,,,,,,,
"225 Lewis, h. Greenpoint , L. I.",TRUE,"H. GREENPOINT , L. I.",,,"GREENPOINT , L. I.",225 Lewis,225,Lewis,,start with h,,,GREENPOINT,,", L. I.",,,,,,,,,,,,,
"61 Front, h. Brooklyn",TRUE,H. BROOKLYN,,,,61 Front,61,Front,,start with h,,,BROOKLYN,,,,,,,,,,,,,,,
"297.5 Broadway, h. 100 York , Jersey City",TRUE,"H. 100 YORK , JERSEY CITY",100,"YORK ,",JERSEY CITY,297.5 Broadway,,,297.5 Broadway,start with h,100,YORK,JERSEY CITY,,",",,,,,,,,,,,,,
h. 471 Grand,TRUE,H. 471 GRAND,471,GRAND,,,,,,start with h,471,GRAND,,,,,,,,,,,,,,,,
"103 Anthony, h. 47 N. Moore",TRUE,H. 47 N. MOORE,47,N. MOORE,,103 Anthony,103,Anthony,,start with h,47,N MOORE,,,N. MOORE,,,,,,,,,,,,,
"141 Front, h. Court c. Joralemon , Brooklyn",TRUE,"H. COURT C. JORALEMON , BROOKLYN",,,"COURT C. JORALEMON , BROOKLYN",141 Front,141,Front,,start with h,,JORALEMON,BROOKLYN,,"COURT C.  ,",,,,,,,,,,,,,
"295.5 Pearl, h. Brooklyn",TRUE,H. BROOKLYN,,,,295.5 Pearl,,,295.5 Pearl,start with h,,,BROOKLYN,,,,,,,,,,,,,,,
"297.5 Broadway, h. 100 York , JerseyÃ¢ÂÂ City.",TRUE,"H. 100 YORK , JERSEYÃÂÂ CITY.",100,"YORK , JERSEYÃÂÂ CITY.",,297.5 Broadway,,,297.5 Broadway,start with h,100,JERSEY,,,"YORK , ÃÂÂ CITY.",,,,,,,,,,,,,
"141 Front, h. Court c. Joralemon , Brooklyn",TRUE,"H. COURT C. JORALEMON , BROOKLYN",,,"COURT C. JORALEMON , BROOKLYN",141 Front,141,Front,,start with h,,JORALEMON,BROOKLYN,,"COURT C.  ,",,,,,,,,,,,,,
"833 G.wich, h. 790 Washgtn",TRUE,H. 790 WASHGTN,790,WASHGTN,,833 G.wich,833,G.wich,,start with h,790,WASHGTN,,,,,,,,,,,,,,,,
h. 84 Ludlow,TRUE,H. 84 LUDLOW,84,LUDLOW,,,,,,start with h,84,LUDLOW,,,,,,,,,,,,,,,,
"5 Hanover, h. 254 E.B.way",TRUE,H. 254 E.B.WAY,254,E.B.WAY,,5 Hanover,5,Hanover,,start with h,,254,,,EB.WAY,,,,,,,,,,,,,
h. 54.5 Laight,TRUE,H. 54.5 LAIGHT,,,54.5 LAIGHT,,,,,start with h,54,LAIGHT,,,,,,,54.5,,,,,,,,,
"260 Greene, h. 43 Lafayette pl.",TRUE,H. 43 LAFAYETTE PL.,43,LAFAYETTE PL.,,260 Greene,260,Greene,,start with h,43,LAFAYETTE,,,PL.,,,,,,,,,,,,,
"7 Nassau, h. Philadelphia",TRUE,H. PHILADELPHIA,,,,7 Nassau,7,Nassau,,start with h,,,PHILADELPHIA,,,,,,,,,,,,,,,
h. W. 40th c. B.way,TRUE,H. W. 40TH C. B.WAY,,,W. 40TH C. B.WAY,,,,,start with h,,W 40,,,TC. B.WAY,,,,,,,,,,,,,
h. 745 Washington.,TRUE,H. 745 WASHINGTON.,745,WASHINGTON.,,,,,,start with h,745,WASHINGTON,,,.,,,,,,,,,,,,,
"117 Cedar, h. 117Cedar",TRUE,H. 117CEDAR,,,,117 Cedar,117,Cedar,,start with h,,CEDAR,,,117,,,,,,,,,,,,,
h. 24 Second,TRUE,H. 24 2ND,24,SECOND,,,,,,start with h,24,2,,,4 ND,,,,,,,,,,,,,
"377.5 Grand, h. 377.5 Grand",TRUE,H. 377.5 GRAND,,,377.5 GRAND,377.5 Grand,,,377.5 Grand,start with h,377,GRAND,,,,,,,377.5,,,,,,,,,
"190 South & 365 Water, h. 125 Av. 2",TRUE,H. 125 AV. 2,125,AV. 2,,190 South & 365 Water,190,South & 365 Water,,start with h,125,2,,,15 AV,,,,,,,,,,,,,
h. City Hotel,TRUE,H. CITY HOTEL,,,CITY HOTEL,,,,,start with h,,,,,CITY HOTEL,,,,,,,,,,,,,
"161 Maiden lane, h. 301 Gold , Brooklyn",TRUE,"H. 301 GOLD , BROOKLYN",301,"GOLD ,",BROOKLYN,161 Maiden lane,161,Maiden lane,,start with h,301,GOLD,BROOKLYN,,",",,,,,,,,,,,,,
"15 Catherine, h. 103 Monroe",TRUE,H. 103 MONROE,103,MONROE,,15 Catherine,15,Catherine,,start with h,103,MONROE,,,,,,,,,,,,,,,,
"47 Cherry, h. 47 Cherry",TRUE,H. 47 CHERRY,47,CHERRY,,47 Cherry,47,Cherry,,start with h,47,CHERRY,,,,,,,,,,,,,,,,
"117 Bkman, h. Portchester",TRUE,H. PORTCHESTER,,,,117 Bkman,117,Bkman,,start with h,,,PORTCHESTER,,,,,,,,,,,,,,,
"117 Bkman, h. Portchester",TRUE,H. PORTCHESTER,,,,117 Bkman,117,Bkman,,start with h,,,PORTCHESTER,,,,,,,,,,,,,,,
"117 Bkmn, h. Portchester",TRUE,H. PORTCHESTER,,,,117 Bkmn,117,Bkmn,,start with h,,,PORTCHESTER,,,,,,,,,,,,,,,
"117 Bkmn, h. Ptchester",TRUE,H. PTCHESTER,,,,117 Bkmn,117,Bkmn,,start with h,,,PTCHESTER,,,,,,,,,,,,,,,
"429 Av. 6, h. 136W. 28th",TRUE,H. 136W. 28TH,,,136W. 28TH,429 Av. 6,429,Av. 6,,start with h,,W 28,,,136TH,,,,,,,,,,,,,
h. 333 Av. 6,TRUE,H. 333 AV. 6,333,AV. 6,,,,,,start with h,333,6,,,AV,,,,,,,,,,,,,
"47 Liberty, h. 10 E. 14th",TRUE,H. 10 E. 14TH,10,E. 14TH,,47 Liberty,47,Liberty,,start with h,10,E 14,,,TH,,,,,,,,,,,,,
"108 Broad, h. Brooklyn",TRUE,H. BROOKLYN,,,,108 Broad,108,Broad,,start with h,,,BROOKLYN,,,,,,,,,,,,,,,
"11 Nassau, h. 180 Henry,Bklyn.",TRUE,"H. 180 HENRY,BKLYN.",180,"HENRY,BKLYN.",,11 Nassau,11,Nassau,,start with h,180,HENRY,BKLYN,,",.",,,,,,,,,,,,,
"124 Stanton, h. 124 Stanton",TRUE,H. 124 STANTON,124,STANTON,,124 Stanton,124,Stanton,,start with h,124,STANTON,,,,,,,,,,,,,,,,
"185 Clinton, h. 185Cla",TRUE,H. 185CLA,,,,185 Clinton,185,Clinton,,start with h,,185,,,CLA,,,,,,,,,,,,,
"102 Clmbia, h. 102 Clmbia",TRUE,H. 102 CLMBIA,102,CLMBIA,,102 Clmbia,102,Clmbia,,start with h,,102,,,CLMBIA,,,,,,,,,,,,,
"455 Pearl, h. 455 Pearl",TRUE,H. 455 PEARL,455,PEARL,,455 Pearl,455,Pearl,,start with h,455,PEARL,,,,,,,,,,,,,,,,
"97 Clithm, h. 97 Chthm",TRUE,H. 97 CHTHM,97,CHTHM,,97 Clithm,97,Clithm,,start with h,,97,,,CHTHM,,,,,,,,,,,,,
h. 32 Orchard,TRUE,H. 32 ORCHARD,32,ORCHARD,,,,,,start with h,32,ORCHARD,,,,,,,,,,,,,,,,
"45 Goerck, h. 32 Goerck",TRUE,H. 32 GOERCK,32,GOERCK,,45 Goerck,45,Goerck,,start with h,32,GOERCK,,,,,,,,,,,,,,,,
"443 B.way, h. 16 Mercer",TRUE,H. 16 MERCER,16,MERCER,,443 B.way,443,B.way,,start with h,16,MERCER,,,,,,,,,,,,,,,,
"70 Nassau, h. N. Jersey",TRUE,H. N. JERSEY,,,N. JERSEY,70 Nassau,70,Nassau,,start with h,,,N. JERSEY,,,,,,,,,,,,,,,
"30 Cortlandt, h. 58 Lispenard",TRUE,H. 58 LISPENARD,58,LISPENARD,,30 Cortlandt,30,Cortlandt,,start with h,58,LISPENARD,,,,,,,,,,,,,,,,
22 Maiden-l. h. 111 Hudson,Assume,22 MAIDENL. H. 111 HUDSON,22,MAIDEN-L. H. 111 HUDSON,,,,,,h in between,111,HUDSON,,,,,,,,,22,,,,,,MAIDENL.,
"9 S. William, h. Germany",TRUE,H. GERMANY,,,,9 S. William,9,S. William,,start with h,,,GERMANY,,,,,,,,,,,,,,,
"4 Pine, h. 51 N. Moore",TRUE,H. 51 N. MOORE,51,N. MOORE,,4 Pine,4,Pine,,start with h,51,N MOORE,,,N. MOORE,,,,,,,,,,,,,
"2 Av. C, h. 133 Willett",TRUE,H. 133 WILLETT,133,WILLETT,,2 Av. C,2,Av. C,,start with h,133,WILLETT,,,,,,,,,,,,,,,,
h. 98 Charles,TRUE,H. 98 CHARLES,98,CHARLES,,,,,,start with h,98,CHARLES,,,,,,,,,,,,,,,,
h. 662 Water,TRUE,H. 662 WATER,662,WATER,,,,,,start with h,662,WATER,,,,,,,,,,,,,,,,
"132 Chambrs, h. 25 Coll. pl.",TRUE,H. 25 COLL. PL.,25,COLL. PL.,,132 Chambrs,132,Chambrs,,start with h,,25,,,COLL. PL.,,,,,,,,,,,,,
"5 Macdougal, h. 4 Vandam",TRUE,H. 4 VANDAM,4,VANDAM,,5 Macdougal,5,Macdougal,,start with h,4,VANDAM,,,,,,,,,,,,,,,,
h. 133 Franklin,TRUE,H. 133 FRANKLIN,133,FRANKLIN,,,,,,start with h,133,FRANKLIN,,,,,,,,,,,,,,,,
"97 Barclay, h. 105Brcly",TRUE,H. 105BRCLY,,,,97 Barclay,97,Barclay,,start with h,,BRCLY,,,105,,,,,,,,,,,,,
"137 Christopher, h. 144 Amos",TRUE,H. 144 AMOS,144,AMOS,,137 Christopher,137,Christopher,,start with h,144,AMOS,,,,,,,,,,,,,,,,
"575 Hudsn, h. 150 W. 17th",TRUE,H. 150 W. 17TH,150,W. 17TH,,575 Hudsn,575,Hudsn,,start with h,150,W 17,,,TH,,,,,,,,,,,,,
