"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10"
"1",NA,NA,NA,NA,NA,"W 150","BROOK AVE.",NA,NA,NA
"2",NA,NA,NA,NA,NA,"3 AVE","E 148 AND 22271 AVE.",NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,"COURTLAND AVE","154",NA,NA,NA
"5","146 AVE.","14","6 AVE.",NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,"149","COURTLAND AVE.",NA,NA,NA,NA,NA
"7",NA,NA,NA,"149","COURTLAND AVE.",NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,"152","COURTLAND AVE.",NA,NA,NA
"9",NA,NA,NA,"COURTLAND AVE","149",NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,"167",NA,NA,NA
"11",NA,NA,NA,NA,NA,"146","BROOK AVE.",NA,NA,NA
"12","206 AVE.","20","6 AVE.",NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,"WASHN AVE","165",NA,NA,NA
"14","1510 ORCHARD","1510","ORCHARD",NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,"149","BROOK AVE.",NA,NA,NA
"16","3258","325","8",NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","31 CARMINE","31","CARMINE",NA,NA,NA,NA,NA,NA,NA
"20","H H 241 PL. BKLYN","24","1 PL. BKLYN",NA,NA,NA,NA,"BKLYN","24","1"
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","CONCORD AVE. E CLIFF",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","181 LEX. AVE.","181","LEX. AVE.",NA,NA,NA,NA,NA,NA,NA
"25","E 169 FRANKLIN AVE.","169","E FRANKLIN AVE.",NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,"3 AVE","170",NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","FOR THE UNITED STATE OF THE NUREMBERG UL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","256 GRAND","256","GRAND",NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","247 BROOME","247","BROOME",NA,NA,NA,NA,NA,NA,NA
"33","H H 1159 FIH AVE.","1159","FIH AVE.",NA,NA,NA,NA,NA,NA,"1159"
"34","H H W 359 22","359","W 22",NA,NA,NA,NA,NA,"359","W 22"
"35","H H 14106 AVE.","1410","6 AVE.",NA,NA,NA,NA,NA,"1410","6"
"36","237 BROADWAY","237","BROADWAY",NA,NA,NA,NA,NA,NA,NA
"37","YOUNG MENS CHRISTIAN ASSN H E 52 23 AND 134 BOWERY",NA,NA,NA,NA,NA,NA,NA,"52","BOWERY"
"38","CENTRAL",NA,NA,NA,NA,NA,NA,NA,"201","E 86"
"39","YOUNG MENS HEBREW ASSN H W 110 42",NA,NA,NA,NA,NA,NA,NA,"110","W 42"
"40","YOUNG MENS UNION CHRISTIAN ASSN H W 122 26",NA,NA,NA,NA,NA,NA,NA,"122","W 26"
"41","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"42","H H 249 FIH AVE.","249","FIH AVE.",NA,NA,NA,NA,NA,NA,"249"
"43","10223 AVE.","1022","3 AVE.",NA,NA,NA,NA,NA,NA,NA
"44","YOUNG WOMANS CHRISTIAN ASSN H E 7 15",NA,NA,NA,NA,NA,NA,NA,"7","E 15"
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","26 BROADWAY","26","BROADWAY",NA,NA,NA,NA,NA,NA,NA
"47","957","95","7",NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","9062 AVE  ,","906","2 AVE ,",NA,NA,NA,NA,NA,NA,NA
"50","158 CHERRY","158","CHERRY",NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","H 70 BROAD","70","BROAD",NA,NA,NA,NA,NA,"70","BROAD"
"53","H H 307 MADISON AVE.","307","MADISON AVE.",NA,NA,NA,NA,NA,"307","MADISON"
"54",NA,NA,NA,NA,NA,"151","TINTON AVE.",NA,NA,NA
"55","BEA VER,B 567 HENRY,BKLYN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,NA,"3 AVE","145",NA,NA,NA,NA,NA
"57","LIMITED",NA,NA,NA,NA,NA,NA,NA,"101","FRANKLIN"
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,NA,NA,NA,"136","3 AVE.",NA,NA,NA
"61","YAVAPAI MILL AND MINING CO. BROADWAY",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","596 BROADWAY","596","BROADWAY",NA,NA,NA,NA,NA,NA,NA
"63","29 RIDSE","29","RIDSE",NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","56 BOWERY","56","BOWERY",NA,NA,NA,NA,NA,NA,NA
