"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10"
"4286","RAN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4287",NA,NA,NA,NA,NA,"W 29","AVE 9",NA,NA,NA
"4288","W N 22 AVE H 10","22","AVE N H 10",NA,NA,NA,NA,NA,NA,"10"
"4289",NA,NA,NA,"PECK SL","SOUTH",NA,NA,NA,NA,NA
"4290","H H 50 THOMPSON","50","THOMPSON",NA,NA,NA,NA,NA,"50","THOMPSON"
"4291","W N 42 AVE H 8","42","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"4292","W N 23 AVE H 9","23","AVE N H 9",NA,NA,NA,NA,NA,NA,"9"
"4293","152 GRAND","152","GRAND",NA,NA,NA,NA,NA,NA,NA
"4294","H 134 MULBERRY","134","MULBERRY",NA,NA,NA,NA,NA,"134","MULBERRY"
"4295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4296","H H 103 PERRY","103","PERRY",NA,NA,NA,NA,NA,"103","PERRY"
"4297","3003","300","3",NA,NA,NA,NA,NA,NA,NA
"4298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4299","211 AVE H 9","211","AVE H 9",NA,NA,NA,NA,NA,NA,"9"
"4300","RAY",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4301","44 HOUSTON","44","HOUSTON",NA,NA,NA,NA,NA,NA,NA
"4302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4304","E FOOT 26",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4305","45 MERCHANTS EXCHANGE","45","MERCHANTS EXCHANGE",NA,NA,NA,NA,NA,NA,NA
"4306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4307","REA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4308","W N 27 AVE H 8","27","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"4309","W N 33 AVE H 6","33","AVE N H 6",NA,NA,NA,NA,NA,NA,"6"
"4310","H 354 MADISON","354","MADISON",NA,NA,NA,NA,NA,"354","MADISON"
"4311","104 ORANGE","104","ORANGE",NA,NA,NA,NA,NA,NA,NA
"4312","E N 24 AVE H 2","24","AVE N H 2",NA,NA,NA,NA,NA,NA,"2"
"4313","456 BROADWAY","456","BROADWAY",NA,NA,NA,NA,NA,NA,NA
"4314","315 STANTON","315","STANTON",NA,NA,NA,NA,NA,NA,NA
"4315","W 24 B AVS H 6 AND7,W H 24 B AVS 6 AND 7","24","B AVS 6 AND 7",NA,NA,NA,NA,NA,"24","S 6"
"4316",NA,NA,NA,"AV7","W 15AND 93 ORANGE",NA,NA,NA,NA,NA
"4317","217 VARICK","217","VARICK",NA,NA,NA,NA,NA,NA,NA
"4318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4320",NA,NA,NA,NA,NA,"SOUTH","JACKSON",NA,NA,NA
"4321","W N 28.R.","28","N.R.",NA,NA,NA,NA,NA,NA,NA
"4322","H W 111 17","11","W 1 17",NA,NA,NA,NA,NA,"11","W 17"
"4323","60 NORFOLK","60","NORFOLK",NA,NA,NA,NA,NA,NA,NA
"4324","119 WASHINGTON","119","WASHINGTON",NA,NA,NA,NA,NA,NA,NA
"4325","E N 22 AVE H 2","22","AVE N H 2",NA,NA,NA,NA,NA,NA,"2"
"4326","W N 18 AVE H 6","18","AVE N H 6",NA,NA,NA,NA,NA,NA,"6"
"4327","126","126",NA,NA,NA,NA,NA,NA,NA,NA
"4328","197 DNUSLON","197","DNUSLON",NA,NA,NA,NA,NA,NA,NA
"4329","REI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4330",NA,NA,NA,NA,NA,"AV7","W 31",NA,NA,NA
"4331","53 DIVISION","53","DIVISION",NA,NA,NA,NA,NA,NA,NA
"4332","E N 24 AVE H 2","24","AVE N H 2",NA,NA,NA,NA,NA,NA,"2"
"4333","NEW ENGLAND HOUE H 6 ROOSEVELT",NA,NA,NA,NA,NA,NA,NA,"6","ROOSEVELT"
"4334","REI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4335","Ã¢ÂÂ W N 18 AVE H 1",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"4336","136 MULBERRY","136","MULBERRY",NA,NA,NA,NA,NA,NA,NA
"4337","E 18 AVE C H 1","18","AVE C H 1",NA,NA,NA,NA,NA,NA,"1"
"4338","W N 25 AVE H 6","25","AVE N H 6",NA,NA,NA,NA,NA,NA,"6"
"4339","W N 42 AVE H 9","42","AVE N H 9",NA,NA,NA,NA,NA,NA,"9"
"4340",NA,NA,NA,NA,NA,"E 24","AVE. A",NA,NA,NA
"4341","REN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4344","167 BROADWAY , RATHBUNS","167","BROADWAY , RATHBUNS",NA,NA,NA,NA,NA,NA,NA
"4345","W N 33 AVE H 8","33","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"4346","W N 38 AVE H 9","38","AVE N H 9",NA,NA,NA,NA,NA,NA,"9"
"4347",NA,NA,NA,NA,NA,NA,"MADISON AVE",NA,NA,NA
"4348","58 RIVINGTON","58","RIVINGTON",NA,NA,NA,NA,NA,NA,NA
"4349","243 DIVISION","243","DIVISION",NA,NA,NA,NA,NA,NA,NA
"4350","REY",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4351","W N 26 AVE H 9","26","AVE N H 9",NA,NA,NA,NA,NA,NA,"9"
"4352","W 21 AVE C H 7","21","AVE C H 7",NA,NA,NA,NA,NA,NA,"7"
"4353",NA,NA,NA,NA,NA,"AVE. A","TWELH",NA,NA,NA
"4354","H H 267 HOUSTON","267","HOUSTON",NA,NA,NA,NA,NA,"267","HOUSTON"
"4355","3536","353","6",NA,NA,NA,NA,NA,NA,NA
"4356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4357",NA,NA,NA,"18","AVE. A",NA,NA,NA,NA,NA
"4358","W 18 AVE C H 10","18","AVE C H 10",NA,NA,NA,NA,NA,NA,"10"
"4359","200 GREENE","200","GREENE",NA,NA,NA,NA,NA,NA,NA
"4360","W N 30 AVE H 8","30","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"4361","23 CORNELIA R,EYNOLDS WILLIAM HENRY,H 712 GREENWICH","712","GREENWICH",NA,NA,NA,NA,NA,"712","GREENWICH"
"4362","137 SULLIVAN","137","SULLIVAN",NA,NA,NA,NA,NA,NA,NA
"4363","AVE H 3",NA,NA,NA,NA,NA,NA,NA,NA,"3"
"4364","132 RIVINGTON","132","RIVINGTON",NA,NA,NA,NA,NA,NA,NA
"4365","W N 25 AVE H 7","25","AVE N H 7",NA,NA,NA,NA,NA,NA,"7"
"4366","W N 37 AVE H 8","37","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"4367","92 LAURENS","92","LAURENS",NA,NA,NA,NA,NA,NA,NA
"4368","207 AVE H 6","207","AVE H 6",NA,NA,NA,NA,NA,NA,"6"
"4369","H. BKLM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4370",NA,NA,NA,"THOMPSON","4",NA,NA,NA,NA,NA
"4371",NA,NA,NA,NA,NA,"E 24","AVE. A",NA,NA,NA
"4372","3B010",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4373","N Y. UNIVERSITY",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4374","W R N 28 AVE H 8",NA,NA,NA,NA,NA,NA,NA,NA,"8"
"4375","W N 28 AVE H 10","28","AVE N H 10",NA,NA,NA,NA,NA,NA,"10"
"4376","E N 24 AVE H 1","24","AVE N H 1",NA,NA,NA,NA,NA,NA,"1"
"4377",NA,NA,NA,NA,NA,"BROADWAY","W 40",NA,NA,NA
"4378","W N 26 AVE H 8","26","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"4379","HOSPITAL FOOT E OF 26",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4380","E N 26 AVE H 2","26","AVE N H 2",NA,NA,NA,NA,NA,NA,"2"
"4381","RID",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4382","29 CORNELIA","29","CORNELIA",NA,NA,NA,NA,NA,NA,NA
"4383","H 82 HESTER","82","HESTER",NA,NA,NA,NA,NA,"82","HESTER"
"4384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4385","70 HAMERSLEY ,H H 70 HAMERSLEY","70","HAMERSLEY",NA,NA,NA,NA,NA,NA,"70"
"4386","W N 36 AVE H 9","36","AVE N H 9",NA,NA,NA,NA,NA,NA,"9"
"4387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4389","2765TANTOI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4390","H 33FORSYTA",NA,NA,NA,NA,NA,NA,NA,NA,"33"
"4391","RIKER GILBERT KWINDOWSHDSH31 CHATM H 6 ALLEN",NA,NA,NA,NA,NA,NA,NA,"6","ALLEN"
"4392","W N 31 AVE H 10","31","AVE N H 10",NA,NA,NA,NA,NA,NA,"10"
"4393","297 BROADWAY","297","BROADWAY",NA,NA,NA,NA,NA,NA,NA
"4394","W N 25 AVE H 10","25","AVE N H 10",NA,NA,NA,NA,NA,NA,"10"
"4395","W N 27 AVE H 7","27","AVE N H 7",NA,NA,NA,NA,NA,NA,"7"
"4396","220 GREENWICH","220","GREENWICH",NA,NA,NA,NA,NA,NA,NA
"4397","32A FIH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4398",NA,NA,NA,NA,NA,"E 25","AVE. B",NA,NA,NA
"4399","W N 28 AVE H 9","28","AVE N H 9",NA,NA,NA,NA,NA,NA,"9"
"4400","E N 24 AVE H 2","24","AVE N H 2",NA,NA,NA,NA,NA,NA,"2"
"4401","297 BROADWAY","297","BROADWAY",NA,NA,NA,NA,NA,NA,NA
"4402","RIT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4404","67 DIVISION","67","DIVISION",NA,NA,NA,NA,NA,NA,NA
"4405","68 WEST WASHINGTON PL","68","WEST WASHINGTON PL",NA,NA,NA,NA,NA,NA,NA
"4406","ROA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4408","243| DIVLSLON",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4409","E N 25 AVE H 1","25","AVE N H 1",NA,NA,NA,NA,NA,NA,"1"
"4410","333 DELANCEY ,H H 53 COLUMBIA","53","COLUMBIA",NA,NA,NA,NA,NA,"53","COLUMBIA"
