"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10"
"1","ALBRO BENJAMIN SEN H 328 BOWERY",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,"E 13","AVE. A",NA,NA,NA
"3","E 24 AVE C H 3","24","AVE C H 3",NA,NA,NA,NA,NA,NA,"3"
"4",NA,NA,NA,NA,NA,"AVE. C","11",NA,NA,NA
"5","N 24 AVE H 10","24","AVE N H 10",NA,NA,NA,NA,NA,NA,"10"
"6","W N 26 AVE H 7","26","AVE N H 7",NA,NA,NA,NA,NA,NA,"7"
"7","W N 25 AVE H 10","25","AVE N H 10",NA,NA,NA,NA,NA,NA,"10"
"8",NA,NA,NA,"AVE. D","4",NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,"3","AVE. A",NA,NA,NA
"10",NA,NA,NA,"TWELH","DRY DOCK",NA,NA,NA,NA,NA
"11","W N 28 AVE H 7","28","AVE N H 7",NA,NA,NA,NA,NA,NA,"7"
"12","PEARL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","6504","650","4",NA,NA,NA,NA,NA,NA,NA
"14","E N 16 AVE H 1","16","AVE N H 1",NA,NA,NA,NA,NA,NA,"1"
"15","W N 29 AVE H 11","29","AVE N H 11",NA,NA,NA,NA,NA,NA,"11"
"16","W 27 B AVS H 9 AND 10","27","B AVS H 9 AND 10",NA,NA,NA,NA,NA,"9","10"
"17",NA,NA,NA,"9","AVE. C",NA,NA,NA,NA,NA
"18","E N 22 AVE H 3","22","AVE N H 3",NA,NA,NA,NA,NA,NA,"3"
"19",NA,NA,NA,NA,NA,"TWELH","DRY DOCK",NA,NA,NA
"20","E N 23 AVE H 4","23","AVE N H 4",NA,NA,NA,NA,NA,NA,"4"
"21","ABB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","H. BROOKLYN",NA,NA,NA,NA,NA,NA,"BROOKLYN",NA,NA
"23","295 PEARL","295","PEARL",NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","REV",NA,NA,NA,NA,NA,NA,NA,"260","GREENE"
"26","158W 20","20",NA,NA,NA,NA,NA,NA,NA,NA
"27","E N 30 AVE H 3","30","AVE N H 3",NA,NA,NA,NA,NA,NA,"3"
"28","WILL BE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","273 BOWERY ,H 187 FORSYTH","187","FORSYTH",NA,NA,NA,NA,NA,"187","FORSYTH"
"30","W N 29 AVE H 8","29","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","140 B.WAY , RATHBUNS","140","B.WAY , RATHBUNS",NA,NA,NA,NA,NA,NA,NA
"33","W N 27 AVE H 6","27","AVE N H 6",NA,NA,NA,NA,NA,NA,"6"
"34","ACK",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","A H 308 RIVINGTON",NA,NA,NA,NA,NA,NA,NA,"308","RIVINGTON"
"36","W N 26 AVE H 7","26","AVE N H 7",NA,NA,NA,NA,NA,NA,"7"
"37","HEALTHWARDEN 15WRD,261 ELIZBTH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","W N 13 AVE H 8","13","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"39","155 DIVISION","155","DIVISION",NA,NA,NA,NA,NA,NA,NA
"40","260 DIVISION","260","DIVISION",NA,NA,NA,NA,NA,NA,NA
"41","ADA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","W N 29 AVE H 10","29","AVE N H 10",NA,NA,NA,NA,NA,NA,"10"
"43","W N 36 AVE H 9","36","AVE N H 9",NA,NA,NA,NA,NA,NA,"9"
"44","7 WRD BNK ,W H 30 AV7","30","AV7",NA,NA,NA,NA,NA,"30","7"
"45","OF LUMBER,18 MINETTA LA.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","H 103 NASSAU","103","NASSAU",NA,NA,NA,NA,NA,"103","NASSAU"
"47","260 DIVISION","260","DIVISION",NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","W N 28 AVE H 10","28","AVE N H 10",NA,NA,NA,NA,NA,NA,"10"
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","ADA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,NA,NA,NA,"E 25","LEXINGTON AVE.",NA,NA,NA
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","W N 28 AVE H 8","28","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"55","H. AD OF STRONG PL. BROOKLYN",NA,NA,NA,NA,NA,NA,"BROOKLYN",NA,"STRONG PL"
"56","ADR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","AIK",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","W N 34 ALY H 6","34","N ALY H 6",NA,NA,NA,NA,NA,NA,"6"
"60","171 FRONT , EARLES","171","FRONT , EARLES",NA,NA,NA,NA,NA,NA,NA
"61","AIREY W ESTHER OF GEORGE,TH AMITY PL.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","H H 173 STH","173","STH",NA,NA,NA,NA,NA,NA,"173"
"63","124 CANNON","124","CANNON",NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","369 PEARL","369","PEARL",NA,NA,NA,NA,NA,NA,NA
"66","ALE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","MANUFACTURER OF INCORRUPTI BLE TEETH H 78 CHAMBERS",NA,NA,NA,NA,NA,NA,NA,"78","CHAMBERS"
"68","112 WEST , NORTHRN","112","WEST , NORTHRN",NA,NA,NA,NA,NA,NA,NA
"69","AVE N H 9",NA,NA,NA,NA,NA,NA,NA,NA,"9"
"70","AVE N H 3",NA,NA,NA,NA,NA,NA,NA,NA,"3"
"71","ALLEN A B AND CO H 189 AND 191 WATER",NA,NA,NA,NA,NA,NA,NA,"189","WATER"
"72","W R N 18 AVE H 6",NA,NA,NA,NA,NA,NA,NA,NA,"6"
"73","W N 37 AVE H 9","37","AVE N H 9",NA,NA,NA,NA,NA,NA,"9"
"74","159 WATER","159","WATER",NA,NA,NA,NA,NA,NA,NA
"75","W N 32 AVE H 7","32","AVE N H 7",NA,NA,NA,NA,NA,NA,"7"
"76","W N 25 AVE H 7","25","AVE N H 7",NA,NA,NA,NA,NA,NA,"7"
"77","592 GRAND","592","GRAND",NA,NA,NA,NA,NA,NA,NA
"78","E N 24 AVE H 1","24","AVE N H 1",NA,NA,NA,NA,NA,NA,"1"
"79","851 B.WAY","851","B.WAY",NA,NA,NA,NA,NA,NA,NA
"80","127 BROAD , BROOKLYN","127","BROAD ,",NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","191 WATER","191","WATER",NA,NA,NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA,"TWELH","AVE. C",NA,NA,NA
"84","W N 27 AVE H 8","27","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"85","H 117 CHRYSTIE",NA,NA,NA,NA,NA,NA,NA,NA,"CHRYSTIE"
"86",NA,NA,NA,"E 22","LEXINGTN AVE.",NA,NA,NA,NA,NA
"87","BROOKLYN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","0","0",NA,NA,NA,NA,NA,NA,NA,NA
"89","252 STANTON","252","STANTON",NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","AME",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","255 STANTON","255","STANTON",NA,NA,NA,NA,NA,NA,NA
"93","116 AVE H 7","116","AVE H 7",NA,NA,NA,NA,NA,NA,"7"
"94","GANSEVOORT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","AMERICAN BAPTIST HOME MISSION SOC H 354 BROOME",NA,NA,NA,NA,NA,NA,NA,"354","BROOME"
"96","AMERICAN EXPRESS CO H 83 BROADWAY",NA,NA,NA,NA,NA,NA,NA,"83","BROADWAY"
"97","H 3G PARK ROW ~",NA,NA,NA,NA,NA,NA,NA,NA,"PARK ROW"
"98","AMERICAN INSTITUTE 351 BROADWAY",NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","H H 42 DOMINK","42","DOMINK",NA,NA,NA,NA,NA,NA,"42"
"100","REV",NA,NA,NA,NA,NA,NA,NA,"176","DUANE"
"101","166 WATER , U.S.","166","WATER , U.S.",NA,NA,NA,NA,NA,NA,NA
"102","22 FRANKFORT","22","FRANKFORT",NA,NA,NA,NA,NA,NA,NA
"103","W N 27 AVE H 8","27","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"104","W N 29 AVE H 8","29","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"105","E N 19 AVE H 3","19","AVE N H 3",NA,NA,NA,NA,NA,NA,"3"
"106","W MER N 33 AVE H 9",NA,NA,NA,NA,NA,NA,NA,NA,"9"
"107","390 WATER","390","WATER",NA,NA,NA,NA,NA,NA,NA
"108","W N 28 AVE H 10","28","AVE N H 10",NA,NA,NA,NA,NA,NA,"10"
"109","29","29",NA,NA,NA,NA,NA,NA,NA,NA
"110","W N 33 AVE H 6","33","AVE N H 6",NA,NA,NA,NA,NA,NA,"6"
"111","54. BROAD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","OF KNEISLE",NA,NA,NA,NA,NA,NA,NA,"107","GREENE"
"113","REFUSED",NA,NA,NA,NA,NA,NA,NA,"4","E 11"
"114","ANG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,NA,NA,NA,"E R 29","LEXINGTON AVE.",NA,NA,NA
"116",NA,NA,NA,". JERSEY",NA,NA,NA,NA,NA,NA
"117","34 SUFFOLK","34","SUFFOLK",NA,NA,NA,NA,NA,NA,NA
"118","W N 28 AVE H 8","28","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"119","130 PEARL , NATIONAL","130","PEARL , NATIONAL",NA,NA,NA,NA,NA,NA,NA
"120","H H 276 CA*L","276","CA*L",NA,NA,NA,NA,NA,NA,"276"
"121","ANT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","H R H 188 BROOME",NA,NA,NA,NA,NA,NA,NA,NA,"BROOME"
"123","W 40 14 .","40","W 14 .",NA,NA,NA,NA,NA,NA,NA
"124","125 WHITE","125","WHITE",NA,NA,NA,NA,NA,NA,NA
"125","REV",NA,NA,NA,NA,NA,NA,NA,"156","AVE H"
"126","H 12 BETHUNE","12","BETHUNE",NA,NA,NA,NA,NA,"12","BETHUNE"
"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","74 PINE","74","PINE",NA,NA,NA,NA,NA,NA,NA
"129","W N 31 AVE H 9","31","AVE N H 9",NA,NA,NA,NA,NA,NA,"9"
"130","CIR LIBERTY",NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","H 157 MACDOUGAL","157","MACDOUGAL",NA,NA,NA,NA,NA,"157","MACDOUGAL"
"132","H 11 AMITYP","11","AMITYP",NA,NA,NA,NA,NA,"11","AMITY"
"133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","W N 35 AVE H 9.","35","AVE N H 9.",NA,NA,NA,NA,NA,NA,"9"
"136","W N 29 AVE H 10.","29","AVE N H 10.",NA,NA,NA,NA,NA,NA,"10"
"137","ARN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","W R N 26 AVE H 7",NA,NA,NA,NA,NA,NA,NA,NA,"7"
"139","W N 26 AVE H 7","26","AVE N H 7",NA,NA,NA,NA,NA,NA,"7"
"140","2 G.WICH,H. .JERSEY CITY",NA,NA,NA,NA,NA,NA,"JERSEY CITY",NA,NA
"141","E N 29 AVE H 3","29","AVE N H 3",NA,NA,NA,NA,NA,NA,"3"
"142","ASC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","56 SUFFOLK","56","SUFFOLK",NA,NA,NA,NA,NA,NA,NA
"144","W N 28 AVE H 8","28","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"145","W R N 35 AVE C H 7",NA,NA,NA,NA,NA,NA,NA,NA,"7"
"146","92 SHERIFF","92","SHERIFF",NA,NA,NA,NA,NA,NA,NA
"147","W N 26 AVE H 8","26","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","E 32 AVE C H 4","32","AVE C H 4",NA,NA,NA,NA,NA,NA,"4"
"150","W 146 16,H H W 250 17","250","W 17",NA,NA,NA,NA,NA,"250","W 17"
"151",NA,NA,NA,"BOWERY","HESTER",NA,NA,NA,NA,NA
"152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","243 GREENWICH","243","GREENWICH",NA,NA,NA,NA,NA,NA,NA
"154","ATLANTIC DOCK CO H 74 BROADWAY",NA,NA,NA,NA,NA,NA,NA,"74","BROADWAY"
"155","ATLANTIC MUTUAL INSURANCE CO H 14 AND 16 MERCHANTS EXCHANGE",NA,NA,NA,NA,NA,NA,NA,"14","16"
"156","H H 22 IRVG PL.","22","IRVG PL.",NA,NA,NA,NA,NA,NA,"22"
"157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",NA,NA,NA,NA,NA,NA,"LEXINGTON AVE.",NA,NA,NA
"159","H H 162 SULLIVAN","162","SULLIVAN",NA,NA,NA,NA,NA,"162","SULLIVAN"
"160","AUS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","76 WALL","76","WALL",NA,NA,NA,NA,NA,NA,NA
"162","N 32 AVE H 7","32","AVE N H 7",NA,NA,NA,NA,NA,NA,"7"
"163","151 FRANKLIN","151","FRANKLIN",NA,NA,NA,NA,NA,NA,NA
"164",NA,NA,NA,NA,NA,"12","UNIVERSITY PL.",NA,NA,NA
"165",NA,NA,NA,"CENTRE","READE",NA,NA,NA,NA,NA
"166","W N 25 AVE H 8","25","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"167","BROOKLYN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","AYE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",NA,NA,NA,NA,NA,"E 24","AVE. A",NA,NA,NA
"170",NA,NA,NA,NA,NA,"E 24","AVE. A",NA,NA,NA
"171","59 CHERRY","59","CHERRY",NA,NA,NA,NA,NA,NA,NA
"172","59 CHERRY","59","CHERRY",NA,NA,NA,NA,NA,NA,NA
"173","W N 35 AVE H 9","35","AVE N H 9",NA,NA,NA,NA,NA,NA,"9"
"174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","37 NASSAU , NATIONAL","37","NASSAU , NATIONAL",NA,NA,NA,NA,NA,NA,NA
"176","JUDSONS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","299 BROADWAY","299","BROADWAY",NA,NA,NA,NA,NA,NA,NA
"178","OF JOHN C H 30 . MARKS PL",NA,NA,NA,NA,NA,NA,NA,NA,"30"
"179","BAC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",NA,NA,NA,"W BROADWAY","WARREN",NA,NA,NA,NA,NA
"182","157 BOWERY","157","BOWERY",NA,NA,NA,NA,NA,NA,NA
"183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","W N 30 AVE H 7","30","AVE N H 7",NA,NA,NA,NA,NA,NA,"7"
"185","W N 29 AVE H 6","29","AVE N H 6",NA,NA,NA,NA,NA,NA,"6"
"186","REV",NA,NA,NA,NA,NA,NA,NA,"699","GREENWICH"
"187","132 WATER","132","WATER",NA,NA,NA,NA,NA,NA,NA
"188",NA,NA,NA,"WALL","SOUTH",NA,NA,NA,NA,NA
"189","218W 26","26",NA,NA,NA,NA,NA,NA,NA,NA
"190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","H. .JERSEY C.",NA,NA,NA,NA,NA,NA,"JERSEY C.",NA,NA
"192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","W N 18 AVE H 9","18","AVE N H 9",NA,NA,NA,NA,NA,NA,"9"
"194",NA,NA,NA,"9","AVE. C",NA,NA,NA,NA,NA
"195","292","292",NA,NA,NA,NA,NA,NA,NA,NA
"196",NA,NA,NA,"9","AVE. C",NA,NA,NA,NA,NA
"197","OF GEORGE A H 97 LUDLOW",NA,NA,NA,NA,NA,NA,NA,"97","LUDLOW"
"198","113 DIVISION","113","DIVISION",NA,NA,NA,NA,NA,NA,NA
"199","OF WILLIAM A H 273 DELANCEY",NA,NA,NA,NA,NA,NA,NA,NA,"273"
"200","W N 37 AVE H 9","37","AVE N H 9",NA,NA,NA,NA,NA,NA,"9"
"201","BAK",NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","W N 37 AVE H 9","37","AVE N H 9",NA,NA,NA,NA,NA,NA,"9"
"203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","76 AVE H 9","76","AVE H 9",NA,NA,NA,NA,NA,NA,"9"
"205","E RIVINGTON PITT Y BAKER JOHN A H 22 WATTS",NA,NA,NA,NA,NA,NA,NA,"22","WATTS"
"206","W N 30 AVE H 7  , A","30","AVE N H 7 , A",NA,NA,NA,NA,NA,NA,"7"
"207","W 21 AVE C H 6","21","AVE C H 6",NA,NA,NA,NA,NA,NA,"6"
"208","W 28 AVE C H 11","28","AVE C H 11",NA,NA,NA,NA,NA,NA,"11"
"209",NA,NA,NA,NA,NA,"W 29","AV10",NA,NA,NA
"210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","E 26 AVE C H 4","26","AVE C H 4",NA,NA,NA,NA,NA,NA,"4"
"212","E N 19 AVE H 4","19","AVE N H 4",NA,NA,NA,NA,NA,NA,"4"
"213","H H 171 DIVISION","171","DIVISION",NA,NA,NA,NA,NA,"171","DIVISION"
"214","REV",NA,NA,NA,NA,NA,NA,NA,"98","AVE H"
"215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","45SUFFOLK",NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","1B3 HAMERSLEY",NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","REV",NA,NA,NA,NA,NA,NA,NA,"291","BROOME"
"220","87 CEDAR , Ã¢ÂÂ MARKET","87","CEDAR , Ã¢ÂÂ MARKET",NA,NA,NA,NA,NA,NA,NA
"221","85 THOMPSON","85","THOMPSON",NA,NA,NA,NA,NA,NA,NA
"222",NA,NA,NA,"CENTRE","READE ,",NA,NA,NA,NA,NA
"223","9 AVE C H 4",NA,NA,NA,NA,NA,NA,NA,NA,"4"
"224","W N 27 AVE H 9","27","AVE N H 9",NA,NA,NA,NA,NA,NA,"9"
"225","125 BOWERY","125","BOWERY",NA,NA,NA,NA,NA,NA,NA
"226","Ã¢ÂÂ 6 CT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",NA,NA,NA,"NASSAU","ANN",NA,NA,NA,NA,NA
"228","REV",NA,NA,NA,NA,NA,NA,NA,"47","3"
"229",NA,NA,NA,"WALL","WILLIAM",NA,NA,NA,NA,NA
"230","25 VANDEWATER","25","VANDEWATER",NA,NA,NA,NA,NA,NA,NA
"231",NA,NA,NA,NA,NA,NA,"W 30",NA,NA,NA
"232",NA,NA,NA,"MADISON AVE","E 32",NA,NA,NA,NA,NA
"233","289 B.WAY","289","B.WAY",NA,NA,NA,NA,NA,NA,NA
"234","W N 40 AVE H 10","40","AVE N H 10",NA,NA,NA,NA,NA,NA,"10"
"235","E 23 AVE C H 3","23","AVE C H 3",NA,NA,NA,NA,NA,NA,"3"
"236","347 WATER , WILLIAMSBURG","347","WATER , WILLIAMSBURG",NA,NA,NA,NA,NA,NA,NA
"237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","OF DRAWING AND PENMANSHIP 49 BEDFORD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","H H W 154 20","154","W 20",NA,NA,NA,NA,NA,"154","W 20"
"240","FOOT HUBERT AND 522 G.WICH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","W N 30 AVE H 7","30","AVE N H 7",NA,NA,NA,NA,NA,NA,"7"
"242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","11 VANDAM","11","VANDAM",NA,NA,NA,NA,NA,NA,NA
"244","H 422CHERRY",NA,NA,NA,NA,NA,NA,NA,NA,"CHERRY"
"245","239 DIVISION","239","DIVISION",NA,NA,NA,NA,NA,NA,NA
"246","AVE N H 8",NA,NA,NA,NA,NA,NA,NA,NA,"8"
"247","W N 40 AVE H 11","40","AVE N H 11",NA,NA,NA,NA,NA,NA,"11"
"248","BARNUMS 176 B.WAY",NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","W N 32 AVE H 9","32","AVE N H 9",NA,NA,NA,NA,NA,NA,"9"
"251","W N 25 AVE H 10","25","AVE N H 10",NA,NA,NA,NA,NA,NA,"10"
"252",NA,NA,NA,NA,NA,"CHARLTON","WEST",NA,NA,NA
"253",NA,NA,NA,NA,NA,"LEX AVE","24",NA,NA,NA
"254","W R N 18 AVE H 6",NA,NA,NA,NA,NA,NA,NA,NA,"6"
"255","E N 24 AVE H 2","24","AVE N H 2",NA,NA,NA,NA,NA,NA,"2"
"256","E N 42 AVE H 3","42","AVE N H 3",NA,NA,NA,NA,NA,NA,"3"
"257","H 472 PEARL","472","PEARL",NA,NA,NA,NA,NA,"472","PEARL"
"258","E N 42 AVE H 3","42","AVE N H 3",NA,NA,NA,NA,NA,NA,"3"
"259","H H 1 BOWERY","1","BOWERY",NA,NA,NA,NA,NA,"1","BOWERY"
"260","298 MULBERRY","298","MULBERRY",NA,NA,NA,NA,NA,NA,NA
"261",NA,NA,NA,NA,NA,"AVE. B","TWELH",NA,NA,NA
"262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","N 50 AVE H 5","50","AVE N H 5",NA,NA,NA,NA,NA,NA,"5"
"264","W N 38 AVE H 10.","38","AVE N H 10.",NA,NA,NA,NA,NA,NA,"10"
"265","AVE N H 10",NA,NA,NA,NA,NA,NA,NA,NA,"10"
"266","W N 30 AVE H 7","30","AVE N H 7",NA,NA,NA,NA,NA,NA,"7"
"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","53 AMOS","53","AMOS",NA,NA,NA,NA,NA,NA,NA
"269","53 AMOS","53","AMOS",NA,NA,NA,NA,NA,NA,NA
"270","W N 37 AVE H 10","37","AVE N H 10",NA,NA,NA,NA,NA,NA,"10"
"271","W N 38 AVE H 10","38","AVE N H 10",NA,NA,NA,NA,NA,NA,"10"
"272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","30 CARMINE","30","CARMINE",NA,NA,NA,NA,NA,NA,NA
"274","BAX",NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","560 PEARL","560","PEARL",NA,NA,NA,NA,NA,NA,NA
"276",NA,NA,NA,"ORCHARD","WALKER",NA,NA,NA,NA,NA
"277","W N 29 AVE H 7","29","AVE N H 7",NA,NA,NA,NA,NA,NA,"7"
"278","N 28 AVE H 8","28","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"279","EAST B. DELANCEY AND RIVINGTON",NA,NA,NA,NA,NA,NA,NA,NA,NA
"280",NA,NA,NA,NA,NA,"E 13","AVE. B.",NA,NA,NA
"281",NA,NA,NA,NA,NA,"280BRG","MYRTLE AVE. BROOKLYN",NA,NA,NA
"282","H H 56 WALKER","56","WALKER",NA,NA,NA,NA,NA,"56","WALKER"
"283","BEA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","347 SPRING , CLINTON MARKET","347","SPRING , CLINTON MARKET",NA,NA,NA,NA,NA,NA,NA
"285","W N 30 AVE H 7","30","AVE N H 7",NA,NA,NA,NA,NA,NA,"7"
"286",NA,NA,NA,"BLEECKER","BANK , N HUDSON TROY AND BETHUNE , N WASHINGTON","BLEECKER C BANK , HUDSON","TROY AND BETHUNE , N WASHINGTON",NA,NA,NA
"287","BEA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","W N 19 AVE H 10","19","AVE N H 10",NA,NA,NA,NA,NA,NA,"10"
"289","TAILOR,88 ELIZABETH,H 114WESLEY PL",NA,NA,NA,NA,NA,NA,NA,NA,"114"
"290","W R 27  , AVE N H 9",NA,NA,NA,NA,NA,NA,NA,NA,"9"
"291","W 13 AVE C H 6","13","AVE C H 6",NA,NA,NA,NA,NA,NA,"6"
"292","20 JOHN","20","JOHN",NA,NA,NA,NA,NA,NA,NA
"293","BEC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","AVE N H 9",NA,NA,NA,NA,NA,NA,NA,NA,"9"
"295","52 LEONARD","52","LEONARD",NA,NA,NA,NA,NA,NA,NA
"296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","140 PITT","140","PITT",NA,NA,NA,NA,NA,NA,NA
"298","NEAR AVE H 7",NA,NA,NA,NA,NA,NA,NA,NA,"7"
"299","981","98","1",NA,NA,NA,NA,NA,NA,NA
"300","152 VARICK","152","VARICK",NA,NA,NA,NA,NA,NA,NA
"301","BEE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","REV",NA,NA,NA,NA,NA,NA,NA,"61","10"
"303","53 ESSEX","53","ESSEX",NA,NA,NA,NA,NA,NA,NA
"304","45 RIDGE","45","RIDGE",NA,NA,NA,NA,NA,NA,NA
"305","E N 25 AVE H 2","25","AVE N H 2",NA,NA,NA,NA,NA,NA,"2"
"306","W 30 NEAR AVE H 7","30","NEAR AVE H 7",NA,NA,NA,NA,NA,NA,"7"
"307","BEH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","E N 19 AVE H 5","19","AVE N H 5",NA,NA,NA,NA,NA,NA,"5"
"309","BEL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","577BROADWAY",NA,NA,NA,NA,NA,NA,NA,NA,NA
"311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","5 HOBOKEN","5",NA,NA,NA,NA,NA,NA,NA,NA
"313","BEL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","H 8 GOLD","8","GOLD",NA,NA,NA,NA,NA,"8","GOLD"
"315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","121 SHERIFF","121","SHERIFF",NA,NA,NA,NA,NA,NA,NA
"317","W N 28 AVE H 10","28","AVE N H 10",NA,NA,NA,NA,NA,NA,"10"
"318","E N 24 AVE H 2","24","AVE N H 2",NA,NA,NA,NA,NA,NA,"2"
"319","W N 29 AVE H 10","29","AVE N H 10",NA,NA,NA,NA,NA,NA,"10"
"320",NA,NA,NA,"AVE. B","FIH",NA,NA,NA,NA,NA
"321","E 24 AVE B H 1 AND 2","24","AVE B H 1 AND 2",NA,NA,NA,NA,NA,"1","2"
"322","91 WALL","91","WALL",NA,NA,NA,NA,NA,NA,NA
"323","417 GRAND","417","GRAND",NA,NA,NA,NA,NA,NA,NA
"324","BELLEVILLE WHITE LEAD CO H 151 FRONT",NA,NA,NA,NA,NA,NA,NA,"151","FRONT"
"325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","W N 38 AVE H 9","38","AVE N H 9",NA,NA,NA,NA,NA,NA,"9"
"327","562 PEARL","562","PEARL",NA,NA,NA,NA,NA,NA,NA
"328","H H 301 HENRY","301","HENRY",NA,NA,NA,NA,NA,"301","HENRY"
