"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10"
"62","207 FRONT","207","FRONT",NA,NA,NA,NA,NA,NA,NA
"63","57 WYCKOFF","57","WYCKOFF",NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,"FULTON AVE","GOLD",NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,NA,"CARLTON","PARK AVE",NA,NA,NA,NA,NA
"67","234 FULTON H 28 EVERITT","234","FULTON H 28 EVERITT",NA,NA,NA,NA,NA,"28","EVERITT"
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1 NASSAU","1","NASSAU",NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA,"CT","PACIFIC",NA,NA,NA
"71",NA,NA,NA,NA,NA,"CT","PACIFIC",NA,NA,NA
"72","2 DEBEVOISE","2","DEBEVOISE",NA,NA,NA,NA,NA,NA,NA
"73","40 CARLTON AVE","40","CARLTON AVE",NA,NA,NA,NA,NA,NA,NA
"74","43 WATER OFFICE 181 N BROADWAY Y","43","WATER OFFICE 181 N BROADWAY Y",NA,NA,NA,NA,NA,NA,NA
"75","26 FULTON  , JOHN JONES PROPRIETOR","26","FULTON , JOHN JONES PROPRIETOR",NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,"CT","DEAN",NA,NA,NA,NA,NA
"77",NA,NA,NA,"1 JAY","NASSAU",NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,NA,"BOND","STATE",NA,NA,NA
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,NA,"1 JAY","NASSAU",NA,NA,NA,NA,NA
"81","64 JAY","64","JAY",NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA,"59 BROADWAY NYH CLASSON","FULTON AVE",NA,NA,NA
"83","OF STONE S U DRY DOCK 271 PEARL STON",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","MFR H 82 LIVINGSTON",NA,NA,NA,NA,NA,NA,NA,"82","LIVINGSTON"
"85",NA,NA,NA,NA,NA,"MFR. BOERUM","LIVING",NA,NA,NA
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","281 PEARL","281","PEARL",NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA,"AMITY","CT",NA,NA,NA
"89",NA,NA,NA,"HICKS","POPLAR",NA,NA,NA,NA,NA
"90","146 HIGH","146","HIGH",NA,NA,NA,NA,NA,NA,NA
"91","PHOENIX MARKET WILLOUGHBY C GOLD H MYRTLE AVE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA,"MYRTLE ALY","RAYMOND",NA,NA,NA
"93","54 FULTON","54","FULTON",NA,NA,NA,NA,NA,NA,NA
"94","ADAMS B WATCR AND FRONT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",NA,NA,NA,"PRINCE","MYRTLE",NA,NA,NA,NA,NA
"96",NA,NA,NA,NA,NA,"I PACIFIC","POWERS",NA,NA,NA
"97",NA,NA,NA,NA,NA,"HAMILTON AVE","FERRY",NA,NA,NA
"98","N HUDSON FULTON AVE H 218 FRONT",NA,NA,NA,NA,NA,NA,NA,"218","FRONT"
"99","159 N PEARL Y H 69 ORANGE","159","N PEARL Y H 69 ORANGE",NA,NA,NA,NA,NA,"69","ORANGE"
"100","N Y H 46 SAUDS",NA,NA,NA,NA,NA,NA,NA,NA,"46"
"101","S ARMSTRONG T AND W F AMERICAN GUTTAPERCHA FACTORY WATER B DOCK AND MAIN OFFICE 151 BROADWAY NYH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","PRINCE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",NA,NA,NA,NA,NA,"PACIFIC","VANDERBILT AVE",NA,NA,NA
"105","GREEN LN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","147 N BROADWAY Y H 100 MIDDAGH","147","N BROADWAY Y H 100 MIDDAGH",NA,NA,NA,NA,NA,"100","MIDDAGH"
"107",NA,NA,NA,NA,NA,"CT","DEGRAW",NA,NA,NA
"108",NA,NA,NA,NA,NA,"HOYT","ATLANTIC",NA,NA,NA
"109",NA,NA,NA,NA,NA,"UNION","COLUMBIA",NA,NA,NA
"110",NA,NA,NA,NA,NA,"POWERS","DEAN",NA,NA,NA
"111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",NA,NA,NA,NA,NA,"HOYT","PACIFIC",NA,NA,NA
"113","83 CRANBERRY","83","CRANBERRY",NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,NA,NA,NA,"COLE","HAMILTON AVE",NA,NA,NA
"115","KENT AVE NORTH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","71 NASSAU","71","NASSAU",NA,NA,NA,NA,NA,NA,NA
"117","S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","219 FULTON","219","FULTON",NA,NA,NA,NA,NA,NA,NA
"119","38 N SOUTH Y H 9 MONROE PL","38","N SOUTH Y H 9 MONROE PL",NA,NA,NA,NA,NA,"9","MONROE PL"
"120",NA,NA,NA,"BOERUM","PACIFIC",NA,NA,NA,NA,NA
"121","1 N WALL Y H 26 GARDEN","1","N WALL Y H 26 GARDEN",NA,NA,NA,NA,NA,"26","GARDEN"
"122","FULTON",NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","REMSEN 1 DOOR FROM CLINTON","1","DOOR FROM CLINTON",NA,NA,NA,NA,NA,NA,NA
"124","N Y H 41 LIVINGSTON",NA,NA,NA,NA,NA,NA,NA,"41","LIVINGSTON"
"125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","6 DEGRAW","6","DEGRAW",NA,NA,NA,NA,NA,NA,NA
"127",NA,NA,NA,NA,NA,"NYH REMSEN","CLINTON",NA,NA,NA
"128",NA,NA,NA,NA,NA,"ADELPHI","JAMAICA AVE",NA,NA,NA
"129","134 NASSAU","134","NASSAU",NA,NA,NA,NA,NA,NA,NA
"130","94 DUFFIELD","94","DUFFIELD",NA,NA,NA,NA,NA,NA,NA
"131","129 ATLANTIC C HENRY H 131 COLUMBIA","129","ATLANTIC C HENRY H 131 COLUMBIA",NA,NA,NA,NA,NA,"131","COLUMBIA"
"132",NA,NA,NA,NA,NA,"43 NEW NYH 422 ATLANTIC","POWERS",NA,NA,NA
"133","111 PACIFIC  , MANR OF JEWELRY 10 CORTLANDT NYH","111","PACIFIC , MANR OF JEWELRY 10 CORTLANDT NYH",NA,NA,NA,NA,NA,NA,NA
"134",NA,NA,NA,NA,NA,"ADELPHI","JAMAICA AVE",NA,NA,NA
"135","MONTAGUE PL 2 DOOR FROM CT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",NA,NA,NA,NA,NA,"FURMAN","DOUGHTY",NA,NA,NA
"139","WIDOW,BOARDING 87 HENRY",NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",NA,NA,NA,"HARDWARE DEALER 134 MYRTLE","PRINCE",NA,NA,NA,NA,NA
"141",NA,NA,NA,NA,NA,"WATER","JAY",NA,NA,NA
"142","H 68 WARREN B CLINTON AND HENRY","68","WARREN B CLINTON AND HENRY",NA,NA,NA,NA,NA,"68","CLINTON"
"143",NA,NA,NA,NA,NA,"R C CH OF THE ASSUMPTION 82 YORK","JAY",NA,NA,NA
"144","IRON SHUTTER MANANR 44 AND 46 DUANE NYH 231 WASHINGTON",NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",NA,NA,NA,NA,NA,"SCHERMERHORN","BOERUM",NA,NA,NA
"146",NA,NA,NA,NA,NA,"CARLL","WILLOUGHBY",NA,NA,NA
"147",NA,NA,NA,NA,NA,"RAYMOND","TILLARY",NA,NA,NA
"148","UNION B HICKS AND COLUMBIA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",NA,NA,NA,NA,NA,"NAVY","BOLIVAR",NA,NA,NA
"150",NA,NA,NA,"FRANKLIN FULTON","WATER",NA,NA,NA,NA,NA
"151",NA,NA,NA,"WATER","HUDSON AVE",NA,NA,NA,NA,NA
"152",NA,NA,NA,NA,NA,"CLASSON","FLUSHING AVE",NA,NA,NA
"153",NA,NA,NA,NA,NA,"CLOVE RD","RAILROAD BEDFORD",NA,NA,NA
