"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10"
"80","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA,"H 153","R. R. AVE.",NA,NA,NA
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,NA,"W 80","TWELH AVE.",NA,NA,NA
"85","E 112 14,H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"86","H. PA.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,"NICHOLAS AVE","W 153",NA,NA,NA
"88",NA,NA,NA,NA,NA,"140","3 AVE.",NA,NA,NA
"89",NA,NA,NA,NA,NA,"WILLIS AVE.",NA,NA,NA,NA
"90","H. PA.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","H. MASS.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA,"MOTT AVE","146",NA,NA,NA
"93","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"94",NA,NA,NA,NA,NA,"148","4 AVE.",NA,NA,NA
"95",NA,NA,NA,NA,NA,"R AVE R","159",NA,NA,NA
"96","H ILL.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",NA,NA,NA,NA,NA,"FRANKLIN AVE","168",NA,NA,NA
"98",NA,NA,NA,"149","TINTON AVE.",NA,NA,NA,NA,NA
"99","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"100","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"101","H. MASS.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",NA,NA,NA,NA,NA,"1 AVE","E 120",NA,NA,NA
"103","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"104","H. ILL.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"106","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"107","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"108","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",NA,NA,NA,NA,NA,"159","10 AVE.",NA,NA,NA
"111",NA,NA,NA,NA,NA,"WILLIS AVE","139",NA,NA,NA
"112",NA,NA,NA,NA,NA,"165","R. R. AVE.",NA,NA,NA
"113","E 34 14,H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"114","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"115","H. OHIO  , REPRESENTED W BY R. MCCULLOUGH",NA,NA,NA,NA,NA,NA,"OHIO",NA,NA
"116",NA,NA,NA,NA,NA,"W 100","9 AVE.",NA,NA,NA
"117","H ALBANY",NA,NA,NA,NA,NA,NA,"NY",NA,NA
"118","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"119","H. BKLYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,NA,"W 105","10 AVE.",NA,NA,NA,NA,NA
"121","H. MASS.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",NA,NA,NA,"H 168","BROADWAY",NA,NA,NA,NA,NA
"123",NA,NA,NA,NA,NA,"143","BROOK AVE.",NA,NA,NA
"124",NA,NA,NA,NA,NA,"W 157","10",NA,NA,NA
"125","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"126","H. ISO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",NA,NA,NA,"GROVE AVE","164",NA,NA,NA,NA,NA
"131","H. N. J",NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","H. MD.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","H. COL.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",NA,NA,NA,NA,NA,"LIND AVE.","WOLF",NA,NA,NA
"135","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"136",NA,NA,NA,NA,NA,"140","3 AVE.",NA,NA,NA
"137","E 54 10,H. MASS.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","H. FRANCE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","H. PA.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","H. MASS.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","79 WALKER AND E 18 14,H. CAL.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"144",NA,NA,NA,NA,NA,"W 59","9 AVE.",NA,NA,NA
"145","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"146","H. POUG H",NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","H. MASS.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",NA,NA,NA,"7 AVE","W 115",NA,NA,NA,NA,NA
"149","H. PA.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","H. PA.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","H BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","WOMANS UNION MISSIONARY SOC H 41 BIBLE H.",NA,NA,NA,NA,NA,NA,NA,"41","BIBLE"
"154",NA,NA,NA,NA,NA,"150","MORRIS AVE.",NA,NA,NA
"155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","H. CITY ISLAND",NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",NA,NA,NA,NA,NA,"LEX AVE","E 126",NA,NA,NA
"158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",NA,NA,NA,NA,NA,"AVE A","E 118",NA,NA,NA
"161","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"162","H. TA.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",NA,NA,NA,NA,NA,"1 AVE","E 107",NA,NA,NA
"165","H. LA.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",NA,NA,NA,NA,NA,"135","WILLIS AVE.",NA,NA,NA
"167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",NA,NA,NA,NA,NA,"AVE A","E 118",NA,NA,NA
"169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",NA,NA,NA,NA,NA,"158","R. R. AVE.",NA,NA,NA
"171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",NA,NA,NA,NA,NA,"10 AVE","W 125",NA,NA,NA
"173","3 RECTOR AND R 126 WILLIAM,H. N.J",NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","H. E J.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","H. PA.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",NA,NA,NA,NA,NA,"3 AVE","166",NA,NA,NA
