"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10"
"1","H. CINCINNATI  , O",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,"8, W H 25","AVE H 8",NA,NA,NA
"3","H. HARLEM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","H. STATEN ISLAND Ã¢ÂÂCONTINUED.",NA,NA,NA,NA,NA,NA,"STATEN ISLAND",NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","H BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"7","H ASTOR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","H. GREENPOINT  , L. I.",NA,NA,NA,NA,NA,NA,"GREENPOINT",NA,NA
"10",NA,NA,NA,"W 40","B.WAY",NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","H CITY",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,"HOYT","ATLANTIC , BROOKLYN",NA,NA,NA
"17",NA,NA,NA,NA,NA,"W 22","AVE H 7",NA,NA,NA
"18",NA,NA,NA,NA,NA,"W 13","AVE 6",NA,NA,NA
"19",NA,NA,NA,NA,NA,"W R 35","BROADWAY",NA,NA,NA
"20",NA,NA,NA,NA,NA,"7, W H 40","AVE H 7",NA,NA,NA
"21","H. WMSBURG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,"W 40 ,","AVE H 7",NA,NA,NA
"23",NA,NA,NA,NA,NA,"W 29 ,","AVE H 9",NA,NA,NA
"24","H. DUNNINGS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,"6, W H 30","AVE H 6",NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,"1, E H 28","AVE H 3",NA,NA,NA
"27",NA,NA,NA,NA,NA,"7, W H 30","AVE H 7",NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,"5, H IV H 38","AVE H 5",NA,NA,NA
"30","H.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","H. HURLGATE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,NA,NA,NA,"HICKS","SACKETT , BROOKLYN",NA,NA,NA
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","H. HARSIMUS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,NA,NA,NA,NA,"E 41","AVE H 1",NA,NA,NA
"40","H. POKEEPSIE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,NA,"W 40","AVE H 8",NA,NA,NA
"42",NA,NA,NA,"ESSEX","RIVINGTON",NA,NA,NA,NA,NA
"43","H. WMSBURG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,"E 15","AVE H 1",NA,NA,NA
"46",NA,NA,NA,NA,NA,"3, E H 28","AVE H 3",NA,NA,NA
"47","8 MAIDEN LN,H.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,"W 42","AVE H 7",NA,NA,NA
"49",NA,NA,NA,NA,NA,"31","AVE. A",NA,NA,NA
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","247 B.WAY,H. WMSBRG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","H. WMSBURGH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","H. WMSBGH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,NA,NA,NA,"W 22","AVE H 8",NA,NA,NA
"56","H. CARLTON H.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,NA,NA,NA,"W R 37","AVE H 9",NA,NA,NA
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,NA,NA,NA,NA,"BROADWAY","E 27",NA,NA,NA
"62",NA,NA,NA,NA,NA,"BROADWAY","28",NA,NA,NA
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,NA,NA,NA,"E 24","AVE H 2",NA,NA,NA
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","H. POKEEPSIE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,NA,"W 35","AVE H 7",NA,NA,NA
"70","H. Ã¢ÂÂ G.WICH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,NA,"E 20","AVE H 2",NA,NA,NA
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA,"W 25","AVE H 8",NA,NA,NA
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,NA,"REMSEN","CLINTON , BROOKLYN",NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,NA,"W 40","BROADWAY",NA,NA,NA
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
