,hn_1,best_match
612,,
613,,HENRY
614,63.0,WATER
615,,
616,,
617,,
618,,
619,,
620,,
621,,
622,,
623,,
624,123.0,PEARL NW
625,,
626,121.0,GREENWICH
627,,
628,,
629,,
630,,
631,,
632,,
633,,
634,,
635,,
636,,
637,,
638,,
639,,
640,,
641,,
642,,
643,,
644,,27 GOWANUS
645,,
646,,
647,,
648,351.0,BROADWAY
649,,
650,,WATER
651,,
652,,
653,,
654,,
655,,
656,,
657,,
658,,
659,,
660,,
661,,
662,,
663,,
664,,
665,,
666,,MYRTLE ALY
667,,
668,,
669,,
670,,
671,,
672,,
673,,
674,,MYRTLE & CLASSON
675,,
676,,
677,,
678,,
679,,MYRTLEAV
680,,
681,,
682,,
683,,
684,8.0,MAIDEN LN
685,,
686,,
687,,
688,,
689,,
690,,
691,,
692,31.0,
693,,
694,,
695,,
696,,
697,,
698,,
699,,
700,,
701,,
702,,
703,,
704,,BOERUM
705,,
706,,
707,,
708,58.0,MYRILE
709,,
710,58.0,MYRTLE
711,,
712,,
713,115.0,
714,,
715,,PACIFIC
716,70.0,CORTLANDT
717,,
718,,
719,,
720,,
721,,
722,,
723,,
724,,
725,,
726,,
727,,
728,,CT MAIN
729,,
730,,PEARL
731,,
732,,
733,,
734,,
735,,
736,,
737,,
738,,
739,,
740,,
741,,
742,,
743,,
744,,
745,33.0,
746,,
747,,
748,,
749,,
750,,
751,,
752,,
753,,BUILDINGS CT
754,,
755,,
756,,EXPRESS OFFICE
757,,
758,,
759,,
760,,
761,,
762,,
763,,
764,,
765,,
766,,
767,,
768,,
769,,
770,,
771,,
772,,
773,,
774,,
775,,
776,,
777,,
778,,
779,,
780,,
781,234.0,
782,,
783,,
784,,
785,,
786,,
787,,
788,,
789,,
790,,
791,,
792,,
793,,
794,,
795,,
796,,
797,,
798,,
799,,
800,,
801,,
802,,NASSAU
803,17.0,PARK PLACA
804,,
805,,
806,,
807,,
808,,YARD
809,,
810,,
811,72.0,PINE
812,,
813,,
814,,
815,,NASSAU
816,,
817,,
818,,SCHERMERHORN
819,,COLUMBIA
820,,
821,,STON
822,,
823,,
824,,
825,,
826,,
827,,
828,,
829,59.0,BROADWAY
830,,
831,,
832,,
833,,
834,,
835,62.0,PINE
836,,
837,,
838,,
839,,
840,,
841,,
842,24.0,CEDAR
843,,WESTERN INSURANCE OFFICE
844,,
845,,
846,,
847,,
848,,
849,,
850,,
851,,
852,,
853,,
854,,
855,,
856,,
857,,
858,,
859,,LABORER
860,,
861,,FULTON MARKET
862,,
863,,
864,,
865,159.0,PEARL
866,,
867,,
868,,
869,,
870,181.0,BROADWAY
871,,
872,,
873,,
874,,
875,,
876,,PRINCE
877,60.0,PINE
878,,MERCHT19 CORTLANDT
879,34.0,BEAVER
880,,
881,147.0,BROADWAY
882,,
883,,
884,,
885,,
886,,
887,145.0,BROAD
888,,
889,,
890,,
891,,
892,,
893,,
894,,
895,,
896,,
897,,
898,,
899,,
900,,
901,5.0,SOUTH
902,,
903,,
904,6.0,LINDEN ROW
905,,
906,,
907,225.0,
908,,
909,,
910,111.0,BEEKMAN
911,,
912,,PACIFIE
913,,
914,145.0,NASSAU
915,,
916,,
917,,WILLOUGHBY & PEAR
918,6.0,LINDEN ROW
919,159.0,
920,,
921,,CONCORD
922,,
923,,S ALY
924,,
925,,
926,,
927,,
928,,
929,,
930,,
931,,
932,,
933,,
934,165.0,MAIDEN LN Y
935,,
936,,
937,,
938,,
939,,
940,,
941,,
942,,
943,,
944,,
945,,
946,,PARK & FRANKLIN
947,42.0,WATER
948,,
949,38.0,SOUTH
950,,
951,,
952,,
953,38.0,SOUTH
954,,
955,,
956,,
957,,HOYT
958,105.0,WALL
959,,
960,,
961,,
962,,
963,,
964,,
965,,
966,,
967,,
968,,
969,,
970,,
971,,
972,57.0,WATER
973,,FULTON & nan
974,,
975,,
976,,
977,,
978,,
979,,
980,,
981,,
982,,
983,,Y S AND ALY
984,,
985,182.0,JAY
986,,WASHINGTON MARKET
987,,
988,,
989,,
990,,
991,,
992,,
993,50.0,SOUTH
994,,
995,,
996,,
997,,
998,,
999,46.0,FRONT
1000,43.0,NEW
1001,,
1002,,
1003,,BH
1004,,
1005,,
1006,,
1007,,
1008,,
1009,,
1010,,HK
1011,,
1012,,
1013,,
1014,,
1015,,
1016,2.0,BUTLER
1017,,
1018,,
1019,,
1020,127.0,
1021,,
1022,,WASHINGTON
1023,231.0,
1024,,
1025,266.0,PEARL
1026,,
1027,,
1028,,
1029,,
1030,,
1031,,
1032,,
1033,,
1034,,
1035,,
1036,,
1037,,
1038,,
1039,,
1040,157.0,FULTON
1041,,
1042,,
1043,,
1044,,
1045,,
1046,,BEDFORD
1047,,APOTHECARIES HALL 206 FULTON
1048,,IGH
1049,,
1050,,WATER
1051,,
1052,,
1053,,
1054,4.0,
1055,,
1056,,
1057,,
1058,,
1059,105.0,WALL
1060,,
1061,,
1062,,
1063,,
1064,,
1065,,
1066,,
1067,,
1068,,
1069,,BRG & nan
1070,,
1071,,
1072,,
1073,,
1074,,
1075,,
1076,,
1077,,
1078,,
1079,,
1080,,
1081,,
1082,,
1083,,
1084,,
1085,,
1086,,
1087,,
1088,,
1089,,
1090,186.0,FRONT
1091,,
1092,,
1093,,
1094,,
1095,,CT
1096,,
1097,195.0,
1098,,
1099,,
1100,,
1101,,
1102,,
1103,,
1104,,
1105,,
1106,,
1107,,
1108,128.0,WATER
1109,,
1110,,
1111,,
1112,,
1113,,
1114,,
1115,,
1116,,
1117,,
1118,,
1119,,
1120,,
1121,,
1122,,
1123,,
1124,,
1125,,
1126,,
1127,,
1128,,
1129,,
1130,,
1131,,
1132,,
1133,,
1134,,
1135,,
1136,,
1137,,
1138,,
1139,,
1140,79.0,WATER
1141,,
1142,,
1143,,
1144,,
1145,,
1146,,
1147,101.0,WILLIAM
1148,,
1149,,
1150,,
1151,22.0,PINE
1152,,
1153,,
1154,,
1155,,MAIN
1156,,
1157,,
1158,,
1159,,
1160,,
1161,,
1162,,
1163,,
1164,,
1165,,
1166,,
1167,,
1168,,
1169,,
1170,170.0,
1171,,
1172,93.0,WILLIAM
1173,,
1174,,ACCOUNTANT
1175,,
1176,99.0,MAIDEN LN
1177,,
1178,,
1179,,
1180,,
1181,,
1182,,
1183,,
1184,,
1185,,
1186,,
1187,,
1188,,
1189,,
1190,,
1191,,
1192,29.0,WALL
1193,,
1194,,
1195,,
1196,83.0,JOHN
1197,80.0,CHERRY
1198,252.0,PEARL
1199,,
1200,,
1201,,
1202,,
1203,,FURMAN
1204,,
1205,,
1206,,PEARL
1207,,
1208,,
1209,47.0,FRONT
1210,,
1211,,
1212,,
1213,,
1214,,
1215,,
1216,,
1217,,
1218,,
1219,,
1220,,
1221,228.0,WATER
1222,,
1223,,
1224,,
1225,,
1226,,
1227,,
1228,98.0,PINE
1229,,
1230,,
1231,,
1232,4.0,FRONT
1233,,
1234,,
1235,,
1236,,
1237,,COLUMBIA
1238,18.0,CLIFF
1239,,
1240,,INETON
1241,77.0,JOHN
1242,,
1243,,
1244,,
1245,,
1246,,
1247,,
1248,,
1249,25.0,SOUTH
1250,,
1251,,
1252,,
1253,,
1254,,
1255,,
1256,,
1257,103.0,MAIDEN LN
1258,103.0,MAIDEN LN
1259,,
1260,,
1261,,
1262,,
1263,,
1264,,
1265,,
1266,,
1267,,
1268,,
1269,,
1270,,
1271,,
1272,,
1273,,
1274,,
1275,,
1276,,
1277,,
1278,,
1279,,
1280,,
1281,,
1282,,
1283,,
1284,,
1285,,CLINTON & DEGRAW
1286,143.0,MAIDEN LN
1287,,
1288,,
1289,,
1290,,
1291,,
1292,,WATER & nan
1293,,
1294,,
1295,,
1296,,
1297,37.0,SOUTH WILLIAM
1298,,
1299,108.0,LIVINGSTON
1300,30.0,MERCHANTS EXCHANGE
1301,,
1302,,
1303,,
1304,,WASHINGTON MARKET
1305,83.0,
1306,,
1307,,
1308,,
1309,,
1310,,
1311,,
1312,,
1313,,
1314,,LITTLE
1315,,
1316,,
1317,,
1318,,MERCH T 116 WALLN
1319,,
1320,,
1321,,
1322,,
1323,,
1324,,
1325,,
1326,,
1327,,
1328,,
1329,,
1330,,
1331,,
1332,,
1333,,
1334,,
1335,,
1336,,
1337,,
1338,,
1339,,
1340,,
1341,,
1342,,
1343,,
1344,,
1345,17.0,PARK PL
1346,,
1347,,
1348,,
1349,,
1350,,
1351,,
1352,,BROOME AND BLUE STONE YARD
1353,,
1354,,
1355,,
1356,,
1357,,PHOENIX MARKET WILLOUGHBY & nan
1358,,
1359,,FULTON MARKET
1360,,
1361,,S ARMSTRONG T AND W F AMERICAN GUTTAPERCHA FACTORY
1362,,
1363,,
1364,,MERCHT19 CORTLANDT
1365,,
1366,,
1367,42.0,WATER
1368,,
1369,38.0,SOUTH
1370,,
1371,,
1372,,
1373,57.0,WATER
1374,,
1375,,
1376,,
1377,,
1378,,
1379,,
1380,,
1381,,
1382,,
1383,,
1384,,FULTON
1385,,
1386,,
1387,,
1388,102.0,102 NASSAU & ANN
1389,,
1390,,
1391,,
1392,,
1393,,
1394,,
1395,,
1396,,APOTHECARIES HALL 206 FULTON & nan
1397,,
1398,6.0,LINDEN ROW
1399,111.0,BEEKMAN
1400,,
1401,,
1402,,
1403,,
1404,8.0,CEDAR
1405,,
1406,,
1407,,
1408,,
1409,,
1410,,
1411,,
1412,,
1413,,
1414,,
1415,,
1416,,
1417,,
1418,,
1419,,
1420,,
1421,,
1422,22.0,PINE
1423,,
1424,,
1425,,
1426,,
1427,,
1428,,
1429,93.0,WILLIAM
1430,,
1431,83.0,JOHNN
1432,80.0,CHERRY
1433,,
1434,,
1435,47.0,FRONT
1436,,
1437,,
1438,,
1439,,
1440,,
1441,98.0,PINE
1442,18.0,CLIFF
1443,,
1444,,
1445,,
1446,,
1447,,
1448,,
1449,,
1450,,
1451,,
1452,,
1453,68.0,WATER
1454,,CEDAR AND PEARL
1455,37.0,SOUTH WILLIAM
1456,73.0,WILLIAM
1457,130.0,BROAD
1458,,
1459,,MERCH T TAILOR 203 BROADWAY
1460,,
1461,,
1462,,
1463,,
1464,,
1465,137.0,FRONT
1466,,
1467,43.0,
1468,,STOVE MAN R 45
1469,,MONTAGUE PL & nan
1470,,
1471,,
1472,,
1473,,
1474,,
1475,,
1476,,
1477,,
1478,,
1479,,
1480,,
1481,31.0,BROAD
1482,,
1483,,
1484,,
1485,,
1486,,
1487,,
1488,,
1489,,
1490,,
1491,,
1492,,
1493,,
1494,,
1495,,
1496,,
1497,,
1498,,
1499,,
1500,,
1501,,
1502,,
1503,,
1504,,
1505,,
1506,,
1507,,
1508,,
1509,,
1510,,
1511,,
1512,,
1513,,
1514,,
1515,123.0,
1516,,
1517,,
1518,,
1519,,
1520,,
1521,,
1522,,
1523,,
1524,,
1525,,
1526,,
1527,,
1528,,
1529,,COLUMBIA & nan
1530,,
1531,,
1532,,
1533,,
1534,,
