"","hn_1","best_match","street_type","base_function","spell_ave_true","suffix_true","both_true"
"1",NA,"ANNS AVE & 153","AVE","ANNS AVE & 153 AVE","ANNS AVE & 153 AVE","ANNS AVE & 153RD AVE","ANNS AVE & 153RD AVE"
"2",169,"N 3","ST","169 N 3 ST","169 N 3 ST","169 N 3RD ST","169 N 3RD ST"
"3",NA,"3 AVE & 166","AVE","3 AVE & 166 AVE","3 AVE & 166 AVE","3RD AVE & 166 AVE","3RD AVE & 166 AVE"
"4",150,"COURTLAND","ST","150 COURTLAND ST","150 COURTLAND ST","150 COURTLAND ST","150 COURTLAND ST"
"5",148,"N 3","ST","148 N 3 ST","148 N 3 ST","148 N 3RD ST","148 N 3RD ST"
"6",97,"N 3","ST","97 N 3 ST","97 N 3 ST","97 N 3RD ST","97 N 3RD ST"
"7",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"8",NA,"CONCORD AVE. & CLIFF","AVE","CONCORD AVE. & CLIFF AVE","CONCORD AVE. & CLIFF AVE","CONCORD AVE. & CLIFF AVE","CONCORD AVE. & CLIFF AVE"
"9",NA,"BROADWAY & MANHATTAN","AVE","BROADWAY & MANHATTAN AVE","BROADWAY & MANHATTAN AVE","BROADWAY & MANHATTAN AVE","BROADWAY & MANHATTAN AVE"
"10",NA,"H 1( ELIZABETH","ST","H 1( ELIZABETH ST","H 1( ELIZABETH ST","H 1ST( ELIZABETH ST","H 1ST( ELIZABETH ST"
"11",NA,"3 AVE & 170","AVE","3 AVE & 170 AVE","3 AVE & 170 AVE","3RD AVE & 170 AVE","3RD AVE & 170 AVE"
"12",NA,"AVE A & E 58","AVE","AVE A & E 58 AVE","AVE A & E 58 AVE","AVE A & E 58TH AVE","AVE A & E 58TH AVE"
"13",NA,"9 AVE & W 91","AVE","9 AVE & W 91 AVE","9 AVE & W 91 AVE","9TH AVE & W 91 AVE","9TH AVE & W 91 AVE"
"14",NA,"MADISON AVE & E 122","AVE","MADISON AVE & E 122 AVE","MADISON AVE & E 122 AVE","MADISON AVE & E 122ND AVE","MADISON AVE & E 122ND AVE"
"15",NA,"3 AVE & 170","AVE","3 AVE & 170 AVE","3 AVE & 170 AVE","3RD AVE & 170 AVE","3RD AVE & 170 AVE"
"16",NA,"18C","ST","18C ST","18C ST","18THC ST","18THC ST"
"17",NA,"CONCORD AVE. & CLIFF","AVE","CONCORD AVE. & CLIFF AVE","CONCORD AVE. & CLIFF AVE","CONCORD AVE. & CLIFF AVE","CONCORD AVE. & CLIFF AVE"
"18",71,"N 8","ST","71 N 8 ST","71 N 8 ST","71 N 8TH ST","71 N 8TH ST"
"19",NA,"8 AVE & W 126","AVE","8 AVE & W 126 AVE","8 AVE & W 126 AVE","8TH AVE & W 126 AVE","8TH AVE & W 126 AVE"
"20",NA,"10 AVE. & W","AVE","10 AVE. & W AVE","10 AVE. & W AVE","10TH AVE. & W AVE","10TH AVE. & W AVE"
"21",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"22",NA,"8 AVE. & W","AVE","8 AVE. & W AVE","8 AVE. & W AVE","8TH AVE. & W AVE","8TH AVE. & W AVE"
"23",NA,"ALBUMEN AND","ST","ALBUMEN AND ST","ALBUMEN AND ST","ALBUMEN AND ST","ALBUMEN AND ST"
"24",61,"11","ST","61 11 ST","61 11 ST","61 11TH ST","61 11TH ST"
"25",NA,"9 AVE & W 69","AVE","9 AVE & W 69 AVE","9 AVE & W 69 AVE","9TH AVE & W 69 AVE","9TH AVE & W 69 AVE"
"26",NA,"3 AVE & 169","AVE","3 AVE & 169 AVE","3 AVE & 169 AVE","3RD AVE & 169 AVE","3RD AVE & 169 AVE"
"27",NA,"AVE A & E 74","AVE","AVE A & E 74 AVE","AVE A & E 74 AVE","AVE A & E 74TH AVE","AVE A & E 74TH AVE"
"28",152,"N 3","ST","152 N 3 ST","152 N 3 ST","152 N 3RD ST","152 N 3RD ST"
"29",NA,"4 AVE & E 77","AVE","4 AVE & E 77 AVE","4 AVE & E 77 AVE","4TH AVE & E 77 AVE","4TH AVE & E 77 AVE"
"30",152,"MORRIS","ST","152 MORRIS ST","152 MORRIS ST","152 MORRIS ST","152 MORRIS ST"
"31",NA,"5J   , .","ST","5J   , . ST","5J   , . ST","5THJ   , . ST","5THJ   , . ST"
"32",NA,"GRAMERCY PARK.","PARK","GRAMERCY PARK. PARK","GRAMERCY PARK. PARK","GRAMERCY PARK. PARK","GRAMERCY PARK. PARK"
"33",153,"ELTON","ST","153 ELTON ST","153 ELTON ST","153 ELTON ST","153 ELTON ST"
"34",151,"MORRIS","ST","151 MORRIS ST","151 MORRIS ST","151 MORRIS ST","151 MORRIS ST"
"35",25,"W 33","ST","25 W 33 ST","25 W 33 ST","25 W 33RD ST","25 W 33RD ST"
"36",NA,"LA.","ST","LA. ST","LA. ST","LA. ST","LA. ST"
"37",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"38",NA,"FULTON AVE & 169","AVE","FULTON AVE & 169 AVE","FULTON AVE & 169 AVE","FULTON AVE & 169TH AVE","FULTON AVE & 169TH AVE"
"39",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"40",NA,"LEX AVE & E 128","AVE","LEX AVE & E 128 AVE","LEX AVE & E 128 AVE","LEX AVE & E 128TH AVE","LEX AVE & E 128TH AVE"
"41",NA,"B KLYN","ST","B KLYN ST","B KLYN ST","B KLYN ST","B KLYN ST"
"42",141,"N 3","ST","141 N 3 ST","141 N 3 ST","141 N 3RD ST","141 N 3RD ST"
"43",NA,"GRAND","ST","GRAND ST","GRAND ST","GRAND ST","GRAND ST"
"44",64,"BIBLE","ST","64 BIBLE ST","64 BIBLE ST","64 BIBLE ST","64 BIBLE ST"
"45",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"46",NA,"BROADWAY & W 129","AVE","BROADWAY & W 129 AVE","BROADWAY & W 129 AVE","BROADWAY & W 129TH AVE","BROADWAY & W 129TH AVE"
"47",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"48",NA,"R. I.","ST","R. I. ST","R. I. ST","R. I. ST","R. I. ST"
"49",305,"W","ST","305 W ST","305 W ST","305 W ST","305 W ST"
"50",445,"W 49","ST","445 W 49 ST","445 W 49 ST","445 W 49TH ST","445 W 49TH ST"
"51",NA,"158 & R. R. AVE.","AVE","158 & R. R. AVE. AVE","158 & R. R. AVE. AVE","158TH & R. R. AVE. AVE","158TH & R. R. AVE. AVE"
"52",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"53",141,"N 3","ST","141 N 3 ST","141 N 3 ST","141 N 3RD ST","141 N 3RD ST"
"54",120,"3","ST","120 3 ST","120 3 ST","120 3RD ST","120 3RD ST"
