"","hn_1","best_match","street_type","base_function","spell_ave_true","suffix_true","both_true"
"55",1,"WAVERLEY","AVE","1 WAVERLEY AVE","ONE WAVERLEY AVE","1 WAVERLEY AVE","ONE WAVERLEY AVE"
"56",59,"N 9","ST","59 N 9 ST","59 N 9 ST","59 N 9TH ST","59 N 9TH ST"
"57",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"58",NA,"PA.","ST","PA. ST","PA. ST","PA. ST","PA. ST"
"59",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"60",NA,"JE PARK.","PARK","JE PARK. PARK","JE PARK. PARK","JE PARK. PARK","JE PARK. PARK"
"61",6,"W 124","ST","6 W 124 ST","6 W 124 ST","6 W 124TH ST","6 W 124TH ST"
"62",NA,"MOTT AVE & 138","AVE","MOTT AVE & 138 AVE","MOTT AVE & 138 AVE","MOTT AVE & 138TH AVE","MOTT AVE & 138TH AVE"
"63",NA,"N. ,T.","ST","N. ,T. ST","N. ,T. ST","N. ,T. ST","N. ,T. ST"
"64",356,"CLINTON","ST","356 CLINTON ST","356 CLINTON ST","356 CLINTON ST","356 CLINTON ST"
"65",170,"FULTON","ST","170 FULTON ST","170 FULTON ST","170 FULTON ST","170 FULTON ST"
"66",106,"RIVERSIDE","ST","106 RIVERSIDE ST","106 RIVERSIDE ST","106 RIVERSIDE ST","106 RIVERSIDE ST"
"67",NA,"R AVE R & 169","AVE","R AVE R & 169 AVE","R AVE R & 169 AVE","R AVE R & 169TH AVE","R AVE R & 169TH AVE"
"68",NA,"CUSTOM H.","ST","CUSTOM H. ST","CUSTOM H. ST","CUSTOM H. ST","CUSTOM H. ST"
"69",59,"N 9","ST","59 N 9 ST","59 N 9 ST","59 N 9TH ST","59 N 9TH ST"
"70",NA,"MD.","ST","MD. ST","MD. ST","MD. ST","MD. ST"
"71",NA,"R AVE R & 179","AVE","R AVE R & 179 AVE","R AVE R & 179 AVE","R AVE R & 179TH AVE","R AVE R & 179TH AVE"
"72",NA,"9 AVE & W 77","AVE","9 AVE & W 77 AVE","9 AVE & W 77 AVE","9TH AVE & W 77 AVE","9TH AVE & W 77 AVE"
"73",NA,"INTERNAL","ST","INTERNAL ST","INTERNAL ST","INTERNAL ST","INTERNAL ST"
"74",NA,"H BKLYN","ST","H BKLYN ST","H BKLYN ST","H BKLYN ST","H BKLYN ST"
"75",NA,"4 AVE & E 67","AVE","4 AVE & E 67 AVE","4 AVE & E 67 AVE","4TH AVE & E 67 AVE","4TH AVE & E 67 AVE"
"76",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"77",154,"COURTLAND","ST","154 COURTLAND ST","154 COURTLAND ST","154 COURTLAND ST","154 COURTLAND ST"
"78",1328,"BROADWAY","AVE","1328 BROADWAY AVE","ONE THOUSAND THREE HUNDRED TWENTY-EIGHT BROADWAY AVE","1328 BROADWAY AVE","ONE THOUSAND THREE HUNDRED TWENTY-EIGHT BROADWAY AVE"
"79",NA,"COURTLAND AVE & 148","AVE","COURTLAND AVE & 148 AVE","COURTLAND AVE & 148 AVE","COURTLAND AVE & 148TH AVE","COURTLAND AVE & 148TH AVE"
"80",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"81",37,"H USE 37","ST","37 H USE 37 ST","37 H USE 37 ST","37 H USE 37TH ST","37 H USE 37TH ST"
"82",NA,"H 153 & R. R. AVE.","AVE","H 153 & R. R. AVE. AVE","H 153 & R. R. AVE. AVE","H 153RD & R. R. AVE. AVE","H 153RD & R. R. AVE. AVE"
"83",148,". 2 AVE","AVE","148 . 2 AVE","ONE HUNDRED FORTY-EIGHT . 2 AVE","148 . 2ND AVE","ONE HUNDRED FORTY-EIGHT . 2ND AVE"
"84",NA,"W 80 & TWELH AVE.","AVE","W 80 & TWELH AVE. AVE","W 80 & TWELH AVE. AVE","W 80TH & TWELH AVE. AVE","W 80TH & TWELH AVE. AVE"
"85",NA,"E 112 14,H. BKLYN","ST","E 112 14,H. BKLYN ST","E 112 14,H. BKLYN ST","E 112TH 14,H. BKLYN ST","E 112TH 14,H. BKLYN ST"
"86",NA,"PA.","ST","PA. ST","PA. ST","PA. ST","PA. ST"
"87",NA,"NICHOLAS AVE & W 153","AVE","NICHOLAS AVE & W 153 AVE","NICHOLAS AVE & W 153 AVE","NICHOLAS AVE & W 153RD AVE","NICHOLAS AVE & W 153RD AVE"
"88",140,"N 3","ST","140 N 3 ST","140 N 3 ST","140 N 3RD ST","140 N 3RD ST"
"89",NA,"WILLIS AVE. & nan","AVE","WILLIS AVE. & NAN AVE","WILLIS AVE. & NAN AVE","WILLIS AVE. & NAN AVE","WILLIS AVE. & NAN AVE"
"90",NA,"PA.","ST","PA. ST","PA. ST","PA. ST","PA. ST"
"91",NA,"MASS.","ST","MASS. ST","MASS. ST","MASS. ST","MASS. ST"
"92",NA,"MOTT AVE & 146","AVE","MOTT AVE & 146 AVE","MOTT AVE & 146 AVE","MOTT AVE & 146TH AVE","MOTT AVE & 146TH AVE"
"93",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"94",148,"N 4","ST","148 N 4 ST","148 N 4 ST","148 N 4TH ST","148 N 4TH ST"
"95",NA,"R AVE R & 159","AVE","R AVE R & 159 AVE","R AVE R & 159 AVE","R AVE R & 159TH AVE","R AVE R & 159TH AVE"
"96",NA,"ILL.","ST","ILL. ST","ILL. ST","ILL. ST","ILL. ST"
"97",NA,"FRANKLIN AVE & 168","AVE","FRANKLIN AVE & 168 AVE","FRANKLIN AVE & 168 AVE","FRANKLIN AVE & 168TH AVE","FRANKLIN AVE & 168TH AVE"
"98",NA,"149 & TINTON AVE.","AVE","149 & TINTON AVE. AVE","149 & TINTON AVE. AVE","149TH & TINTON AVE. AVE","149TH & TINTON AVE. AVE"
"99",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"100",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"101",NA,"MASS.","ST","MASS. ST","MASS. ST","MASS. ST","MASS. ST"
"102",NA,"1 AVE & E 120","AVE","1 AVE & E 120 AVE","1 AVE & E 120 AVE","1ST AVE & E 120 AVE","1ST AVE & E 120 AVE"
"103",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"104",NA,"ILL.","ST","ILL. ST","ILL. ST","ILL. ST","ILL. ST"
"105",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"106",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"107",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"108",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"109",64,"115","ST","64 115 ST","64 115 ST","64 115TH ST","64 115TH ST"
"110",159,"N 10","ST","159 N 10 ST","159 N 10 ST","159 N 10TH ST","159 N 10TH ST"
"111",NA,"WILLIS AVE & 139","AVE","WILLIS AVE & 139 AVE","WILLIS AVE & 139 AVE","WILLIS AVE & 139TH AVE","WILLIS AVE & 139TH AVE"
"112",NA,"165 & R. R. AVE.","AVE","165 & R. R. AVE. AVE","165 & R. R. AVE. AVE","165TH & R. R. AVE. AVE","165TH & R. R. AVE. AVE"
"113",NA,"E 34 14,H. BKLYN","ST","E 34 14,H. BKLYN ST","E 34 14,H. BKLYN ST","E 34TH 14,H. BKLYN ST","E 34TH 14,H. BKLYN ST"
"114",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"115",NA,", REPRESENTED W BY R. MCCULLOUGH","ST",", REPRESENTED W BY R. MCCULLOUGH ST",", REPRESENTED W BY R. MCCULLOUGH ST",", REPRESENTED W BY R. MCCULLOUGH ST",", REPRESENTED W BY R. MCCULLOUGH ST"
"116",100,"N 9","ST","100 N 9 ST","100 N 9 ST","100 N 9TH ST","100 N 9TH ST"
"117",NA,"ALBA","ST","ALBA ST","ALBA ST","ALBA ST","ALBA ST"
"118",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"119",NA,"BKLYL","ST","BKLYL ST","BKLYL ST","BKLYL ST","BKLYL ST"
"120",105,"10","ST","105 10 ST","105 10 ST","105 10TH ST","105 10TH ST"
"121",NA,"MASS.","ST","MASS. ST","MASS. ST","MASS. ST","MASS. ST"
"122",168,"BROADWAY","AVE","168 BROADWAY AVE","ONE HUNDRED SIXTY-EIGHT BROADWAY AVE","168 BROADWAY AVE","ONE HUNDRED SIXTY-EIGHT BROADWAY AVE"
"123",NA,"143 & BROOK AVE.","AVE","143 & BROOK AVE. AVE","143 & BROOK AVE. AVE","143RD & BROOK AVE. AVE","143RD & BROOK AVE. AVE"
"124",157,"N 10","ST","157 N 10 ST","157 N 10 ST","157 N 10TH ST","157 N 10TH ST"
"125",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"126",NA,"ISO","ST","ISO ST","ISO ST","ISO ST","ISO ST"
"127",NA,"S GATE  ,","ST","S GATE  , ST","S GATE  , ST","S GATE  , ST","S GATE  , ST"
"128",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"129",NA,"DOCK","ST","DOCK ST","DOCK ST","DOCK ST","DOCK ST"
"130",NA,"GROVE AVE & 164","AVE","GROVE AVE & 164 AVE","GROVE AVE & 164 AVE","GROVE AVE & 164TH AVE","GROVE AVE & 164TH AVE"
"131",NA,"N. J","ST","N. J ST","N. J ST","N. J ST","N. J ST"
"132",NA,"MD.","ST","MD. ST","MD. ST","MD. ST","MD. ST"
"133",NA,"COL.","ST","COL. ST","COL. ST","COL. ST","COL. ST"
"134",NA,"LIND AVE. & WOLF","AVE","LIND AVE. & WOLF AVE","LIND AVE. & WOLF AVE","LIND AVE. & WOLF AVE","LIND AVE. & WOLF AVE"
"135",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"136",140,"N 3","ST","140 N 3 ST","140 N 3 ST","140 N 3RD ST","140 N 3RD ST"
"137",NA,"MASS.","ST","MASS. ST","MASS. ST","MASS. ST","MASS. ST"
"138",NA,"FRANCE","ST","FRANCE ST","FRANCE ST","FRANCE ST","FRANCE ST"
"139",NA,"PA.","ST","PA. ST","PA. ST","PA. ST","PA. ST"
"140",NA,"MASS.","ST","MASS. ST","MASS. ST","MASS. ST","MASS. ST"
"141",NA,"CAL.","ST","CAL. ST","CAL. ST","CAL. ST","CAL. ST"
"142",165,"E","ST","165 E ST","165 E ST","165 E ST","165 E ST"
"143",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"144",59,"N 9","ST","59 N 9 ST","59 N 9 ST","59 N 9TH ST","59 N 9TH ST"
"145",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"146",NA,"POUG H","ST","POUG H ST","POUG H ST","POUG H ST","POUG H ST"
"147",NA,"MASS.","ST","MASS. ST","MASS. ST","MASS. ST","MASS. ST"
"148",NA,"7 AVE & W 115","AVE","7 AVE & W 115 AVE","7 AVE & W 115 AVE","7TH AVE & W 115 AVE","7TH AVE & W 115 AVE"
"149",NA,"PA.","ST","PA. ST","PA. ST","PA. ST","PA. ST"
"150",NA,"PA.","ST","PA. ST","PA. ST","PA. ST","PA. ST"
"151",NA,"H BKLYN","ST","H BKLYN ST","H BKLYN ST","H BKLYN ST","H BKLYN ST"
"152",NA,"15U","ST","15U ST","15U ST","15THU ST","15THU ST"
"153",41,"BIBLE","ST","41 BIBLE ST","41 BIBLE ST","41 BIBLE ST","41 BIBLE ST"
"154",150,"MORRIS","ST","150 MORRIS ST","150 MORRIS ST","150 MORRIS ST","150 MORRIS ST"
"155",NA,"C.TY ISLAND","ST","C.TY ISLAND ST","C.TY ISLAND ST","C.TY ISLAND ST","C.TY ISLAND ST"
"156",NA,"CITY ISLAND","ST","CITY ISLAND ST","CITY ISLAND ST","CITY ISLAND ST","CITY ISLAND ST"
"157",NA,"LEX AVE & E 126","AVE","LEX AVE & E 126 AVE","LEX AVE & E 126 AVE","LEX AVE & E 126TH AVE","LEX AVE & E 126TH AVE"
"158",122,"E 1","ST","122 E 1 ST","122 E 1 ST","122 E 1ST ST","122 E 1ST ST"
"159",NA,"FI.","ST","FI. ST","FI. ST","FI. ST","FI. ST"
"160",NA,"AVE A & E 118","AVE","AVE A & E 118 AVE","AVE A & E 118 AVE","AVE A & E 118TH AVE","AVE A & E 118TH AVE"
"161",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"162",NA,"TA.","ST","TA. ST","TA. ST","TA. ST","TA. ST"
"163",NA,"HAM","ST","HAM ST","HAM ST","HAM ST","HAM ST"
"164",NA,"1 AVE & E 107","AVE","1 AVE & E 107 AVE","1 AVE & E 107 AVE","1ST AVE & E 107 AVE","1ST AVE & E 107 AVE"
"165",NA,"LA.","ST","LA. ST","LA. ST","LA. ST","LA. ST"
"166",NA,"135 & WILLIS AVE.","AVE","135 & WILLIS AVE. AVE","135 & WILLIS AVE. AVE","135TH & WILLIS AVE. AVE","135TH & WILLIS AVE. AVE"
"167",NA,"HAM","ST","HAM ST","HAM ST","HAM ST","HAM ST"
"168",NA,"AVE A & E 118","AVE","AVE A & E 118 AVE","AVE A & E 118 AVE","AVE A & E 118TH AVE","AVE A & E 118TH AVE"
"169",205,"E 128","ST","205 E 128 ST","205 E 128 ST","205 E 128TH ST","205 E 128TH ST"
"170",NA,"158 & R. R. AVE.","AVE","158 & R. R. AVE. AVE","158 & R. R. AVE. AVE","158TH & R. R. AVE. AVE","158TH & R. R. AVE. AVE"
"171",NA,"FI.","ST","FI. ST","FI. ST","FI. ST","FI. ST"
"172",NA,"10 AVE & W 125","AVE","10 AVE & W 125 AVE","10 AVE & W 125 AVE","10TH AVE & W 125 AVE","10TH AVE & W 125 AVE"
"173",NA,"N.J","ST","N.J ST","N.J ST","N.J ST","N.J ST"
"174",NA,"E J.","ST","E J. ST","E J. ST","E J. ST","E J. ST"
"175",NA,"PA.","ST","PA. ST","PA. ST","PA. ST","PA. ST"
"176",NA,"S .","ST","S . ST","S . ST","S . ST","S . ST"
"177",NA,"3 AVE & 166","AVE","3 AVE & 166 AVE","3 AVE & 166 AVE","3RD AVE & 166 AVE","3RD AVE & 166 AVE"
"178",NA,"J. C  ,","ST","J. C  , ST","J. C  , ST","J. C  , ST","J. C  , ST"
"179",NA,"AVE A & E 58","AVE","AVE A & E 58 AVE","AVE A & E 58 AVE","AVE A & E 58TH AVE","AVE A & E 58TH AVE"
"180",424,"E 9","ST","424 E 9 ST","424 E 9 ST","424 E 9TH ST","424 E 9TH ST"
"181",NA,"167 & R. R. AVE.","AVE","167 & R. R. AVE. AVE","167 & R. R. AVE. AVE","167TH & R. R. AVE. AVE","167TH & R. R. AVE. AVE"
"182",76,"3G3","ST","76 3G3 ST","76 3G3 ST","76 3RDG3 ST","76 3RDG3 ST"
"183",80,"3","ST","80 3 ST","80 3 ST","80 3RD ST","80 3RD ST"
"184",2,"3O 7TAV","ST","2 3O 7TAV ST","2 3O 7TAV ST","2 3RDO 7TAV ST","2 3RDO 7TAV ST"
"185",NA,"PA.","ST","PA. ST","PA. ST","PA. ST","PA. ST"
"186",106,"N 9","ST","106 N 9 ST","106 N 9 ST","106 N 9TH ST","106 N 9TH ST"
"187",NA,"W 141 & . NICHOLAS AVE.","AVE","W 141 & . NICHOLAS AVE. AVE","W 141 & . NICHOLAS AVE. AVE","W 141ST & . NICHOLAS AVE. AVE","W 141ST & . NICHOLAS AVE. AVE"
"188",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"189",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"190",152,"N 3","ST","152 N 3 ST","152 N 3 ST","152 N 3RD ST","152 N 3RD ST"
"191",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"192",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"193",NA,"H 57E BROADWAY","AVE","H 57E BROADWAY AVE","H 57E BROADWAY AVE","H 57THE BROADWAY AVE","H 57THE BROADWAY AVE"
"194",NA,"BREVOORT","ST","BREVOORT ST","BREVOORT ST","BREVOORT ST","BREVOORT ST"
"195",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"196",NA," WILLIS AVE.","AVE","WILLIS AVE. AVE","WILLIS AVE. AVE","WILLIS AVE. AVE","WILLIS AVE. AVE"
"197",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"198",194,"WAVERLEY PL.","PL","194 WAVERLEY PL. PL","194 WAVERLEY PL. PL","194 WAVERLEY PL. PL","194 WAVERLEY PL. PL"
"199",NA,"R AVE R & 170","AVE","R AVE R & 170 AVE","R AVE R & 170 AVE","R AVE R & 170TH AVE","R AVE R & 170TH AVE"
"200",NA,"139 & BROOK AVE.","AVE","139 & BROOK AVE. AVE","139 & BROOK AVE. AVE","139TH & BROOK AVE. AVE","139TH & BROOK AVE. AVE"
"201",NA,"4 AVE & E 98","AVE","4 AVE & E 98 AVE","4 AVE & E 98 AVE","4TH AVE & E 98 AVE","4TH AVE & E 98 AVE"
"202",101,"N 9","ST","101 N 9 ST","101 N 9 ST","101 N 9TH ST","101 N 9TH ST"
"203",NA,"BERGEN AVE. & WEST","AVE","BERGEN AVE. & WEST AVE","BERGEN AVE. & WEST AVE","BERGEN AVE. & WEST AVE","BERGEN AVE. & WEST AVE"
"204",154,"COURTLAND","ST","154 COURTLAND ST","154 COURTLAND ST","154 COURTLAND ST","154 COURTLAND ST"
"205",170,"FULTON","ST","170 FULTON ST","170 FULTON ST","170 FULTON ST","170 FULTON ST"
"206",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"207",NA,"LINTON AVE & 149","AVE","LINTON AVE & 149 AVE","LINTON AVE & 149 AVE","LINTON AVE & 149TH AVE","LINTON AVE & 149TH AVE"
"208",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"209",NA,"LA.","ST","LA. ST","LA. ST","LA. ST","LA. ST"
"210",NA,"3 AVE & 158","AVE","3 AVE & 158 AVE","3 AVE & 158 AVE","3RD AVE & 158 AVE","3RD AVE & 158 AVE"
"211",NA,"HORNE & MAIN","ST","HORNE & MAIN ST","HORNE & MAIN ST","HORNE & MAIN ST","HORNE & MAIN ST"
"212",NA,"104 JOHN AND 104 WAR REN,H. BKLYN","ST","104 JOHN AND 104 WAR REN,H. BKLYN ST","104 JOHN AND 104 WAR REN,H. BKLYN ST","104TH JOHN AND 104 WAR REN,H. BKLYN ST","104TH JOHN AND 104 WAR REN,H. BKLYN ST"
"213",NA,". STEPHEN","ST",". STEPHEN ST",". STEPHEN ST",". STEPHEN ST",". STEPHEN ST"
"214",157,"ELTON","ST","157 ELTON ST","157 ELTON ST","157 ELTON ST","157 ELTON ST"
"215",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"216",NA,"1 AVE & 120","AVE","1 AVE & 120 AVE","1 AVE & 120 AVE","1ST AVE & 120 AVE","1ST AVE & 120 AVE"
"217",23,"WAVERLEY PL.","PL","23 WAVERLEY PL. PL","23 WAVERLEY PL. PL","23 WAVERLEY PL. PL","23 WAVERLEY PL. PL"
"218",106,"RIVERSIDE","ST","106 RIVERSIDE ST","106 RIVERSIDE ST","106 RIVERSIDE ST","106 RIVERSIDE ST"
"219",NA,"LEGGETTS","ST","LEGGETTS ST","LEGGETTS ST","LEGGETTS ST","LEGGETTS ST"
"220",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
