,n_street1,n_street2,c_street1,c_street2,Full Address,H Address,H House Number,H Street Name,H City,Address 2,Address 2 House Number,Address 2 Street Name,Address 2 City
164,,,,,,,,,,,,,
165,,,,,10 Old Slip,10 OLD SLIP,10.0,OLD SLIP,,,,,
166,,,,,,,,,,,,,
167,,,,,,,,,,,,,
168,,,,,,,,,,,,,
169,,,,,,,,,,,,,
170,,,,,,,,,,,,,
171,,,,,,,,,,,,,
172,,,,,,,,,,,,,
173,,,,,,,,,,,,,
174,,,,,,,,,,,,,
175,,,,,,,,,,,,,
176,,,,,Spruce,SPRUCE,,,,,,,
177,,,,,,,,,,,,,
178,,,,,,,,,,,,,
179,,,,,,,,,,,,,
180,,,,,,,,,,,,,
181,,,,,,,,,,,,,
182,,,,,,,,,,,,,
183,,,,,,,,,,,,,
184,,,,,,,,,,,,,
185,,,,,,,,,,,,,
186,,,,,,,,,,,,,
187,,,,,,,,,,,,,
188,,,,,,,,,,,,,
189,,,,,,,,,,,,,
190,,,,,,,,,,,,,
191,,,,,,,,,,,,,
192,,,,,tison,TISON,,,,,,,
193,,,,,31 Broad,31 BROAD,31.0,BROAD,,,,,
194,,,,,,,,,,,,,
195,,,,,,,,,,,,,
196,,,,,,,,,,,,,
197,,,,,,,,,,,,,
198,Furman,State,,,Furman n State,FURMAN N STATE,,,FURMAN N STATE,,,,
199,,,,,222 Pearl,222 PEARL,222.0,PEARL,,,,,
200,,,,,29th st Gowanus,29TH ST GOWANUS,,,29TH ST GOWANUS,,,,
201,,,,,,,,,,,,,
202,,,,,,,,,,,,,
203,,,,,,,,,,,,,
204,,,,,,,,,,,,,
205,,,,,195 Washington,195 WASHINGTON,195.0,WASHINGTON,,,,,
206,,,,,102 Front,102 FRONT,102.0,FRONT,,,,,
207,,,,,,,,,,,,,
208,,,,,81 Water,81 WATER,81.0,WATER,,,,,
209,,,,,,,,,,,,,
210,,,,,,,,,,,,,
211,,,,,,,,,,,,,
212,,,,,,,,,,,,,
213,,,,,,,,,,,,,
214,,,,,,,,,,,,,
215,,,,,,,,,,,,,
216,,,,,,,,,,,,,
217,,,,,,,,,,,,,
218,,,,,,,,,,,,,
219,,,,,,,,,,,,,
220,,,,,,,,,,,,,
221,,,,,,,,,,,,,
222,,,,,,,,,,,,,
223,,,,,,,,,,,,,
224,,,,,,,,,,,,,
225,,,,,,,,,,,,,
226,,,,,,,,,,,,,
227,,,,,,,,,,,,,
228,,,,,,,,,,,,,
229,,,,,,,,,,,,,
230,,,,,,,,,,,,,
231,,,,,,,,,,,,,
232,,,,,,,,,,,,,
233,,,,,,,,,,,,,
234,,,,,,,,,,,,,
235,,,,,,,,,,,,,
236,,,,,,,,,,,,,
237,,,,,,,,,,,,,
238,,,,,,,,,,,,,
239,,,,,,,,,,,,,
240,,,,,,,,,,,,,
241,,,,,62 State,62 STATE,62.0,STATE,,,,,
242,,,,,,,,,,,,,
243,,,,,,,,,,,,,
244,,,,,,,,,,,,,
245,,,,,,,,,,,,,
246,,,,,,,,,,,,,
247,,,,,11 Water,11 WATER,11.0,WATER,,,,,
248,,,,,,,,,,,,,
249,,,,,,,,,,,,,
250,,,,,,,,,,,,,
251,,,,,,,,,,,,,
252,,,,,Court,COURT,,,,,,,
253,,,,,32 Front,32 FRONT,32.0,FRONT,,,,,
254,,,,,,,,,,,,,
255,,,,,,,,,,,,,
256,,,,,,,,,,,,,
257,,,,,,,,,,,,,
258,,,,,,,,,,,,,
259,,,,,26 Fulton,26 FULTON,26.0,FULTON,,,,,
