,hn_1,best_match1
318,NA,INSTITUTION FOR YOUNG
319,170,ATTORNEY
320,NA,158W 20
321,349,CHERRY
322,NA,E 30 AND AVE 3
323,NA,PHILADELPHIA
324,75,MONTGOMERY
325,NA,W 40 AND BROADWAY
326,4,LUDLOW
327,833,GREENWICH AND
328,187,FORSYTH
329,117,CEDAR
330,NA,W 29 AND AVE 8
331,117,CEDAR
332,94,LEWIS
333,584,HOUSTON
334,24,2
335,37734,GRAND
336,125,AVE 2
337,190,SOUTH
338,474,BROADWAY
339,NA,CITY
340,152,NORFOLK
341,NA,
342,32,CLARKSON
343,71,CANNON
344,37,WOOSTER
345,103,MONROE
346,359,RIVINGTON
347,1,HAMMOND
348,40,GREENE
349,77,AVE 4
350,140,S B RATHBUN
351,47,CHERRY
352,NA,PORTCHESTER
353,NA,PORTCHESTER
354,NA,PORTCHESTER
355,NA,PTCHESTER
356,429,AVE 6136W 28
357,NA,W 27 AND AVE 6
358,333,AVE 6
359,90,RIDGE
360,10,E 14
361,199,W 24
362,96,CHARLTON
363,98,1
364,NA,BROOKLYN
365,180,HENRY BALYN
366,73,BROOME
367,2,LEWIS
368,165,2
369,124,STANTON
370,185,CLINTON CLA
371,185,RIVINGTON
372,102,COLUMBIA
373,455,PEARL
374,225,7
375,64,CROSBY
376,97,CHTHM
377,308,RIVINGTON
378,155,W BROADWAY
379,32,ORCHARD
380,465,PEARL
381,97,W 16
382,20,WOOSTER
383,32,GOERCK
384,16,MERCER
385,32,GOERCK
386,403,10
387,144,FRONT
388,58,GROVE
389,267,SPRING
390,305,9
391,443,BROADWAY
392,NA,N JERSEY
393,58,LISPENARD
394,111,HUDSON
395,141,FRANKLIN
396,NA,GERMANY
397,57,AMOS
398,145,HOUSTON
399,NA,W 26 AND AVE 7
400,51,N MOORE
401,89,LUDLOW
402,41,WALKER
403,133,WILLETT
404,228,W 24
405,119,DELANCEY
406,65,W 27
407,65,W 27
408,98,CHARLES
409,89,BARROW
410,662,WATER
411,25,COLL PL
412,147,SULLIVAN
413,205,STANTON
414,178,W 16
415,261,ELIZBTH
416,64,CEDAR
417,18,FACTORY
418,55,BAYARD
419,7,MORTON
420,4,VANDAM
421,145,AMOS
422,NA,W 138 AND AVE 8
423,1554,DIVISION
424,170,HOUSTON
425,84,WALNUT
426,64,CEDAR
427,44,SHERIFF
428,140,FRANKLIN
429,170,E 27
430,53,BANK
431,7,AVE
432,678,GREENWICH
433,133,FRANKLIN
434,105,BRELY
435,37,RENWICK
436,118,GREENWICH AVE
437,714,WASHINGTON
438,5,JONES
439,5,MORTON
440,NA,AVE W 7C 20
441,30,CHARLES
442,144,AMOS
443,24,ROSE
444,241,AVE 8
445,150,W 17
446,181,WILLIAM
447,5,W BROADWAY PL
448,260,
449,130,HAMMOND
450,86,W 16
451,187,W 16
452,646,HUDSON
453,187,W 16
454,186,E 11
455,54,SULLIVAN
456,284,HUDSON
457,372,HOUSTON
458,140,AMITY
459,78,WAIL
460,94,ATTORNEY
461,134,W 16
462,160,HAMMOND
463,NA,W 29 AND AVE 19
464,164,SPRING
465,NA,HOYT AND ATLANTIC BROOKLYN
466,130,TROY AND 170 HAMMOND
467,60,BROOME
468,133,FRANKLIN
469,92,GROVE
470,42,W CANAL 12 BROADWAY PL
471,55,HOUSTON
472,175,4
473,174,W 28
474,NA,W 36 AND AVE 9
475,NA,W 30 AVE 7
476,NA,W 22D AND AVE 7
477,18,MINETTA LA
478,43,RENWICK
479,NA,NEWARK
480,173,W 22D
481,25,BETHUNE
482,372,HOUSTON
