,hn_1,best_match1
17928,43,MONROE
17929,163,MADISON
17930,180,W 17
17931,227,W 17
17932,599,
17933,24,THAMES
17934,380,CHERRY
17935,306,MADISON
17936,297,MADISON
17937,163,MADISON
17938,15,BRG
17939,357,BROOME
17940,105,LEROY
17941,705,HOUSTON
17942,81,RIVINGTON
17943,28,MADISON
17944,239,EB 11
17945,183,HENRY
17946,183,HENRY
17947,33,1
17948,NA,13 AND AVE 6
17949,270,
17950,179,
17951,187,AVE 6
17952,NA,
17953,127,STANTON
17954,57,
17955,630,GREENWICH
17956,268,GRAND
17957,NA,KH
17958,63,DELANCEY AND 23 CHAM
17959,63,DELANCEY
17960,51,FULTON MARKET KH
17961,66,LIBERTY
17962,602,BROADWAY
17963,54,IRVING PL
17964,133,WALKER
17965,89,WALL H CONN
17966,434,GREENWICH
17967,434,GREENWICH
17968,160,EB 18
17969,89,WALL
17970,NA,STATEN ISLAND
17971,35,VESEY
17972,20,HENRY
17973,126,PEARL 113 CONCORD
17974,60,SULLIVAN 14
17975,197,W 27
17976,452,12
17977,NA,BROOKLYN
17978,45,SHERIFF
17979,127,E 21S
17980,28,LEROY
17981,9,CHARLTON
17982,12,COMMERCE
17983,256,HOUSTON
17984,52,EXCHANGE PL
17985,88,IRRANKFORT
17986,68,WATER
17987,NA,BROOKLYN
17988,241,MONROE
17989,162,NASSAA
17990,219,STANTON
17991,NA,BROOKLYN
17992,42,W WASHINGTON ACE
17993,227,HENRY
17994,60,AVE 6
17995,22,E 24
17996,267,E BROADWAY
17997,NA,K 24 AND AVE 1
17998,540,GRAND
17999,456,
18000,326,5
18001,NA,W 39 AVE 10
18002,74,SHERIFF
18003,205,STANTON
18004,80,OLIVER
18005,33,W
18006,478,HUDSON
18007,247,MONROE
18008,2,FRONT
18009,246,CANAL
18010,134,LEWIS
18011,227,
18012,1,COLUMBIA PL
18013,173,BOWERY
18014,73,W 17
18015,179,ELM
18016,157,W 18
18017,NA,BROOKLYN
18018,34,ANN 330 PEARL
18019,345,GREENWICH
18020,88,AND CATHRNE
18021,119,BROOME
18022,221,HLIZABETH
18023,10,DEPEYSTER
18024,8,DEPEYSTER
18025,483,PEARL 34 ANN
18026,6,DEPEYSTER
18027,22,PRINCE
18028,525,AVE 6
18029,46,WHITELIALL
18030,169,G WICH
18031,96,CHARLTON
18032,115,AEN
18033,209,ELIZABETH
18034,83,SPRING
18035,2,JAMES JAMES
18036,354,AVE 1
18037,408,WEST
18038,473,PEARL
18039,83,FORSYTH
18040,172,FORSYTH
18041,39,NORFOLK
18042,93,DELANCEY
18043,NA,JERSEY CITY
18044,383,WATER
18045,34,ANN
18046,357,GRAND
18047,242,CHERRY
18048,6,GOERCK
18049,42,PRINCE
18050,NA,FAGAN AR SOU LL TI
18051,162,CHRISTOPHER
18052,24,AVE 4
18053,623,BROADWAY
18054,68,E 17
18055,637,4
18056,104,SULLIVAN
18057,NA,W 32D AND AVE 8
18058,36,GREAT JONES
18059,1,AND ALY A 322
18060,45,CENTRE
18061,1,2
18062,95,E 17
18063,NA,AVE W 8C 29
18064,425,BROADWAY
18065,61,WILLETT
18066,224,STANTON
18067,125,MONROE
18068,34,GROVE
18069,NA,BROOKLYN
18070,NA,BROOKLYN
18071,117,BROAD
18072,9,AVE
18073,447,12
18074,122,VARICK
18075,106,CHARLTON
18076,201,7
18077,25,AMOS
18078,109,PERRY
18079,66,ELM
18080,334,FRONT
18081,82,WILLIAM
18082,NA,FE 28 AND AVE 2
18083,66,ELM
18084,49,BOWERY
18085,66,ELM
18086,149,WAVERLEY PL
18087,185,AR 4
18088,649,WATER
18089,NA,BROOKLYN
18090,383,GREENWICH
18091,66,ORCHARD
18092,20,SPRING
18093,32,VESEY
18094,66,ELM
18095,150,ALY 6
18096,50,WALKER
18097,918,BROADWAY
18098,142,FULTON 89 TILLARY
18099,164,FRONT
18100,143,VARICK
18101,204,ELM
18102,NA,W 26 AND ALY 7
18103,55,CANAL
18104,55,CANAL
18105,70,THOMPSON
18106,NA,E 28 AND MADISON AVE
18107,70,THOMPSON
18108,297,SPRING
18109,10,RECTOR
18110,NA,BROOKLYN
18111,43,CLARKSON
18112,188,W 18
18113,37,5
18114,24,MOTT
18115,1,DELANCEY
18116,117,LAURENS
18117,37,GOUVERNEUR
18118,NA,406VARICK
18119,646,HUDSON
18120,37,GOUVERNEUR
18121,129,3
18122,35,GREENWICH G WICH
18123,NA,AVE B E AND 18
18124,7,BARCLAY
18125,147,STANTON
18126,126,BROOME
18127,NA,MI AND HICKS MIDDAGH
18128,111,W BROADWAY 483 PEAR
18129,11,
18130,56,RUTGERS
18131,242,DIVISION
18132,201,CHERRY 483 W PEARL 78 BROADWAY
18133,164,W 20
18134,160,VARICK
18135,292,HUDSON
18136,115,DELANCEY
18137,239,WILLIAM
18138,248,3
18139,36,CLIN TON PL
18140,152,W 32D
18141,234,
18142,2344,BLEECKER
18143,63,MERCER
18144,6,CARMINE
18145,1,JEFFERSON MARKET 25 CHRISTOPHER
18146,303,HUDSON
18147,34,AMOS
18148,NA,26 AND LEX ALY
18149,241,7
18150,124,AVE D
18151,133,W 18
18152,NA,JEFFERSON MARKET
18153,231,CHURCH
18154,69,CHARLTON
18155,366,HUDSON
18156,79,DIVISION
18157,82,CHRYSTIE
18158,32,
18159,314,BOWERY
18160,166,ATTORNEY
18161,72,MORTON
18162,66,VANDAM
18163,405,G WICH
18164,35,VANDAM
18165,21,COENTIES SLIP 244 RIVINGTON
18166,483,HUDSON OF
18167,209,W 18
18168,297,HUDSON
18169,NA,STATEN
18170,59,NASSAU ISLAND
18171,40,AVE B
18172,4,CARLISLE
18173,173,3
18174,317,RIVINGTON
18175,NA,W 32D AND ALY 9
18176,22,JAMES
18177,216,ELIZABETH
18178,444,4
18179,515,BROADWAY 5
18180,12,GREENWICH
18181,23,OLD SLIP
18182,279,SPRING
18183,NA,STATEN
18184,10,E TH
18185,36,WILLETT BIER JOHN 260 HENRY AND 49 WM H 140 AND 16
18186,36,WILLETT
18187,238,ELIZABETH
18188,169,AVE 6
18189,34,VESTRY
18190,437,CHERRY
18191,580,GRAND
18192,229,W 24
18193,67,GREENWICH AVE
18194,251,WASHINGT
18195,647,HUDSON
18196,493,G WICH
18197,631,WASHINGTON
18198,264,DELANCEY
18199,178,W 15
18200,113,ALLEN
18201,100,DELANCEY
18202,176,W LI7
18203,291,W 17
18204,171,HOUSTON
18205,NA,W 25 AND AVE 8
18206,40,GOLD
18207,21,MORTON
18208,120,W 27
18209,11,AVE
18210,6,STONE
18211,631,WASHINGTON
18212,30,DOMINICK
18213,102,STANTON
18214,107,CHAS
18215,26,HAMERSLEY
18216,43,RIVINGTON
18217,NA,N J
18218,28,DOMINICK
18219,109,
18220,13,SOUTH
18221,246,DIVISN
18222,92,E BROADWAY
18223,144,HICKS BKYN
18224,144,HICKS
18225,NA,BKLYN
18226,700,BROADWAY
18227,147,MADISON
18228,84,FULTON
18229,84,FULTON
18230,223,W 28
18231,125,NORFOLK
18232,229,W 19
18233,59,LEXINGTON AVE
18234,91,WATER
18235,61,MULBERRY
18236,61,MULBERRY
18237,8,RUTGERS
18238,NA,63K GOLD
18239,221,HOUSTON
18240,79,AVE B
18241,79,AVE B
18242,19,AVE B
18243,480,BROADWAY
18244,204,HOUSTON
18245,131,FORSYTH
18246,60,RIDGE
18247,28,MONROE PL
18248,131,12
18249,71,REMSEN BRKLYN
18250,NA,ASTOR
18251,NA,CARMANVILLE
18252,327,BROADWAY
18253,179,WATER
18254,44,CHATHAM
18255,11,GROVE
18256,NA,W 33D AND AVE 6
18257,923,ADAMS
18258,6,
18259,3,COENTIES SLIP
18260,10,E TH
18261,140,AND 16
18262,NA,W
18263,18,MINETTA LA
18264,585,I
18265,155,FRANKLIN 585 G WIEH
18266,71,3
18267,49,CHAMBERS
18268,115,WALL
18269,12,FRANKFORT
18270,335,HENRY
18271,413,BROADWAY
18272,68,WHITE
18273,62,RIVINGTON
18274,45,CARMINE
18275,714,GREENWICH
18276,174,VARICK
18277,80,NASSAU 12712
18278,80,NASSAU
18279,82,W BROADWAY
18280,250,7
18281,NA,ASTOR
18282,27,THOMPSON
18283,354,WATER
18284,103,DELANCEY
18285,25,WALL
18286,181,LIBERTY
18287,51,PINE
18288,NA,NEWARK
18289,97,LUDLOW
18290,160,2
18291,72,JACKSON
18292,435,BROOME
18293,131,
18294,NA,JERSEY
18295,NA,BROOKLYN
18296,NA,BROOKLYN
18297,64,CATHARINE
18298,39,RIVINGTON
18299,137,SULLIVAN
18300,2,BAYARD
18301,69,GRAND
18302,40,BEEKMAN
18303,40,BEEKMAN
18304,90,LUDLOW
18305,74,FULTON
18306,94,LEWIS
18307,122,TROY
18308,NA,F 19 AND AVE 3
18309,166,LEONARD
18310,212,DELANCEY
18311,212,DELANCEY
18312,44,AVE A
18313,110,WILOUGHBY
18314,54,AVE 4
18315,59,SUFFOLK
18316,60,LEROY
18317,184,ORCHARD
18318,336,BROOME
18319,6,JANE
18320,39,CHARLTON
18321,253,WILLIAM
18322,184,ORCHORD
18323,9,AVE
18324,619,HUDSON
18325,89,HUDSON
18326,NA,PHILADELPHIA
18327,11,DESBROSSES
18328,109,NASSAU
18329,NA,PEARL
18330,235,
18331,537,BROADWAY
18332,15,AVE 1
18333,3,DUANE
18334,20,BAYARD
18335,180,WALKER
18336,348,6
18337,1,2
18338,NA,
18339,47,BROOME
18340,30,AVE 6
18341,8,CARMINE
18342,187,E 24
18343,222,12
18344,377,9
18345,42,W 14
18346,86,AVE 4
18347,282,6
18348,281,MULBERRY
18349,261,DELANCEY
18350,3,AVE
18351,63,SUFFOLK
18352,166,STANTON
18353,103,W 17
18354,23,WATER
18355,66,BROADWAY
18356,188,W 21
18357,NA,FE 26
18358,48,AVE 6
18359,NA,
18360,224,KE BROADWAY
18361,NA,LONG ISLAND
18362,215,W 21
18363,NA,
18364,53,AVE 6
18365,179,MACDOUGAL
18366,3,AVE
18367,118,MADISON
18368,110,
18369,6,HARRISON
18370,44,AVE B
18371,136,3
18372,192,2
18373,182,VARICK
18374,119,FORSYTH
18375,204,2
18376,69,AVE A
18377,67,MARION
18378,693,4
18379,200,DELANCEY
18380,NA,
18381,NA,HO
18382,487,BROADWAY
18383,303,HOUSTON
18384,137,WOOSTER
18385,65,LAURENS
18386,417,BROADWAY
18387,167,3
18388,135,ELM
18389,77,LUDLOW
18390,15,AVE A
18391,134,CENTRE
18392,154,LEWIS
18393,87,CANAL
18394,NA,BROOKLYN
18395,39,JOHN
18396,11,JAMES
18397,1604,W 20
18398,101,W 17
18399,156,ATTORNEY
18400,225,W 24
18401,118,
18402,122,CHURCH
18403,26,W BROADWAY
18404,26,W BROADWAY
18405,158,SUFFOLK
18406,152,2
18407,133,GREENWICH
18408,43,CANNON
18409,657,GREENWICH
18410,86,READE
18411,93,
18412,20,BAYARD
18413,79,AVE 8
18414,657,WATER
18415,69,SUFFOLK
18416,185,DIVISION
18417,261,RIVINGTON
18418,34,AVE B
18419,74,CHRYSTIE
18420,80,83D PVILLIAMSHURGH
18421,515,BROADWAY
18422,9,HENRY
18423,71,CANNON
18424,550,BROADWAY
18425,267,WM
18426,7,
18427,313,GRAND
18428,313,GRAND
18429,108,SPRING
18430,26,HAURY
18431,266,3
18432,153,2
18433,118,SUFFOLK
18434,136,ATTORNEY
18435,9,AVE
18436,644,GREENWICH
18437,NA,NEWARK
18438,NA,CENTRE AND HOWARD
18439,351,BROOME
18440,3,PIKE
18441,114,MOTT
18442,10,AVE
18443,115,GOERCK
18444,68,AVE A
18445,47,HOWARD
18446,204,CHERRY
18447,NA,AVE A 212
18448,38,2
18449,NA,TWELITH AND AVE A KH 12 AVE C A
18450,38,2
18451,232,STANTON
18452,659,BROADWAY BROADWAY
18453,NA,W 32D AND AVE 9
18454,239,W 18
18455,216,5
18456,77,CHATHAM
18457,96,SUFFOLK
18458,119,PITT
18459,47,BROOME
18460,NA,CASTLE GARDEN
18461,221,BOWERY
18462,425,4
18463,146,HOUSTON
18464,73,CANNON
18465,270,WALKER
18466,251,SPRING
18467,228,WILLIAM
18468,48,OAK OAK
18469,252,5
18470,56,JACKSON
18471,147,GRAND
18472,NA,
18473,107,FULTON LONG ISLAND
18474,231,BOWERY
18475,201,W 21
18476,34,GREENWICH
18477,92,ATTORNEY
18478,22,RECTOR
18479,220,AVE 8
18480,310,ALY 3
18481,328,6
18482,198,ALLEN EEE FEE AE
18483,8,AVE
18484,50,AVE A
18485,90,CHAMBERS
18486,36,WOOSTER
18487,163,2
18488,73,CANNON
18489,379,CHERRY
18490,93,CHARLTON
18491,88,CATHARINE
18492,255,CENTRE
18493,7,CLARK
18494,222,BROOME
18495,77,FORSYTH
18496,67,LUDLOW
18497,NA,W 29 AND ALY 8
18498,76,READE
18499,169,WASHINGTON
18500,126,E 27
18501,303,HOUSTON
18502,297,MOTT
18503,381,GRAND
18504,24,RIVINGTON
18505,247,GRAND
18506,381,GRAND
18507,379,GRAND
18508,354,HOUSTON
18509,197,HOUSTON
18510,75,GREENWICH
18511,11,LUDLOW PL
18512,4,SUFFOLK
18513,168,DELANCEY
18514,55,DUANE
18515,103,FORSYTH
18516,103,FORSYTH
18517,303,HOUSTON
18518,68,SUFFOLK
18519,NA,COLUMBIA PL 8
18520,NA,WALKER
18521,91,AVE A
18522,191,WILLIAM
18523,NA,W 36 AND AVE 9
18524,604,WARREN
18525,141,GREENWICH
18526,28,BEDFORD
18527,149,
18528,307,
18529,68,CHARLES
18530,31,CHARLES
18531,32,AVE 6
18532,140,CENTRE
18533,140,CENTRE
18534,189,ORCHARD
18535,67,LUDLOW
18536,81,3
18537,174,AVE 3
18538,239,2
18539,244,WALKER
18540,48,SOUTH
18541,102,WILLETT
18542,94,COLUMBIA
18543,38,HAMERSLEY
18544,87,4 WILLIAMSBURGH
18545,NA,W 30
18546,28,LUDLOW
18547,NA,WILLIAMSBURGH
18548,117,WALL
18549,13,VANDEWATER
18550,102,READE
18551,90,AVE 8
18552,90,ALY 8
18553,149,
18554,307,
18555,49,DICCCHER
18556,6,OAK
18557,17,MORTON
18558,243,
18559,17,MORTON
18560,167,3
18561,47,CLINTON
18562,47,CLINTON
18563,656,WATER
18564,97,PEARL BROADWAY
18565,NA,BOSTON
18566,43,MAIDEN LA
18567,49,JOHN
18568,288,PEARL
18569,23,LIBERTY
18570,40,WATTS
18571,38,ALY B
18572,NA,
18573,238,WASHINGTON
18574,145,W 15
18575,44,WATER
18576,NA,W 47N AVE 11
18577,222,W 2IST
18578,46,RUTGERS
18579,NA,W 22D
18580,106,TROY
18581,NA,W 18 AND AVE W 58017
18582,559,PEARL
18583,19,E CORTLANDT 35
18584,39,VANDEWATER
18585,62,W 26
18586,231,7
18587,NA,E 35 AND AVE 3
18588,454,CLARKSON
18589,NA,35 AND AVE 3
18590,116,WILLETT
18591,6,ELIZABETH
18592,54,AVE 9
18593,166,DIVISION
18594,6,12
18595,101,WAVERLEY PL
18596,86,WALNUT
18597,7,MANGIN
18598,226,W 26
18599,73,KIN
18600,95,GRAND
18601,NA,BROOKLYN
18602,2134,AVE 9
18603,64,ALLEN
18604,283,ELIZABETH
18605,30,PIKE
18606,74,12
18607,549,BROADWAY
18608,693,4
18609,90,ROOSEVELT
18610,48,SHERIFF
18611,93,ROOSEVELT
18612,360,AVE 3
18613,148,BARROW
18614,NA,2L LEONARD
18615,355,HUDSON
18616,40,CHERRY A
18617,610,WATER
18618,58,HAMERSLEY
18619,149,SPRING 8 LAURENS
18620,NA,
18621,238,WASHINGTON
18622,1,
18623,NA,
18624,165,BLEECKER
18625,372,AND BOWERY
18626,295,3
18627,NA,L I
18628,60,LAIGHT
18629,317,8
18630,200,W 21
18631,28,JAY
18632,10,HOWARD
18633,83,W BROADWAY
18634,83,W BROADWAY
18635,83,W B 95 JOHN
18636,122,ELDRIDGE
18637,85,CROSS
18638,348,
18639,NA,E 30 AND AVE 3195 STANTON
18640,35,5
18641,81,AVE 4
18642,428,WATER
18643,105,THOMPSON
18644,217,W 19
18645,644,HUDSON
18646,77,ROSVIT
18647,59,MONTGOMERY
18648,165,ALLEN
18649,54,10
18650,65,AVE A
18651,31,BAYARD
18652,165,ALLEN
18653,115,W 20
18654,NA,
18655,272,7
18656,NA,
18657,NA,2287
18658,334,PEARL AND
18659,336,PEARL
18660,25,THOMAS
18661,60,BROAD
18662,60,BROAD
18663,79,MULBERRY
18664,204,AVE B
18665,249,BRME
18666,18,CEDAR
18667,NA,AVE E 3C 42D
18668,253,MONROE
18669,103,GREENWICH
18670,247,W 16
18671,94,WILLETT
18672,554,BROADWAY
18673,95,CHERRY
18674,105,THOMPSON
18675,40,LUDLOW
18676,420,BROOME
18677,22,AVE C
18678,50,FULTON MARKET 487
18679,154,3
18680,NA,
18681,229,
18682,30,JO
18683,NA,BROOKLYN
18684,180,HOUSTON
18685,237,W 16
18686,134,BROOME
18687,246,RIVINGTON
18688,28,ORCHARD
18689,NA,W 27 AND AVE 6
18690,169,2
18691,120,AMITY
18692,160,2
18693,61,AVE D
18694,292,2
18695,38,VANDEWATER
18696,62,WHITE
18697,8,BEDFORD
18698,321,HENRY BHLYN
18699,24,S MARK PL
18700,45,4
18701,20,E 13
18702,120,GREENE
18703,34,CHARLES
18704,8,BEDFORD
18705,9,VARICK PL
18706,161,W LLTH
18707,273,MOTT
18708,142,BROADWAY
18709,56,HAMERSLEY
18710,242,ELIZBTH
18711,81,FRANKFORT
18712,20,IT 2IST NH IT I LITH
18713,170,ORCHARD
18714,34,FORSYTH
18715,216,SPRING
18716,73,MULBERRY
18717,234,W 17
18718,NA,W 41 AND AVE 8
18719,82,HAMERSLEY
18720,507,BROADWAY
18721,2,S KNAPP PL
18722,NA,HARLEM
18723,124,E 27
18724,244,W 22D
18725,2,WASHINGTON MARKET
18726,233,W 16
18727,191,FRANKLIN
18728,24,CHURCH
18729,NA,E 121
18730,318,DELANCEY
18731,386,W 28
18732,18,GOERCK
18733,137,AVE C
18734,50,MULBERRY
18735,227,SULLIVAN
18736,209,AVE B
18737,56,LAURENS
18738,244,W 22D
18739,61,DOWNING
18740,249,GRAND
18741,32,LEWIS
18742,138,READE
18743,41,N MOORE
18744,NA,HARSIMUS
18745,314,5
18746,19,DUANE
18747,139,
18748,95,AVE 10
18749,127,ORCHARD
18750,118,ALLEN
18751,58,COLUMBIA
18752,7,AND 8
18753,145,W 28
18754,149,WOOSTER
18755,44,HAMERSLEY
18756,114,ELM
18757,19,CENTRE
18758,41,CENTRE
18759,NA,W 15
18760,125,ANTHONY
18761,47,CENTRE
18762,47,CENTRE
18763,180,ELIZABETH
18764,127,CHAMBERS
18765,NA,W 27 AND AVE 7
18766,38,AVE D
18767,329,3
18768,185,BROADWAY BH
18769,NA,
18770,426,CHERRY
18771,127,THOMPSON
18772,1,
18773,142,GRAND
18774,474,AVE 8
18775,118,CHRISTOPHER
18776,127,ORCHARD
18777,142,BROADWAY
18778,180,ELIZABETH
18779,49,CHARLES
18780,93,LEX AVE
18781,75,BEEKMAN
18782,155,ORANGE
18783,7,CHRYSTIE
18784,122,CHAMBERS
18785,17,MURRA
18786,76,BEAVER
18787,NA,17S WILLIAM
18788,NA,IMPO ILI
18789,178,WILLIAM
18790,93,MARKET
18791,161,WILLIAM 555
18792,NA,COMMISSION MER
18793,555,HOUSTON CHANT 161
18794,13,
18795,198,VARICK AMOS
18796,161,WILLIAM
18797,38,GRAND
18798,NA,W 3IST AND AVE 8
18799,11,WEST
18800,212,7
18801,228,HOUSTON
18802,40,WATTS
18803,105,GREENE
18804,71,HAMERSLEY
18805,NA,W 42D AND AVE 8
18806,118,
18807,42,PIKE
18808,257,ELIZABETH
18809,27,LUDLOW
18810,214,ELDRIDGE
18811,480,BROADWAY
18812,NA,
18813,33,SHERIFF
18814,217,12
18815,158,W 16
18816,79,CROSBY
18817,128,
18818,1,CENTRE MARKET
18819,235,ELIZABETH
18820,138,ALLEN
18821,134,WILLETT
18822,49,BANK
18823,NA,
18824,112,ALLEN
18825,101,CLINTON
18826,107,WOOSTER
18827,43,THOMPSON
18828,94,PEARL
18829,61,ATTORNEY
18830,646,HUDSON
18831,378,CHERRY
18832,68,NORFOLK
18833,7,AVE
18834,105,AVE B
18835,29,BEAVER
18836,29,
18837,NA,GOUVER
18838,NA,MONROE
18839,105,E 27
18840,56,W WASHINGTON PL
18841,180,BROOME
18842,70,LEONARD
18843,56,WEST
18844,30,DIVISION
18845,93,CHURCH
18846,30,DIVISION DIVISION
18847,375,HOUSTON
18848,223,MERCER T
18849,NA,E 17 AND AVE 3
18850,NA,
18851,47,CLINTON
18852,228,STANTON
18853,186,AVE 8
18854,76,READE
18855,260,2
18856,30,CHARLES
18857,29,AVE D
18858,161,PERRY
18859,31,GROVE
18860,137,
18861,78,JANE
18862,742,744
18863,244,7
18864,231,W 19
18865,268,SPRING
18866,268,SPRING
18867,279,2
18868,508,PEARL
18869,33,KING
18870,155,
18871,24,ANN ANN
18872,216,E 13
18873,190,SPRING
18874,225,RIVINGTON
18875,125,SUFFOLK
18876,141,W 16
18877,215,
18878,99,NORFOLK
18879,46,AVE 1
18880,2165,
18881,57,ATTORNEY
18882,180,WALKER
18883,75,BEEKMAN
18884,215,STANTON
18885,172,12
18886,108,LUDLOW
18887,63,AVE A
18888,80,RIDGE
18889,140,PITT
18890,220,W 27
18891,228,W 26
18892,232,MONROE
18893,95,E 17
18894,NA,W 37 AND AVE 10
18895,244,5
18896,357,CHERRY
18897,168,E 27
18898,54,JAMES
18899,264,2
18900,55,GREENWICH
18901,345,GREENWICH
18902,189,MONROE
18903,15,KING
18904,100,HAMMOND
18905,4,MURRAY
18906,56,HAMMOND
18907,139,PITT
18908,7,ATTORNEY
18909,111,S NASSAU U WEIGHER
18910,NA,61 AND AVE 1
18911,194,W 24
18912,262,7
18913,272,7
18914,97,
18915,81,FRONT
18916,28,COENTIES SLIP
18917,675,BROADWAY
18918,485,HOUSTON
18919,64,JOHN
18920,25,RUTGERS PL
18921,11,COENTIES SLIP
18922,82,10
18923,396,WATER
18924,15,CITY HALL PL
18925,26,AVE 1
18926,18,HARRISON
18927,424,WEST
18928,20,MULBERRY
18929,100,VARICK
18930,12,HUBERT
18931,28,COENTIES SL
18932,241,12
18933,28,COENTIES SL
18934,78,JOHN
18935,111,NASSAU
18936,NA,CRAVATS
18937,95,WILLIAM
18938,121,BROAD
18939,169,HENRY BKLYN
18940,66,REM
18941,NA,BROOKLYN
18942,NA,E 25 AND AVE 2
18943,694,WASHINGTON
18944,61,BANK
18945,130,HAMMOND
18946,NA,E 25 AND AVE 2
18947,716,WASHINGTON
18948,600,BROAD
18949,NA,BKLYN
18950,188,AVE C
18951,269,DIVISION
18952,111,4
18953,135,CHERRY
18954,264,3
18955,NA,AVE B AND 12
18956,150,3
18957,1,ROOSEVELT
18958,167,LEWIS
18959,45,COLUMBIA
18960,34,BEAVER 48 CONCORD
18961,43,ORCHARD
18962,210,W 21
18963,39,BEEKMAN
18964,5,LEWIS
18965,18,SPRING
18966,33,ESSEX
18967,564,4
18968,27,CITY HALL PL
18969,119,WHITE
18970,27,CITY WALL PL
18971,86,JOHN
18972,310,GRAND
18973,64,BROAD
18974,68,HAMMOND
18975,58,BROOME
18976,45,BARCLAY
18977,22,PRINCE
18978,268,AVE 8
18979,254,GREENWICH
18980,87,RIDGE
18981,122,CANA
18982,87,RIDGE
18983,NA,E 30 AND ALY 3
18984,192,2
18985,73,GR NE
18986,189,RIVINGTON
18987,181,LAURENS
18988,284,SUFFOLK
18989,165,LEWIS
18990,158,2
18991,64,AVE A
18992,159,LAURENS
18993,234,5
18994,178,CHRISTOPHER
18995,320,6
18996,764,AVE 9
18997,8,
18998,176,BARROW
18999,311,AVE 3
19000,240,E 25
19001,208,W 26
19002,721,BROADWAY
19003,NA,AVE W 7C 22D
19004,NA,STATEN ISLAND
19005,151,3
19006,3,AVE
19007,73,ATTORNEY
19008,216,5
19009,NA,E 87 AND AVE 3
19010,210,W 2IST
19011,43,W 30
19012,9,AVE
19013,220,WILLIAM
19014,201,7167 SEVENTN
19015,266,RIV
19016,143,CEDAR
19017,75,AMITY
19018,119,BROADWAY
19019,46,AVE A
19020,421,AVE 6
19021,NA,AVE W 8C 26
19022,211,3
19023,211,3
19024,99,THOMPSON
19025,56,CENTRE
19026,211,3 I
19027,105,AVE 8
19028,62,WARREN
19029,229,MULBERRY
19030,496,HOUSTON
19031,233,ELIZABETH
19032,119,FORSYTH
19033,495,HOUSTON
19034,NA,
19035,159,GREENE
19036,409,AVE 6
19037,314,BOWERY
19038,NA,W 40 AND ALY 11
19039,85,BOWERY
19040,NA,BLOOMGDALE
19041,99,HUDSON
19042,164,2
19043,37,MOTT
19044,176,W 16
19045,33,AVE A
19046,117,STANTON
19047,241,RIVINGTON
19048,243,HICKS
19049,NA,
19050,NA,WILLIAM
19051,172,LUDLOW
19052,368,BROOME
19053,126,DELANC
19054,295,
19055,NA,FE 24 AND AVE 4
19056,29,MOTT
19057,259,PEARL
19058,87,CEDAR
19059,9,PELHAM
19060,52,JOHN
19061,NA,WMSBURG
19062,358,G WICH
19063,210,7
19064,147,7
19065,148,WILLIAM 23 PIKE
19066,148,WILLIAM
19067,17,BURLING SLIP
19068,82,
19069,NA,
19070,NA,N ORLEANS
19071,129,FRANKLIN
19072,226,12
19073,382,
19074,45,WARREN
19075,211,5
19076,160,DUANE
19077,67,2
19078,NA,W 36 AND AVE 9
19079,236,WATER
19080,30,E 26
19081,NA,UPHOL
19082,387,W
19083,388,WASHINGTON
19084,444,4
19085,388,WASHINGTON
19086,91,E BROADWAY
19087,25,
19088,85,AVE 6
19089,28,BRG
19090,252,WILLIAM 259
19091,140,PITT
19092,379,GRAND
19093,NA,W 35 H
19094,8,
19095,72,WATTS
19096,301,HUDSON
19097,412,10
19098,24,SOUTH WILLIAM
19099,15,CT
19100,33,COLUMBIA
19101,24,SOUTH WILLIAM
19102,16,HARRISON
19103,24,
19104,156,WALKER
19105,NA,ALY
19106,12,HESTER
19107,85,MAIDEN
19108,280,4
19109,17,CLINTON PL
19110,323,SPRIN
19111,13,
19112,15,FORSYTH
19113,91,BE
19114,333,BROADWAY
19115,165,HOUSTON
19116,31,AVE C
19117,310,BOWERY
19118,974,
19119,197,CHATHAM
19120,437,AND BROADWAY
19121,67,MADISON
19122,82,HUDSON
19123,NA,
19124,239,2
19125,22,CLINTON PL
19126,323,4
19127,23,LISPENARD
19128,327,6
19129,140,CENTRE
19130,32,ATTORNEY
19131,207,W 18
19132,62,AVE 6
19133,112,JOHN 37 CLINTON
19134,NA,AVE E 3C 24
19135,93,JOHN
19136,124,
19137,67,7
19138,NA,
19139,215,TWELFT
19140,3,WHITEHALL
19141,NA,JERSEY CITY
19142,338,PEARL
19143,8,6
19144,241,AND 257 BOWERY
19145,257,BOWER
19146,164,W 20
19147,28,LEWIS
19148,13,FORSYTH
19149,130,HESTER S HICKSON JOHN 357 AVE 3
19150,189,FRONT ALSO CAN
19151,77,7
19152,183,W 19 HIDE WILLIAM 13 FORSYTH
19153,46,HOWARD
19154,NA,AVE B CE
19155,NA,W 33D AND AVE E 1018
19156,NA,W 35 AVE M 8
19157,32,MOORE
19158,299,W 17
19159,6,COLUMBIA
19160,313,12
19161,92,BROOME
19162,233,ELIZABETH
19163,26,MONTGOMERY
19164,261,RIVINGTON
19165,250,MOTT
19166,295,MOTT
19167,114,AVE 10
19168,640,GREENWICH
19169,200,W 15
19170,342,MADISON
19171,99,E 22D
19172,60,CHERRY 24 JOHNSON
19173,155,SUFFOLK
19174,419,CHERRY
19175,186,2
19176,7,DESBROSSES
19177,45,BROADWAY
19178,365,6
19179,NA,CONNECTICUT
19180,1754,ORCHARD
19181,10,GREENWICH AVE
