,n_street1,n_street2,c_street1,c_street2,Full Address,H Address,H House Number,H Street Name,H City,Address 2,Address 2 House Number,Address 2 Street Name,Address 2 City
17890,,,,,41 Essex,41 ESSEX,41.0,ESSEX,,,,,
17891,,,,,92 Av 4,92 AV 4,92.0,AV 4,,,,,
17892,,,,,145 Elm,145 ELM,145.0,ELM,,,,,
17893,,,,,7 Peterfield row E 15th,7 PETERFIELD ROW E 15TH,7.0,PETERFIELD ROW E 15TH,,,,,
17894,,,Greenwich,Reade,Greenwich c Reade,GREENWICH C READE,,,GREENWICH C READE,,,,
17895,,,,,83 Lewis,83 LEWIS,83.0,LEWIS,,,,,
17896,,,,,9 298 Madison h Williamsburg,9 298 MADISON H WILLIAMSBURG,9.0,298 MADISON H WILLIAMSBURG,,,,,
17897,,,,,24 W Broadway,24 W BROADWAY,24.0,W BROADWAY,,,,,
17898,,,,,Williamsburg,WILLIAMSBURG,,,,,,,
17899,,,,,24 W Broadway,24 W BROADWAY,24.0,W BROADWAY,,,,,
17900,,,,,173,173,173.0,,,,,,
17901,,,,,185 Delancy,185 DELANCY,185.0,DELANCY,,,,,
17902,,,,,292 Fifth,292 5TH,292.0,FIFTH,,,,,
17903,,,,,165 Stanton,165 STANTON,165.0,STANTON,,,,,
17904,,,,,12 Washington market bds,12 WASHINGTON MARKET BDS,12.0,WASHINGTON MARKET BDS,,,,,
17905,,,,,54 Rutgers,54 RUTGERS,54.0,RUTGERS,,,,,
17906,,,,,397 & Pearl,397 & PEARL,397.0,& PEARL,,,,,
17907,,,,,671 Water,671 WATER,671.0,WATER,,,,,
17908,,,,,208 Fourth,208 4TH,208.0,FOURTH,,,,,
17909,,,,,52 Vandam,52 VANDAM,52.0,VANDAM,,,,,
17910,,,,,193 Mulberry,193 MULBERRY,193.0,MULBERRY,,,,,
17911,,,,,46 Lispenard,46 LISPENARD,46.0,LISPENARD,,,,,
17912,,,,,221 Division 221,221 DIVISION 221,221.0,DIVISION 221,,,,,
17913,,,,,44 Norfolk,44 NORFOLK,44.0,NORFOLK,,,,,
17914,,,,,8354 Water,8354 WATER,8354.0,WATER,,,,,
17915,,,,,26 Greene,26 GREENE,26.0,GREENE,,,,,
17916,,,,,420 Greenwich,420 GREENWICH,420.0,GREENWICH,,,,,
17917,,,,,105 Leroy,105 LEROY,105.0,LEROY,,,,,
17918,,,,,146 Suffolk,146 SUFFOLK,146.0,SUFFOLK,,,,,
17919,,,,,46 Lispenard,46 LISPENARD,46.0,LISPENARD,,,,,
17920,,,,,46 Lispenard,46 LISPENARD,46.0,LISPENARD,,,,,
17921,,,,,W 60th,W 60TH,,,W 60TH,,,,
17922,,,,,76 Henry,76 HENRY,76.0,HENRY,,,,,
17923,,,,,38 King,38 KING,38.0,KING,,,,,
17924,Twelfth,Av B,,,Twelfth n Av B,12TH N AV B,,,TWELFTH N AV B,,,,
17925,,,,,87 Pitt,87 PITT,87.0,PITT,,,,,
17926,,,,,17 Thames,17 THAMES,17.0,THAMES,,,,,
17927,,,,,43 Monroe,43 MONROE,43.0,MONROE,,,,,
17928,,,,,163 Madison,163 MADISON,163.0,MADISON,,,,,
17929,,,,,180 W 17th,180 W 17TH,180.0,W 17TH,,,,,
17930,,,,,227 W 17th,227 W 17TH,227.0,W 17TH,,,,,
17931,,,,,599,599,599.0,,,,,,
17932,,,,,24 Thames,24 THAMES,24.0,THAMES,,,,,
17933,,,,,380 Cherry,380 CHERRY,380.0,CHERRY,,,,,
17934,,,,,306 Madison,306 MADISON,306.0,MADISON,,,,,
17935,,,,,297 Madison,297 MADISON,297.0,MADISON,,,,,
17936,,,,,163 Madison,163 MADISON,163.0,MADISON,,,,,
17937,,,,,15 Bridge,15 BRIDGE,15.0,BRIDGE,,,,,
17938,,,,,357 Broome,357 BROOME,357.0,BROOME,,,,,
17939,,,,,105 Leroy,105 LEROY,105.0,LEROY,,,,,
17940,,,,,705 Houston,705 HOUSTON,705.0,HOUSTON,,,,,
17941,,,,,81 Rivington,81 RIVINGTON,81.0,RIVINGTON,,,,,
17942,,,,,28 Madison,28 MADISON,28.0,MADISON,,,,,
17943,,,,,239 EB 11th,239 EB 11TH,239.0,EB 11TH,,,,,
17944,,,,,183 Henry,183 HENRY,183.0,HENRY,,,,,
17945,,,,,183 Henry,183 HENRY,183.0,HENRY,,,,,
17946,,,,,33 First,33 1ST,33.0,FIRST,,,,,
17947,,,13th,Av 6,13th c Av 6,13TH C AV 6,,,13TH C AV 6,,,,
17948,,,,,270,270,270.0,,,,,,
17949,,,,,179,179,179.0,,,,,,
17950,,,,,187 Av 6,187 AV 6,187.0,AV 6,,,,,
17951,,,,,,,,,,,,,
17952,,,,,127 Stanton,127 STANTON,127.0,STANTON,,,,,
17953,,,,,57,57,57.0,,,,,,
17954,,,,,630 Greenwich,630 GREENWICH,630.0,GREENWICH,,,,,
17955,,,,,268 Grand,268 GRAND,268.0,GRAND,,,,,
17956,,,,,kh,KH,,,,,,,
17957,,,,,63 Delancy and 23 Cham,63 DELANCY AND 23 CHAM,63.0,DELANCY AND 23 CHAM,,,,,
17958,,,,,63 Delancy,63 DELANCY,63.0,DELANCY,,,,,
17959,,,,,51 Fulton market kh,51 FULTON MARKET KH,51.0,FULTON MARKET KH,,,,,
17960,,,,,66 Liberty,66 LIBERTY,66.0,LIBERTY,,,,,
17961,,,,,602 Broadway,602 BROADWAY,602.0,BROADWAY,,,,,
17962,,,,,54 Irving pl,54 IRVING PL,54.0,IRVING PL,,,,,
17963,,,,,133 Walker,133 WALKER,133.0,WALKER,,,,,
17964,,,,,co 89 Wall h Conn,CO 89 WALL H CONN,89.0,WALL H CONN,,,,,
17965,,,,,434 Greenwich,434 GREENWICH,434.0,GREENWICH,,,,,
17966,,,,,434 Greenwich,434 GREENWICH,434.0,GREENWICH,,,,,
17967,,,,,160 EB 18th,160 EB 18TH,160.0,EB 18TH,,,,,
17968,,,,,89 Wall,89 WALL,89.0,WALL,,,,,
17969,,,,,,,,,,,,,
17970,,,,,35 Vesey,35 VESEY,35.0,VESEY,,,,,
17971,,,,,20 Henry,20 HENRY,20.0,HENRY,,,,,
17972,,,,,126 Pearl 113 Concord,126 PEARL 113 CONCORD,126.0,PEARL 113 CONCORD,,,,,
17973,,,,,60 Sullivan 14,60 SULLIVAN 14,60.0,SULLIVAN 14,,,,,
17974,,,,,197 W 27th,197 W 27TH,197.0,W 27TH,,,,,
17975,,,,,452 Twelfth,452 12TH,452.0,TWELFTH,,,,,
17976,,,,,Brooklyn,BROOKLYN,,,,,,,
17977,,,,,45 Sheriff,45 SHERIFF,45.0,SHERIFF,,,,,
17978,,,,,127 E 21s,127 E 21S,127.0,E 21S,,,,,
17979,,,,,28 Leroy,28 LEROY,28.0,LEROY,,,,,
17980,,,,,9 Charlton,9 CHARLTON,9.0,CHARLTON,,,,,
17981,,,,,12 Commerce,12 COMMERCE,12.0,COMMERCE,,,,,
17982,,,,,256 Houston,256 HOUSTON,256.0,HOUSTON,,,,,
17983,,,,,52 Exchange place,52 EXCHANGE PLACE,52.0,EXCHANGE PLACE,,,,,
17984,,,,,88 Irrankfort,88 IRRANKFORT,88.0,IRRANKFORT,,,,,
17985,,,,,68 Water,68 WATER,68.0,WATER,,,,,
17986,,,,,Brooklyn,BROOKLYN,,,,,,,
17987,,,,,241 Monroe,241 MONROE,241.0,MONROE,,,,,
17988,,,,,162 Nassaa,162 NASSAA,162.0,NASSAA,,,,,
17989,,,,,219 Stanton,219 STANTON,219.0,STANTON,,,,,
17990,,,,,Brooklyn,BROOKLYN,,,,,,,
17991,,,,,42 W Washington ace,42 W WASHINGTON ACE,42.0,W WASHINGTON ACE,,,,,
17992,,,,,227 Henry,227 HENRY,227.0,HENRY,,,,,
17993,,,,,60 Av 6,60 AV 6,60.0,AV 6,,,,,
17994,,,,,22 E 24th,22 E 24TH,22.0,E 24TH,,,,,
17995,,,,,267 E Broadway,267 E BROADWAY,267.0,E BROADWAY,,,,,
17996,K 24th,Av 1,,,K 24th n Av 1,K 24TH N AV 1,,,K 24TH N AV 1,,,,
17997,,,,,540 Grand,540 GRAND,540.0,GRAND,,,,,
17998,,,,,456,456,456.0,,,,,,
17999,,,,,326 Fifth,326 5TH,326.0,FIFTH,,,,,
18000,,,,,W 39th Av 10,W 39TH AV 10,,,W 39TH AV 10,,,,
18001,,,,,74 Sheriff,74 SHERIFF,74.0,SHERIFF,,,,,
18002,,,,,205 Stanton,205 STANTON,205.0,STANTON,,,,,
18003,,,,,80 Oliver,80 OLIVER,80.0,OLIVER,,,,,
18004,W 33,Av 8,,,W 33 n Av 8,W 33 N AV 8,33.0,N AV 8,,,,,
18005,,,,,478 Hudson,478 HUDSON,478.0,HUDSON,,,,,
18006,,,,,247 Monroe,247 MONROE,247.0,MONROE,,,,,
18007,,,,,2 Front,2 FRONT,2.0,FRONT,,,,,
18008,,,,,246 Canal,246 CANAL,246.0,CANAL,,,,,
18009,,,,,134 Lewis,134 LEWIS,134.0,LEWIS,,,,,
18010,,,,,227,227,227.0,,,,,,
18011,,,,,1 Columbia pl,1 COLUMBIA PL,1.0,COLUMBIA PL,,,,,
18012,,,,,173 Bowery,173 BOWERY,173.0,BOWERY,,,,,
18013,,,,,73 W 17th,73 W 17TH,73.0,W 17TH,,,,,
18014,,,,,179 Elm,179 ELM,179.0,ELM,,,,,
18015,,,,,157 W 18th,157 W 18TH,157.0,W 18TH,,,,,
18016,,,,,Brooklyn,BROOKLYN,,,,,,,
18017,,,,,34 Ann 330 Pearl,34 ANN 330 PEARL,34.0,ANN 330 PEARL,,,,,
18018,,,,,345 Greenwich,345 GREENWICH,345.0,GREENWICH,,,,,
18019,,,,,88 & Cathrne,88 & CATHRNE,88.0,& CATHRNE,,,,,
18020,,,,,119 Broome,119 BROOME,119.0,BROOME,,,,,
18021,,,,,221 Hlizabeth,221 HLIZABETH,221.0,HLIZABETH,,,,,
18022,,,,,10 Depeyster,10 DEPEYSTER,10.0,DEPEYSTER,,,,,
18023,,,,,8 Depeyster,8 DEPEYSTER,8.0,DEPEYSTER,,,,,
18024,,,,,483 Pearl 34 Ann,483 PEARL 34 ANN,483.0,PEARL 34 ANN,,,,,
18025,,,,,6 Depeyster,6 DEPEYSTER,6.0,DEPEYSTER,,,,,
18026,,,,,22 Prince,22 PRINCE,22.0,PRINCE,,,,,
18027,,,,,525 Av 6,525 AV 6,525.0,AV 6,,,,,
18028,,,,,46 Whiteliall,46 WHITELIALL,46.0,WHITELIALL,,,,,
18029,,,,,169 G wich,169 G WICH,169.0,G WICH,,,,,
18030,,,,,96 Charlton,96 CHARLTON,96.0,CHARLTON,,,,,
18031,,,,,115 Aen,115 AEN,115.0,AEN,,,,,
18032,,,,,209 Elizabeth,209 ELIZABETH,209.0,ELIZABETH,,,,,
18033,,,,,83 Spring,83 SPRING,83.0,SPRING,,,,,
18034,,,,,2 James 2 James,2 JAMES 2 JAMES,2.0,JAMES 2 JAMES,,,,,
18035,,,,,354 Av 1,354 AV 1,354.0,AV 1,,,,,
18036,,,,,408 West,408 WEST,408.0,WEST,,,,,
18037,,,,,473 Pearl,473 PEARL,473.0,PEARL,,,,,
18038,,,,,83 Forsyth,83 FORSYTH,83.0,FORSYTH,,,,,
18039,,,,,172 Forsyth,172 FORSYTH,172.0,FORSYTH,,,,,
18040,,,,,39 Norfolk,39 NORFOLK,39.0,NORFOLK,,,,,
18041,,,,,93 Delancy,93 DELANCY,93.0,DELANCY,,,,,
18042,,,,,Jersey City,JERSEY CITY,,,JERSEY CITY,,,,
18043,,,,,383 Water,383 WATER,383.0,WATER,,,,,
18044,,,,,34 Ann,34 ANN,34.0,ANN,,,,,
18045,,,,,357 Grand,357 GRAND,357.0,GRAND,,,,,
18046,,,,,242 Cherry,242 CHERRY,242.0,CHERRY,,,,,
18047,,,,,6 Goerck,6 GOERCK,6.0,GOERCK,,,,,
18048,,,,,42 Prince,42 PRINCE,42.0,PRINCE,,,,,
18049,,,,,FAGAN AR SOU ll ti,FAGAN AR SOU LL TI,,,FAGAN AR SOU LL TI,,,,
18050,,,,,162 Christopher,162 CHRISTOPHER,162.0,CHRISTOPHER,,,,,
18051,,,,,24 Av 4,24 AV 4,24.0,AV 4,,,,,
18052,,,,,623 B way,623 B WAY,623.0,B WAY,,,,,
18053,,,,,68 E 17th,68 E 17TH,68.0,E 17TH,,,,,
18054,,,,,637 Fourth,637 4TH,637.0,FOURTH,,,,,
18055,,,,,104 Sullivan,104 SULLIVAN,104.0,SULLIVAN,,,,,
18056,W 32d,Av 8,,,W 32d n Av 8,W 32D N AV 8,,,W 32D N AV 8,,,,
18057,,,,,36 Great Jones,36 GREAT JONES,36.0,GREAT JONES,,,,,
18058,,,,,Av 1 & Ay A 321 Twelfth,AV 1 & AY A 321 12TH,1.0,& AY A 321 TWELFTH,,,,,
18059,,,,,45 Centre,45 CENTRE,45.0,CENTRE,,,,,
18060,,,,,1 Twelfth,1 12TH,1.0,TWELFTH,,,,,
18061,,,,,95 E 17th,95 E 17TH,95.0,E 17TH,,,,,
18062,,,,,Av 8c W 29th,AV 8C W 29TH,,,AV 8C W 29TH,,,,
18063,,,,,425 Broadway,425 BROADWAY,425.0,BROADWAY,,,,,
18064,,,,,61 Willett,61 WILLETT,61.0,WILLETT,,,,,
18065,,,,,224 Stanton,224 STANTON,224.0,STANTON,,,,,
18066,,,,,125 Monroe,125 MONROE,125.0,MONROE,,,,,
18067,,,,,34 Grove,34 GROVE,34.0,GROVE,,,,,
18068,,,,,Brooklyn,BROOKLYN,,,,,,,
18069,,,,,Brooklyn,BROOKLYN,,,,,,,
18070,,,,,117 Broad,117 BROAD,117.0,BROAD,,,,,
18071,Av 9,W 29th,,,Av 9 n W 29th,AV 9 N W 29TH,9.0,N W 29TH,,,,,
18072,,,,,447 Twelfth,447 12TH,447.0,TWELFTH,,,,,
18073,,,,,122 Varick,122 VARICK,122.0,VARICK,,,,,
18074,,,,,106 Charlton,106 CHARLTON,106.0,CHARLTON,,,,,
18075,,,,,201 Seventh,201 7TH,201.0,SEVENTH,,,,,
18076,,,,,25 Amos,25 AMOS,25.0,AMOS,,,,,
18077,,,109,Perry,109 c Perry,109 C PERRY,109.0,C PERRY,,,,,
18078,,,,,66 Elm,66 ELM,66.0,ELM,,,,,
18079,,,,,334 Front,334 FRONT,334.0,FRONT,,,,,
18080,,,,,82 William,82 WILLIAM,82.0,WILLIAM,,,,,
18081,FE 28th,Av 2,,,FE 28th n Av 2,FE 28TH N AV 2,,,FE 28TH N AV 2,,,,
18082,,,,,66 Elm,66 ELM,66.0,ELM,,,,,
18083,,,,,49 Bowery,49 BOWERY,49.0,BOWERY,,,,,
18084,,,,,66 Elm,66 ELM,66.0,ELM,,,,,
18085,,,,,149 Waverley place,149 WAVERLEY PLACE,149.0,WAVERLEY PLACE,,,,,
18086,,,,,185 Ar 4,185 AR 4,185.0,AR 4,,,,,
18087,,,,,649 Water,649 WATER,649.0,WATER,,,,,
18088,,,,,Brooklyn,BROOKLYN,,,,,,,
18089,,,,,383 Greenwich,383 GREENWICH,383.0,GREENWICH,,,,,
18090,,,,,66 Orchard,66 ORCHARD,66.0,ORCHARD,,,,,
18091,,,,,20 Spring,20 SPRING,20.0,SPRING,,,,,
18092,,,,,32 Vesey,32 VESEY,32.0,VESEY,,,,,
18093,,,,,66 Elm,66 ELM,66.0,ELM,,,,,
18094,,,,,150 Ay 6,150 AY 6,150.0,AY 6,,,,,
18095,,,,,50 Walker,50 WALKER,50.0,WALKER,,,,,
18096,,,,,918 Broadway,918 BROADWAY,918.0,BROADWAY,,,,,
18097,,,,,142 Fulton 89 Tillary Brooklyn,142 FULTON 89 TILLARY BROOKLYN,142.0,FULTON 89 TILLARY,BROOKLYN,,,,
18098,,,,,164 Front,164 FRONT,164.0,FRONT,,,,,
18099,,,,,143 Varick,143 VARICK,143.0,VARICK,,,,,
18100,,,,,204 Elm,204 ELM,204.0,ELM,,,,,
18101,W 26th,Ay 7,,,W 26th n Ay 7,W 26TH N AY 7,,,W 26TH N AY 7,,,,
18102,,,,,55 Canal,55 CANAL,55.0,CANAL,,,,,
18103,,,,,55 Canal,55 CANAL,55.0,CANAL,,,,,
18104,,,,,70 Thompson,70 THOMPSON,70.0,THOMPSON,,,,,
18105,E 28th,Madison Av,,,E 28th n Madison Av,E 28TH N MADISON AV,,,E 28TH N MADISON AV,,,,
18106,,,,,70 Thompson,70 THOMPSON,70.0,THOMPSON,,,,,
18107,,,,,297 Spring,297 SPRING,297.0,SPRING,,,,,
18108,,,,,10 Rector,10 RECTOR,10.0,RECTOR,,,,,
18109,,,,,Brooklyn,BROOKLYN,,,,,,,
18110,,,,,43 Clarkson,43 CLARKSON,43.0,CLARKSON,,,,,
18111,,,,,188 W 18th,188 W 18TH,188.0,W 18TH,,,,,
18112,,,,,37 Fifth,37 5TH,37.0,FIFTH,,,,,
18113,,,,,24 Mott,24 MOTT,24.0,MOTT,,,,,
18114,,,,,1 Delancy,1 DELANCY,1.0,DELANCY,,,,,
18115,,,,,117 Laurens,117 LAURENS,117.0,LAURENS,,,,,
18116,,,,,37 Gouverneur,37 GOUVERNEUR,37.0,GOUVERNEUR,,,,,
18117,,,,,406Varick,406VARICK,,,,,,,
18118,,,,,646 Hudson,646 HUDSON,646.0,HUDSON,,,,,
18119,,,,,37 Gouverneur,37 GOUVERNEUR,37.0,GOUVERNEUR,,,,,
18120,,,,,129 Third,129 3RD,129.0,THIRD,,,,,
18121,,,,,35 Greenwich 35 G wich,35 GREENWICH 35 G WICH,35.0,GREENWICH 35 G WICH,,,,,
18122,Av B,E 18th,,,Av B n E 18th,AV B N E 18TH,,,AV B N E 18TH,,,,
18123,,,,,7 Barclay,7 BARCLAY,7.0,BARCLAY,,,,,
18124,,,,,147 Stanton,147 STANTON,147.0,STANTON,,,,,
18125,,,,,126 Broome,126 BROOME,126.0,BROOME,,,,,
18126,,,Mi,Hicks Middagh,,,,,,,,,
18127,,,,,111 W Broadway 483 Pear,111 W BROADWAY 483 PEAR,111.0,W BROADWAY 483 PEAR,,,,,
18128,,,,,11,11,11.0,,,,,,
18129,,,,,56 Rutgers,56 RUTGERS,56.0,RUTGERS,,,,,
18130,,,,,242 Division,242 DIVISION,242.0,DIVISION,,,,,
18131,,,,,201 Cherry 483 Pearl 78 W Broadway,201 CHERRY 483 PEARL 78 W BROADWAY,201.0,CHERRY 483 PEARL 78 W BROADWAY,,,,,
18132,,,,,164 W 20th,164 W 20TH,164.0,W 20TH,,,,,
18133,,,,,160 Varick,160 VARICK,160.0,VARICK,,,,,
18134,,,,,292 Hudson,292 HUDSON,292.0,HUDSON,,,,,
18135,,,,,115 Delancy,115 DELANCY,115.0,DELANCY,,,,,
18136,,,,,239 William,239 WILLIAM,239.0,WILLIAM,,,,,
18137,,,,,248 Third,248 3RD,248.0,THIRD,,,,,
18138,,,,,36 Clin ton pl,36 CLIN TON PL,36.0,CLIN TON PL,,,,,
18139,,,,,152 W 32d,152 W 32D,152.0,W 32D,,,,,
18140,,,,,234,234,234.0,,,,,,
18141,,,,,2344 Bleecker,2344 BLEECKER,2344.0,BLEECKER,,,,,
18142,,,,,63 Mercer,63 MERCER,63.0,MERCER,,,,,
18143,,,,,6 Carmine,6 CARMINE,6.0,CARMINE,,,,,
18144,,,,,1 Jefferson market 25 Christopher,1 JEFFERSON MARKET 25 CHRISTOPHER,1.0,JEFFERSON MARKET 25 CHRISTOPHER,,,,,
18145,,,,,303 Hudson,303 HUDSON,303.0,HUDSON,,,,,
18146,,,,,34 Amos,34 AMOS,34.0,AMOS,,,,,
18147,26th,Lex Ay,,,26th n Lex Ay,26TH N LEX AY,,,26TH N LEX AY,,,,
18148,,,,,241 Seventh,241 7TH,241.0,SEVENTH,,,,,
18149,,,,,124 Av D,124 AV D,124.0,AV D,,,,,
18150,,,,,133 W 18th,133 W 18TH,133.0,W 18TH,,,,,
18151,,,,,Jefferson market,JEFFERSON MARKET,,,JEFFERSON MARKET,,,,
18152,,,,,231 Church,231 CHURCH,231.0,CHURCH,,,,,
18153,,,,,69 Charlton,69 CHARLTON,69.0,CHARLTON,,,,,
18154,,,,,366 Hudson,366 HUDSON,366.0,HUDSON,,,,,
18155,,,,,79 Division,79 DIVISION,79.0,DIVISION,,,,,
18156,,,,,82 Chrystie,82 CHRYSTIE,82.0,CHRYSTIE,,,,,
18157,,,,,32,32,32.0,,,,,,
18158,,,,,314 Bowery,314 BOWERY,314.0,BOWERY,,,,,
18159,,,,,166 Attorney,166 ATTORNEY,166.0,ATTORNEY,,,,,
18160,,,,,72 Morton,72 MORTON,72.0,MORTON,,,,,
18161,,,,,66 Vandam,66 VANDAM,66.0,VANDAM,,,,,
18162,,,,,405 G wich,405 G WICH,405.0,G WICH,,,,,
18163,,,,,35 Vandam,35 VANDAM,35.0,VANDAM,,,,,
18164,,,,,21 Coenties slip 244 Rivington,21 COENTIES SLIP 244 RIVINGTON,21.0,COENTIES SLIP 244 RIVINGTON,,,,,
18165,,,,,483 Hudson of,483 HUDSON OF,483.0,HUDSON OF,,,,,
18166,,,,,209 W 18th,209 W 18TH,209.0,W 18TH,,,,,
18167,,,,,297 Hudson,297 HUDSON,297.0,HUDSON,,,,,
18168,,,,,Staten,STATEN,,,,,,,
18169,,,,,59 Nassau Island,59 NASSAU ISLAND,59.0,NASSAU ISLAND,,,,,
18170,,,,,40 Av B,40 AV B,40.0,AV B,,,,,
18171,,,,,4 Carlisle,4 CARLISLE,4.0,CARLISLE,,,,,
18172,,,,,173 Third,173 3RD,173.0,THIRD,,,,,
18173,,,,,317 Rivington,317 RIVINGTON,317.0,RIVINGTON,,,,,
18174,W 32d,Ay 9,,,W 32d n Ay 9,W 32D N AY 9,,,W 32D N AY 9,,,,
18175,,,,,22 James,22 JAMES,22.0,JAMES,,,,,
18176,,,,,216 Elizabeth,216 ELIZABETH,216.0,ELIZABETH,,,,,
18177,,,,,444 Fourth,444 4TH,444.0,FOURTH,,,,,
18178,,,,,515 Broadway 5,515 BROADWAY 5,515.0,BROADWAY 5,,,,,
18179,,,,,12 Greenwich,12 GREENWICH,12.0,GREENWICH,,,,,
18180,,,,,23 Old slip Brooklyn,23 OLD SLIP BROOKLYN,23.0,OLD SLIP,BROOKLYN,,,,
18181,,,,,279 Spring,279 SPRING,279.0,SPRING,,,,,
18182,,,,,Staten,STATEN,,,,,,,
18183,,,,,10 E th,10 E TH,10.0,E TH,,,,,
18184,,,,,36 Willett Bier John 260 Henry & 49 Wm h 140 & 16th,36 WILLETT BIER JOHN 260 HENRY & 49 WM H 140 & 16TH,36.0,WILLETT BIER JOHN 260 HENRY & 49 WM H 140 & 16TH,,,,,
18185,,,,,36 Willett,36 WILLETT,36.0,WILLETT,,,,,
18186,,,,,238 Elizabeth,238 ELIZABETH,238.0,ELIZABETH,,,,,
18187,,,,,169 Av 6,169 AV 6,169.0,AV 6,,,,,
18188,,,,,34 Vestry,34 VESTRY,34.0,VESTRY,,,,,
18189,,,,,437 Cherry,437 CHERRY,437.0,CHERRY,,,,,
18190,,,,,580 Grand,580 GRAND,580.0,GRAND,,,,,
18191,,,,,229 W 24th,229 W 24TH,229.0,W 24TH,,,,,
18192,,,,,67 Greenwich Av,67 GREENWICH AV,67.0,GREENWICH AV,,,,,
18193,,,,,251 Washingt,251 WASHINGT,251.0,WASHINGT,,,,,
18194,,,,,647 Hudson,647 HUDSON,647.0,HUDSON,,,,,
18195,,,,,493 G wich,493 G WICH,493.0,G WICH,,,,,
18196,,,,,631 Washington,631 WASHINGTON,631.0,WASHINGTON,,,,,
18197,,,,,264 Delancy,264 DELANCY,264.0,DELANCY,,,,,
18198,,,,,178 W 15th,178 W 15TH,178.0,W 15TH,,,,,
18199,,,,,113 Allen,113 ALLEN,113.0,ALLEN,,,,,
18200,,,,,100 Delancy,100 DELANCY,100.0,DELANCY,,,,,
18201,,,,,176 W li7th,176 W LI7TH,176.0,W LI7TH,,,,,
18202,,,,,291 W 17th,291 W 17TH,291.0,W 17TH,,,,,
18203,,,,,171 Houston,171 HOUSTON,171.0,HOUSTON,,,,,
18204,W 25th,Av 8,,,W 25th n Av 8,W 25TH N AV 8,,,W 25TH N AV 8,,,,
18205,,,,,40 Gold,40 GOLD,40.0,GOLD,,,,,
18206,,,,,21 Morton,21 MORTON,21.0,MORTON,,,,,
18207,,,,,120 W 27th,120 W 27TH,120.0,W 27TH,,,,,
18208,Av 11,W 37th,,,Av 11 n W 37th,AV 11 N W 37TH,11.0,N W 37TH,,,,,
18209,,,,,6 Stone,6 STONE,6.0,STONE,,,,,
18210,,,,,631 Washington,631 WASHINGTON,631.0,WASHINGTON,,,,,
18211,,,,,30 Dominick,30 DOMINICK,30.0,DOMINICK,,,,,
18212,,,,,102 Stanton,102 STANTON,102.0,STANTON,,,,,
18213,,,,,107 Chas,107 CHAS,107.0,CHAS,,,,,
18214,,,,,26 Hamersley,26 HAMERSLEY,26.0,HAMERSLEY,,,,,
18215,,,,,43 Rivington,43 RIVINGTON,43.0,RIVINGTON,,,,,
18216,,,,,,,,,,,,,
18217,,,,,28 Dominick,28 DOMINICK,28.0,DOMINICK,,,,,
18218,,,,,109,109,109.0,,,,,,
18219,,,,,13 South,13 SOUTH,13.0,SOUTH,,,,,
18220,,,,,246 Divisn,246 DIVISN,246.0,DIVISN,,,,,
18221,,,,,92 E Bway,92 E BWAY,92.0,E BWAY,,,,,
18222,,,,,144 Hicks Bkyn,144 HICKS BKYN,144.0,HICKS BKYN,,,,,
18223,,,,,144 Hicks Brooklyn,144 HICKS BROOKLYN,144.0,HICKS,BROOKLYN,,,,
18224,,,,,Bklyn,BKLYN,,,,,,,
18225,,,,,700 Broadway,700 BROADWAY,700.0,BROADWAY,,,,,
18226,,,,,147 Madison,147 MADISON,147.0,MADISON,,,,,
18227,,,,,84 Fulton,84 FULTON,84.0,FULTON,,,,,
18228,,,,,84 Fulton,84 FULTON,84.0,FULTON,,,,,
18229,,,,,223 W 28th,223 W 28TH,223.0,W 28TH,,,,,
18230,,,,,125 Norfolk,125 NORFOLK,125.0,NORFOLK,,,,,
18231,,,,,229 W 19th,229 W 19TH,229.0,W 19TH,,,,,
18232,,,,,59 Lexington Av,59 LEXINGTON AV,59.0,LEXINGTON AV,,,,,
18233,,,,,91 Water,91 WATER,91.0,WATER,,,,,
18234,,,,,61 Mulberry,61 MULBERRY,61.0,MULBERRY,,,,,
18235,,,,,61 Mulberry,61 MULBERRY,61.0,MULBERRY,,,,,
18236,,,,,8 Rutgers,8 RUTGERS,8.0,RUTGERS,,,,,
18237,,,,,63k Gold,63K GOLD,,,63K GOLD,,,,
18238,,,,,221 Houston,221 HOUSTON,221.0,HOUSTON,,,,,
18239,,,,,79 Av B,79 AV B,79.0,AV B,,,,,
18240,,,,,79 Av B,79 AV B,79.0,AV B,,,,,
18241,,,,,19 Av B,19 AV B,19.0,AV B,,,,,
18242,,,,,480 B way,480 B WAY,480.0,B WAY,,,,,
18243,,,,,204 Houston,204 HOUSTON,204.0,HOUSTON,,,,,
18244,,,,,131 Forsyth,131 FORSYTH,131.0,FORSYTH,,,,,
18245,,,,,60 Ridge,60 RIDGE,60.0,RIDGE,,,,,
18246,,,,,28 Monroe pl Brooklyn,28 MONROE PL BROOKLYN,28.0,MONROE PL,BROOKLYN,,,,
18247,,,,,131 Twelfth,131 12TH,131.0,TWELFTH,,,,,
18248,,,,,71 Remsen Brklyn,71 REMSEN BRKLYN,71.0,REMSEN BRKLYN,,,,,
18249,,,,,Astor house,ASTOR HOUSE,,,ASTOR HOUSE,,,,
18250,,,,,Carmanville,CARMANVILLE,,,,,,,
18251,,,,,327 Broadway,327 BROADWAY,327.0,BROADWAY,,,,,
18252,,,,,179 Water,179 WATER,179.0,WATER,,,,,
